particle,centrality_class,beta_t,beta_t_unc1,beta_t_unc2,Tkin,Tkin_unc1,Tkin_unc2,n_profile,n_profile_unc1,n_profile_unc2
ALL,1,0.651,0.004,0.02,0.095,0.004,0.01,0.712,0.019,0.086
ALL,2,0.646,0.004,0.023,0.097,0.003,0.011,0.723,0.019,0.116
ALL,3,0.639,0.004,0.022,0.099,0.004,0.011,0.738,0.02,0.118
ALL,4,0.625,0.004,0.025,0.101,0.004,0.012,0.779,0.022,0.133
ALL,5,0.604,0.005,0.022,0.106,0.004,0.012,0.841,0.025,0.168
ALL,6,0.574,0.005,0.016,0.112,0.004,0.013,0.944,0.029,0.142
ALL,7,0.535,0.007,0.018,0.118,0.004,0.014,1.099,0.038,0.187
ALL,8,0.489,0.008,0.024,0.129,0.005,0.017,1.292,0.052,0.194
ALL,9,0.438,0.011,0.039,0.139,0.005,0.027,1.578,0.081,0.205
ALL,10,0.357,0.016,0.084,0.151,0.006,0.044,2.262,0.191,0.498
