particle,centrality_class,Nch,beta_t,beta_t_unc1,beta_t_unc2,Tkin,Tkin_unc1,Tkin_unc2,n_profile,n_profile_unc1,n_profile_unc2,dVdy
ALL,1,1601,0.660,0.010,0.000,0.149,0.001,0.000,0.340,0.040,0.000,4273
ALL,2,1294,0.650,0.010,0.000,0.149,0.001,0.000,0.390,0.040,0.000,3585
ALL,3,966,0.640,0.010,0.000,0.149,0.001,0.000,0.440,0.040,0.000,2682
ALL,4,649,0.620,0.010,0.000,0.150,0.001,0.000,0.550,0.050,0.000,1796
ALL,5,426,0.590,0.010,0.000,0.150,0.001,0.000,0.710,0.060,0.000,1188
ALL,6,261,0.550,0.010,0.000,0.151,0.001,0.000,0.960,0.070,0.000,756
ALL,7,149,0.500,0.010,0.000,0.152,0.001,0.000,1.260,0.090,0.000,428
ALL,8,76,0.450,0.010,0.000,0.151,0.001,0.000,1.740,0.120,0.000,235
ALL,9,35,0.390,0.020,0.000,0.150,0.001,0.000,2.300,0.170,0.000,117
ALL,10,13.4,0.340,0.010,0.000,0.148,0.001,0.000,3.080,0.120,0.000,55
