particle,centrality_class,Nch,beta_t,beta_t_unc1,beta_t_unc2,Tkin,Tkin_unc1,Tkin_unc2,n_profile,n_profile_unc1,n_profile_unc2
ALL,1,1943,0.663,0.003,0,0.09,0.003,0,0.735,0.013,0
ALL,2,1587,0.66,0.003,0,0.091,0.003,0,0.736,0.013,0
ALL,3,1180,0.655,0.003,0,0.094,0.003,0,0.739,0.013,0
ALL,4,786,0.643,0.003,0,0.097,0.003,0,0.771,0.014,0
ALL,5,512,0.622,0.003,0,0.101,0.003,0,0.828,0.015,0
ALL,6,318,0.595,0.004,0,0.108,0.003,0,0.908,0.019,0
ALL,7,183,0.557,0.005,0,0.115,0.003,0,1.052,0.024,0
ALL,8,96.3,0.506,0.008,0,0.129,0.005,0,1.262,0.043,0
ALL,9,44.9,0.435,0.011,0,0.147,0.006,0,1.678,0.088,0
ALL,10,17.5,0.355,0.016,0,0.161,0.006,0,2.423,0.208,0
