centrality_class,pdg,yield
1,211,733
2,211,606
3,211,455
4,211,307
5,211,201
6,211,124
7,211,71
8,211,37
9,211,17.1
10,211,6.6
1,-211,732
2,-211,604
3,-211,453
4,-211,306
5,-211,200
6,-211,123
7,-211,71
8,-211,37
9,-211,17
10,-211,6.6
1,321,109
2,321,91
3,321,68
4,321,46
5,321,30
6,321,18.3
7,321,10.2
8,321,5.1
9,321,2.3
10,321,0.85
1,-321,109
2,-321,90
3,-321,68
4,-321,46
5,-321,30
6,-321,18.1
7,-321,10.2
8,-321,5.1
9,-321,2.3
10,-321,0.86
1,2212,34
2,2212,28
3,2212,21
4,2212,14.4
5,2212,9.6
6,2212,6.1
7,2212,3.6
8,2212,1.9
9,2212,0.9
10,2212,0.36
1,-2212,33
2,-2212,28
3,-2212,21.1
4,-2212,14.5
5,-2212,9.7
6,-2212,6.2
7,-2212,3.7
8,-2212,2
9,-2212,0.93
10,-2212,0.36
