        dNpi/dy       Vc[fm^3]
      0.0933614              3
       0.143668         4.1795
       0.225992        5.82274
       0.361927        8.11205
       0.583291        11.3014
       0.928518        15.7448
        1.43609        21.9351
        2.15189        30.5593
        3.14858        42.5742
        4.53368         59.313
        6.45653        82.6328
        9.12738        115.121
        12.8426        160.383
        18.0152        223.441
        25.2197         311.29
        35.2556        433.679
        49.2364        604.187
        68.7134        841.734
        95.8474        1172.68
        133.651        1633.73
        186.318        2276.06
        259.688        3170.93
        361.895        4417.64
        504.289        6154.51
         702.69        8574.26
        979.121        11945.4
        1364.24        16641.9
        1900.73          23185
         2648.1        32300.5
        3689.31          45000
