        dNpi/dy       Vc[fm^3]
       0.245971            1.6
       0.342678        2.22907
       0.477408        3.10546
       0.665109        4.32643
       0.926608        6.02744
        1.29092        8.39722
        1.79847        11.6987
        2.50556        16.2983
        3.49067        22.7062
        4.86308        31.6336
        6.77509        44.0709
        9.43882        61.3981
        13.1499        85.5377
        18.3199        119.168
        25.5227        166.021
        35.5574        231.296
        49.5374        322.233
        69.0139        448.925
        96.1479        625.427
         133.95        871.324
        186.615         1213.9
        259.986        1691.17
        362.203        2356.08
         504.61        3282.41
        703.006        4572.94
        979.404        6370.87
        1364.47        8875.68
        1900.94        12365.3
        2648.33        17226.9
        3689.56          24000
