        dNpi/dy       Vc[fm^3]
       0.245971              1
       0.342678        1.39317
       0.477408        1.94091
       0.665109        2.70402
       0.926608        3.76715
        1.29092        5.24826
        1.79847        7.31171
        2.50556        10.1864
        3.49067        14.1914
        4.86308         19.771
        6.77509        27.5443
        9.43882        38.3738
        13.1499        53.4611
        18.3199        74.4802
        25.5227        103.763
        35.5574         144.56
        49.5374        201.396
        69.0139        280.578
        96.1479        390.892
         133.95        544.578
        186.615        758.688
        259.986        1056.98
        362.203        1472.55
         504.61         2051.5
        703.006        2858.09
        979.404        3981.79
        1364.47         5547.3
        1900.94        7728.32
        2648.33        10766.8
        3689.56          15000
