        dNpi/dy       Vc[fm^3]
       0.218262              1
       0.304782        1.39317
        0.42598        1.94091
       0.596101        2.70402
       0.835533        3.76715
        1.17363        5.24826
        1.65276        7.31171
        2.33371        10.1864
        3.30166        14.1914
         4.6712         19.771
        6.59252        27.5443
        9.26865        38.3738
        12.9885        53.4611
        18.1636        74.4802
        25.3695        103.763
        35.4062         144.56
        49.3875        201.396
        68.8649        280.578
        95.9995        390.892
        133.802        544.578
        186.467        758.688
        259.838        1056.98
        362.056        1472.55
        504.462         2051.5
        702.859        2858.09
        979.259        3981.79
        1364.33         5547.3
        1900.78        7728.32
        2648.16        10766.8
         3689.4          15000
