      dNch/deta       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS             Pi              K              P
              3       0.173144            7.2          11.52       0.762394        1.36259       0.151943      0.0517748
        3.20365       0.172973        7.68877         12.302       0.763213        1.47253        0.16802       0.058646
        3.42113       0.172802        8.21072        13.1371       0.764084        1.58962       0.185419       0.066235
        3.65337       0.172631         8.7681         14.029       0.765011        1.71415       0.204176      0.0745764
        3.90138       0.172461        9.36332        14.9813       0.765997        1.84647       0.224327      0.0837006
        4.16623        0.17229        9.99894        15.9983       0.767045        1.98694       0.245903      0.0936337
        4.44905       0.172119        10.6777        17.0844       0.768159        2.13596       0.268937       0.104397
        4.75107       0.171948        11.4026        18.2441       0.769342        2.29397       0.293465       0.116008
         5.0736       0.171777        12.1766        19.4826         0.7706        2.46143       0.319529       0.128482
        5.41802       0.171607        13.0032        20.8052       0.771935        2.63888       0.347182       0.141828
        5.78582       0.171436         13.886        22.2175       0.773352        2.82686       0.376485       0.156059
        6.17858       0.171265        14.8286        23.7258       0.774856        3.02598       0.407515       0.171185
        6.59801       0.171094        15.8352        25.3364       0.776451        3.23688       0.440366       0.187219
        7.04592       0.170924        16.9102        27.0563       0.778142        3.46028       0.475146       0.204177
        7.52423       0.170753        18.0581         28.893       0.779933        3.69692       0.511983       0.222082
        8.03501       0.170582         19.284        30.8544        0.78183        3.94762        0.55102       0.240959
        8.58046       0.170411        20.5931         32.949       0.783838        4.21326       0.592419       0.260845
        9.16294       0.170241        21.9911        35.1857       0.785961        4.49477       0.636355       0.281782
        9.78496        0.17007        23.4839        37.5743       0.788206        4.79315       0.683022       0.303819
        10.4492       0.169899        25.0781         40.125       0.790577        5.10948       0.732628       0.327017
        11.1586       0.169728        26.7805        42.8488        0.79308        5.44491       0.785397        0.35144
         11.916       0.169557        28.5985        45.7576        0.79572        5.80064       0.841569       0.377163
         12.725       0.169387        30.5399        48.8639       0.798501        6.17798       0.901399       0.404267
        13.5888       0.169216        32.6131         52.181        0.80143        6.57831        0.96516       0.432839
        14.5113       0.169045         34.827        55.7232        0.80451        7.00307        1.03314       0.462972
        15.4964       0.168874        37.1912         59.506       0.807747        7.45384        1.10566       0.494766
        16.5483       0.168704         39.716        63.5455       0.811145        7.93225        1.18305       0.528325
        17.6717       0.168533        42.4121        67.8593       0.814707        8.44004        1.26566       0.563759
        18.8713       0.168362        45.2912        72.4659       0.818436        8.97909        1.35387       0.601185
        20.1524       0.168191        48.3658        77.3852       0.822336        9.55135         1.4481       0.640723
        21.5204       0.168021        51.6491        82.6385       0.826408        10.1589        1.54876       0.682501
        22.9813        0.16785        55.1552        88.2484       0.830654         10.804        1.65635       0.726653
        24.5414       0.167679        58.8994        94.2391       0.835073        11.4889        1.77133       0.773321
        26.2074       0.167508        62.8978        100.636       0.839665        12.2163        1.89426       0.822652
        27.9865       0.167338        67.1676        107.468       0.844427        12.9886        2.02568       0.874804
        29.8863       0.167167        71.7272        114.764       0.849357        13.8087        2.16621        0.92994
        31.9152       0.166996        76.5964        122.554       0.854449        14.6797        2.31647       0.988235
