      dNch/deta       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS             Pi              K              P
              3       0.173144            7.2           43.2       0.762394        1.67652       0.235757       0.117989
        3.20365       0.172973        7.68877        46.1326       0.763213        1.78453       0.251764       0.126226
        3.42113       0.172802        8.21072        49.2643       0.764084        1.89907       0.268757       0.134919
        3.65337       0.172631         8.7681        52.6086       0.765011        2.02054       0.286804       0.144095
        3.90138       0.172461        9.36332        56.1799       0.765997        2.14939       0.305976       0.153785
        4.16623        0.17229        9.99894        59.9937       0.767045        2.28606       0.326349       0.164021
        4.44905       0.172119        10.6777        64.0663       0.768159        2.43104       0.348003       0.174836
        4.75107       0.171948        11.4026        68.4154       0.769342        2.58485       0.371024       0.186265
         5.0736       0.171777        12.1766        73.0598         0.7706        2.74804       0.395505       0.198345
        5.41802       0.171607        13.0032        78.0194       0.771935        2.92118       0.421544       0.211114
        5.78582       0.171436         13.886        83.3157       0.773352         3.1049       0.449247       0.224615
        6.17858       0.171265        14.8286        88.9716       0.774856        3.29985       0.478727       0.238889
        6.59801       0.171094        15.8352        95.0114       0.776451        3.50672       0.510105       0.253982
        7.04592       0.170924        16.9102        101.461       0.778142        3.72626       0.543511       0.269942
        7.52423       0.170753        18.0581        108.349       0.779933        3.95925       0.579085        0.28682
        8.03501       0.170582         19.284        115.704        0.78183        4.20652       0.616975        0.30467
        8.58046       0.170411        20.5931        123.559       0.783838        4.46896       0.657343       0.323547
        9.16294       0.170241        21.9911        131.946       0.785961        4.74751       0.700361       0.343513
        9.78496        0.17007        23.4839        140.903       0.788206        5.04318       0.746213        0.36463
        10.4492       0.169899        25.0781        150.469       0.790577        5.35702       0.795099       0.386964
        11.1586       0.169728        26.7805        160.683        0.79308        5.69018       0.847232       0.410588
         11.916       0.169557        28.5985        171.591        0.79572        6.04384       0.902841       0.435575
         12.725       0.169387        30.5399        183.239       0.798501         6.4193       0.962173       0.462005
        13.5888       0.169216        32.6131        195.679        0.80143         6.8179        1.02549       0.489962
        14.5113       0.169045         34.827        208.962        0.80451        7.24109        1.09308       0.519533
        15.4964       0.168874        37.1912        223.147       0.807747        7.69041        1.16525       0.550813
        16.5483       0.168704         39.716        238.296       0.811145        8.16749        1.24233         0.5839
        17.6717       0.168533        42.4121        254.472       0.814707        8.67406        1.32465       0.618899
        18.8713       0.168362        45.2912        271.747       0.818436        9.21196        1.41262       0.655921
        20.1524       0.168191        48.3658        290.195       0.822336        9.78315        1.50661       0.695083
        21.5204       0.168021        51.6491        309.894       0.826408        10.3897        1.60708       0.736509
        22.9813        0.16785        55.1552        330.931       0.830654        11.0338        1.71448       0.780328
        24.5414       0.167679        58.8994        353.397       0.835073        11.7179        1.82931        0.82668
        26.2074       0.167508        62.8978        377.387       0.839665        12.4444        1.95209       0.875711
        27.9865       0.167338        67.1676        403.006       0.844427        13.2159        2.08338       0.927575
        29.8863       0.167167        71.7272        430.363       0.849357        14.0353        2.22379       0.982436
        31.9152       0.166996        76.5964        459.578       0.854449        14.9055        2.37396        1.04047
        34.0817       0.166825        81.7961        490.777       0.859697        15.8297        2.53454        1.10185
        36.3953       0.166654        87.3488        524.093       0.865092        16.8113        2.70628        1.16677
         38.866       0.166484        93.2785        559.671       0.870625        17.8537         2.8899        1.23544
        41.5044       0.166313        99.6106        597.664       0.876283        18.9607        3.08623        1.30808
        44.3219       0.166142        106.373        638.236       0.882052        20.1363        3.29608         1.3849
        47.3307       0.165971        113.594        681.562       0.887916        21.3846        3.52034        1.46615
        50.5438       0.165801        121.305         727.83       0.893857        22.7102        3.75993        1.55208
        53.9749        0.16563         129.54        777.238       0.899854        24.1177        4.01581        1.64296
         57.639       0.165459        138.334        830.001       0.905884        25.6121        4.28898        1.73907
        61.5518       0.165288        147.724        886.345       0.911923        27.1986        4.58047        1.84071
        65.7302       0.165118        157.752        946.515       0.917945        28.8827        4.89136        1.94818
        70.1922       0.164947        168.461        1010.77       0.923922        30.6703        5.22276        2.06183
        74.9572       0.164776        179.897        1079.38       0.929824        32.5676        5.57581          2.182
        80.0457       0.164605         192.11        1152.66       0.935623        34.5809         5.9517        2.30905
        85.4795       0.164434        205.151        1230.91       0.941287        36.7173        6.35164        2.44338
        91.2823       0.164264        219.077        1314.46       0.946787        38.9838        6.77686         2.5854
        97.4789       0.164093        233.949         1403.7       0.952092        41.3881        7.22866        2.73553
        104.096       0.163922        249.831        1498.99       0.957175        43.9383        7.70836        2.89423
        111.163       0.163751        266.791        1600.74       0.962009        46.6429        8.21732        3.06198
        118.709       0.163581        284.902        1709.41        0.96657        49.5108        8.75697        3.23929
        126.768        0.16341        304.242        1825.45       0.970838        52.5515        9.32878        3.42669
        135.373       0.163239        324.895        1949.37       0.974796         55.775        9.93431        3.62474
        144.563       0.163068        346.951        2081.71       0.978431        59.1922        10.5752        3.83406
        154.376       0.162898        370.504        2223.02       0.981736        62.8141        11.2532        4.05525
        164.856       0.162727        395.655        2373.93       0.984709         66.653        11.9701          4.289
        176.047       0.162556        422.514        2535.08       0.987351        70.7215         12.728          4.536
        187.998       0.162385        451.196        2707.18        0.98967        75.0333         13.529        4.79701
        200.761       0.162215        481.825        2890.95       0.991679        79.6028        14.3755        5.07282
        214.389       0.162044        514.534         3087.2       0.993396        84.4455          15.27        5.36425
        228.943       0.161873        549.463        3296.78       0.994839        89.5777        16.2152         5.6722
        244.485       0.161702        586.763        3520.58       0.996034         95.017        17.2143         5.9976
        261.081       0.161531        626.595        3759.57       0.997007        100.782        18.2704        6.34145
        278.805       0.161361        669.131        4014.79       0.997783        106.892        19.3871        6.70478
        297.731        0.16119        714.555        4287.33       0.998392        113.369        20.5681        7.08872
        317.943       0.161019        763.062        4578.37       0.998858        120.235        21.8177        7.49442
        339.526       0.160848        814.862        4889.17       0.999208        127.513          23.14        7.92312
        362.575       0.160678        870.179        5221.07       0.999464        135.229        24.5399        8.37614
        387.188       0.160507        929.251        5575.51       0.999647         143.41        26.0221        8.85485
        413.472       0.160336        992.333           5954       0.999774        152.083         27.592        9.36071
         441.54       0.160165         1059.7        6358.18       0.999859        161.279        29.2551        9.89525
        471.514       0.159995        1131.63         6789.8       0.999915         171.03        31.0171        10.4601
        503.523       0.159824        1208.45        7250.73       0.999951        181.369        32.8842        11.0569
        537.704       0.159653        1290.49        7742.94       0.999972        192.332         34.863        11.6876
        574.206       0.159482        1378.09        8268.57       0.999985        203.956        36.9601         12.354
        613.186       0.159311        1471.65        8829.87       0.999992        216.282        39.1828        13.0582
        654.812       0.159141        1571.55        9429.29       0.999996        229.351        41.5387        13.8021
        699.263        0.15897        1678.23        10069.4       0.999998         243.21        44.0359        14.5882
        746.732       0.158799        1792.16        10752.9       0.999999        257.904        46.6827        15.4187
        797.424       0.158628        1913.82        11482.9              1        273.485        49.4882        16.2962
        851.557       0.158458        2043.74        12262.4              1        290.006        52.4618        17.2233
        909.365       0.158287        2182.47        13094.8              1        307.523        55.6137        18.2027
        971.096       0.158116        2330.63        13983.8              1        326.098        58.9545        19.2375
        1037.02       0.157945        2488.85        14933.1              1        345.792        62.4955        20.3307
        1107.42       0.157775         2657.8        15946.8              1        366.674        66.2485        21.4855
        1182.59       0.157604        2838.22        17029.3              1        388.816        70.2264        22.7056
        1262.87       0.157433         3030.9        18185.4              1        412.292        74.4424        23.9945
         1348.6       0.157262        3236.65        19419.9              1        437.184        78.9109        25.3561
        1440.15       0.157091        3456.36        20738.2              1        463.578        83.6468        26.7945
        1537.92       0.156921           3691          22146              1        491.562        88.6661        28.3141
        1642.32        0.15675        3941.56        23649.4              1        521.234        93.9857        29.9193
        1753.81       0.156579        4209.13        25254.8              1        552.695        99.6236         31.615
        1872.86       0.156408        4494.87        26969.2              1        586.053        105.599        33.4062
           2000       0.156238           4800          28800              1        621.423        111.931        35.2984
