      dNch/deta       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS             Pi              K              P
              3       0.173144            7.2           43.2       0.762394        1.76433       0.257091       0.138943
        3.20365       0.172973        7.68877        46.1326       0.763213        1.87187       0.272976       0.147026
        3.42113       0.172802        8.21072        49.2643       0.764084        1.98598       0.289861       0.155578
        3.65337       0.172631         8.7681        52.6086       0.765011        2.10706        0.30781       0.164626
        3.90138       0.172461        9.36332        56.1799       0.765997        2.23554       0.326894       0.174198
        4.16623        0.17229        9.99894        59.9937       0.767045        2.37187       0.347187       0.184325
        4.44905       0.172119        10.6777        64.0663       0.768159        2.51654       0.368769       0.195039
        4.75107       0.171948        11.4026        68.4154       0.769342        2.67006       0.391725       0.206374
         5.0736       0.171777        12.1766        73.0598         0.7706        2.83298       0.416146       0.218366
        5.41802       0.171607        13.0032        78.0194       0.771935        3.00587       0.442132       0.231053
        5.78582       0.171436         13.886        83.3157       0.773352        3.18934       0.469787       0.244474
        6.17858       0.171265        14.8286        88.9716       0.774856        3.38406       0.499222       0.258674
        6.59801       0.171094        15.8352        95.0114       0.776451        3.59071       0.530561       0.273696
        7.04592       0.170924        16.9102        101.461       0.778142        3.81004       0.563931       0.289588
        7.52423       0.170753        18.0581        108.349       0.779933        4.04283       0.599472         0.3064
        8.03501       0.170582         19.284        115.704        0.78183        4.28991       0.637333       0.324186
        8.58046       0.170411        20.5931        123.559       0.783838        4.55217       0.677675       0.343003
        9.16294       0.170241        21.9911        131.946       0.785961        4.83054       0.720669       0.362909
        9.78496        0.17007        23.4839        140.903       0.788206        5.12604       0.766501       0.383968
        10.4492       0.169899        25.0781        150.469       0.790577        5.43972       0.815369       0.406246
        11.1586       0.169728        26.7805        160.683        0.79308        5.77271       0.867487       0.429814
         11.916       0.169557        28.5985        171.591        0.79572        6.12622       0.923083       0.454747
         12.725       0.169387        30.5399        183.239       0.798501        6.50152       0.982404       0.481124
        13.5888       0.169216        32.6131        195.679        0.80143        6.89997        1.04571       0.509027
        14.5113       0.169045         34.827        208.962        0.80451        7.32302         1.1133       0.538547
        15.4964       0.168874        37.1912        223.147       0.807747        7.77219        1.18546       0.569775
        16.5483       0.168704         39.716        238.296       0.811145        8.24913        1.26253        0.60281
        17.6717       0.168533        42.4121        254.472       0.814707        8.75556        1.34486       0.637759
        18.8713       0.168362        45.2912        271.747       0.818436        9.29332        1.43282        0.67473
        20.1524       0.168191        48.3658        290.195       0.822336        9.86438        1.52682        0.71384
        21.5204       0.168021        51.6491        309.894       0.826408        10.4708        1.62729       0.755215
        22.9813        0.16785        55.1552        330.931       0.830654        11.1148        1.73469       0.798983
        24.5414       0.167679        58.8994        353.397       0.835073        11.7987        1.84952       0.845285
        26.2074       0.167508        62.8978        377.387       0.839665        12.5251        1.97231       0.894264
        27.9865       0.167338        67.1676        403.006       0.844427        13.2965        2.10361       0.946077
        29.8863       0.167167        71.7272        430.363       0.849357        14.1157        2.24403        1.00089
        31.9152       0.166996        76.5964        459.578       0.854449        14.9858         2.3942        1.05886
        34.0817       0.166825        81.7961        490.777       0.859697        15.9099         2.5548        1.12019
        36.3953       0.166654        87.3488        524.093       0.865092        16.8913        2.72655        1.18507
         38.866       0.166484        93.2785        559.671       0.870625        17.9336        2.91019        1.25369
        41.5044       0.166313        99.6106        597.664       0.876283        19.0405        3.10652        1.32627
        44.3219       0.166142        106.373        638.236       0.882052         20.216        3.31639        1.40304
        47.3307       0.165971        113.594        681.562       0.887916        21.4642        3.54067        1.48424
        50.5438       0.165801        121.305         727.83       0.893857        22.7897        3.78027        1.57012
        53.9749        0.16563         129.54        777.238       0.899854        24.1971        4.03617        1.66095
         57.639       0.165459        138.334        830.001       0.905884        25.6914        4.30935        1.75701
        61.5518       0.165288        147.724        886.345       0.911923        27.2777        4.60086        1.85859
        65.7302       0.165118        157.752        946.515       0.917945        28.9617        4.91177        1.96602
        70.1922       0.164947        168.461        1010.77       0.923922        30.7492        5.24319        2.07961
        74.9572       0.164776        179.897        1079.38       0.929824        32.6463        5.59626        2.19973
        80.0457       0.164605         192.11        1152.66       0.935623        34.6595        5.97216        2.32673
        85.4795       0.164434        205.151        1230.91       0.941287        36.7956        6.37211        2.46101
        91.2823       0.164264        219.077        1314.46       0.946787        39.0619        6.79734        2.60297
        97.4789       0.164093        233.949         1403.7       0.952092         41.466        7.24916        2.75305
        104.096       0.163922        249.831        1498.99       0.957175         44.016        7.72887         2.9117
        111.163       0.163751        266.791        1600.74       0.962009        46.7203        8.23785         3.0794
        118.709       0.163581        284.902        1709.41        0.96657        49.5879        8.77751        3.25666
        126.768        0.16341        304.242        1825.45       0.970838        52.6285        9.34933        3.44402
        135.373       0.163239        324.895        1949.37       0.974796        55.8519        9.95487        3.64204
        144.563       0.163068        346.951        2081.71       0.978431         59.269        10.5958        3.85132
        154.376       0.162898        370.504        2223.02       0.981736         62.891        11.2737        4.07249
        164.856       0.162727        395.655        2373.93       0.984709          66.73        11.9907        4.30622
        176.047       0.162556        422.514        2535.08       0.987351        70.7987        12.7486        4.55321
        187.998       0.162385        451.196        2707.18        0.98967        75.1108        13.5496        4.81421
        200.761       0.162215        481.825        2890.95       0.991679        79.6807        14.3961        5.09002
        214.389       0.162044        514.534         3087.2       0.993396        84.5238        15.2906        5.38146
        228.943       0.161873        549.463        3296.78       0.994839        89.6566        16.2358        5.68943
        244.485       0.161702        586.763        3520.58       0.996034        95.0964        17.2349        6.01485
        261.081       0.161531        626.595        3759.57       0.997007        100.862         18.291        6.35871
        278.805       0.161361        669.131        4014.79       0.997783        106.973        19.4077        6.72206
        297.731        0.16119        714.555        4287.33       0.998392         113.45        20.5888        7.10601
        317.943       0.161019        763.062        4578.37       0.998858        120.317        21.8384        7.51172
        339.526       0.160848        814.862        4889.17       0.999208        127.595        23.1608        7.94043
        362.575       0.160678        870.179        5221.07       0.999464        135.312        24.5608        8.39343
        387.188       0.160507        929.251        5575.51       0.999647        143.492        26.0431        8.87212
        413.472       0.160336        992.333           5954       0.999774        152.165        27.6131        9.37794
         441.54       0.160165         1059.7        6358.18       0.999859        161.361        29.2763        9.91242
        471.514       0.159995        1131.63         6789.8       0.999915        171.112        31.0385        10.4772
        503.523       0.159824        1208.45        7250.73       0.999951         181.45        32.9058         11.074
        537.704       0.159653        1290.49        7742.94       0.999972        192.411        34.8847        11.7046
        574.206       0.159482        1378.09        8268.57       0.999985        204.034        36.9819        12.3708
        613.186       0.159311        1471.65        8829.87       0.999992        216.359        39.2048        13.0749
        654.812       0.159141        1571.55        9429.29       0.999996        229.426        41.5608        13.8187
        699.263        0.15897        1678.23        10069.4       0.999998        243.283        44.0579        14.6047
        746.732       0.158799        1792.16        10752.9       0.999999        257.975        46.7047        15.4351
        797.424       0.158628        1913.82        11482.9              1        273.554        49.5101        16.3125
        851.557       0.158458        2043.74        12262.4              1        290.073        52.4836        17.2396
        909.365       0.158287        2182.47        13094.8              1        307.588        55.6353         18.219
        971.096       0.158116        2330.63        13983.8              1         326.16        58.9758        19.2537
        1037.02       0.157945        2488.85        14933.1              1        345.853        62.5163        20.3469
        1107.42       0.157775         2657.8        15946.8              1        366.733         66.269        21.5019
        1182.59       0.157604        2838.22        17029.3              1        388.873        70.2463         22.722
        1262.87       0.157433         3030.9        18185.4              1        412.348        74.4618         24.011
         1348.6       0.157262        3236.65        19419.9              1         437.24        78.9297        25.3728
        1440.15       0.157091        3456.36        20738.2              1        463.632         83.665        26.8113
        1537.92       0.156921           3691          22146              1        491.616        88.6837        28.3309
        1642.32        0.15675        3941.56        23649.4              1        521.288        94.0028        29.9363
        1753.81       0.156579        4209.13        25254.8              1        552.749        99.6401         31.632
        1872.86       0.156408        4494.87        26969.2              1        586.108        105.615        33.4233
           2000       0.156238           4800          28800              1        621.477        111.947        35.3155
