        dNpi/dy       Vc[fm^3]     K/Pi_toGCE    Xi/Pi_toGCE   Phi/Pi_toGCE     P/Pi_toGCE Omega/Pi_toGCE    La/Pi_toGCE    H2/Pi_toGCE   He3/Pi_toGCE  H3La/Pi_toGCE
      0.0817669            1.6       0.359634     0.00488332        3.00476      0.0248093    0.000807123      0.0168779    0.000392663    3.09979e-06    4.00232e-06
       0.121156        2.22907       0.376247     0.00715114        2.82523      0.0344775      0.0012403      0.0238862    0.000690174    7.07477e-06     9.7464e-06
       0.182906        3.10546       0.399522      0.0106789        2.60726      0.0479783     0.00197624      0.0340619      0.0012494    1.71236e-05     2.4651e-05
       0.282113        4.32643       0.432074      0.0163683         2.3551      0.0669768     0.00329877      0.0491029     0.00232886    4.37602e-05    6.46158e-05
       0.444732        6.02744       0.477282      0.0259283        2.08144      0.0940349     0.00582494      0.0718231     0.00447031    0.000117674    0.000175294
         0.7132        8.39722       0.538856      0.0426422        1.80839       0.133129      0.0109405       0.106865     0.00883325    0.000331796     0.00049118
        1.14902        11.6987       0.619007       0.072613          1.564       0.190117       0.021754       0.161375      0.0178968    0.000973609     0.00141235
        1.82469        16.2983       0.714148       0.125838         1.3723       0.272101      0.0447867       0.244243       0.036692     0.00291902     0.00409669
        2.81248        22.7062       0.810125       0.214086        1.24059       0.383486      0.0913813       0.360918      0.0740301      0.0086306      0.0115981
        4.20202        31.6336       0.886513       0.341148        1.15698       0.518195       0.174423       0.503627       0.141186      0.0239379      0.0306172
        6.13612        44.0709       0.933534       0.490757        1.10392       0.655453       0.296222       0.647888       0.244659       0.059211      0.0720493
        8.82358        61.3981       0.958514       0.631556        1.06959       0.769532       0.438116       0.766142       0.376076       0.125939       0.146455
        12.5543        85.5377       0.972414       0.740901        1.04735       0.848154       0.571783       0.846806       0.512623       0.227212       0.254366
         17.737        119.168       0.981081       0.817532         1.0328       0.897505       0.681256        0.89708        0.63298       0.351582       0.381925
        24.9472        166.021       0.986832        0.87054        1.02303       0.929065       0.765547       0.929026       0.728935       0.479793       0.509434
        34.9865        231.296        0.99075       0.907749        1.01629       0.950225       0.828857       0.950328       0.801847       0.596353       0.622631
        48.9696        322.233        0.99346       0.934108        1.01157       0.964806       0.875717       0.964945        0.85602       0.694027        0.71583
        68.4481        448.925       0.995356       0.952865        1.00825       0.974998       0.910064        0.97513       0.895784       0.771784       0.789085
        95.5836        625.427       0.996691       0.966248        1.00589       0.982182       0.935075       0.982293       0.924758       0.831684       0.845002
        133.387        871.324       0.997639       0.975816        1.00422       0.987275        0.95321       0.987364       0.945772       0.876835       0.886877
        186.051         1213.9       0.998314       0.982665        1.00302         0.9909       0.966324       0.990969       0.960967       0.910376       0.917839
        259.424        1691.17       0.998788       0.987563        1.00216       0.993483       0.975769       0.993532       0.971918       0.935031       0.940521
        361.648        2356.08       0.999119       0.991061        1.00153       0.995328       0.982546       0.995357       0.979798       0.953026       0.957037
         504.05        3282.41       0.999376       0.993598        1.00111       0.996653       0.987485       0.996679       0.985496       0.966126        0.96904
        702.424        4572.94       0.999586       0.995458        1.00083       0.997605       0.991134       0.997642       0.989616       0.975621       0.977723
        978.801        6370.87       0.999718       0.996754        1.00061       0.998284       0.993654        0.99832       0.992552       0.982446       0.983972
        1363.89        8875.68       0.999767         0.9976        1.00043       0.998775       0.995237       0.998784        0.99466        0.98742        0.98855
        1900.42        12365.3       0.999787       0.998198        1.00027       0.999124       0.996372       0.999105       0.996165       0.991013       0.991843
        2647.89        17226.9       0.999835       0.998705        1.00016       0.999347       0.997445       0.999327       0.997141       0.993355       0.993937
        3689.16          24000       0.999907        0.99913        1.00011       0.999495       0.998399       0.999494       0.997808       0.994926       0.995304
