        dNpi/dy       Vc[fm^3]     K/Pi_toGCE    Xi/Pi_toGCE   Phi/Pi_toGCE     P/Pi_toGCE Omega/Pi_toGCE    La/Pi_toGCE    H2/Pi_toGCE   He3/Pi_toGCE  H3La/Pi_toGCE
      0.0933614              3       0.396715      0.0102307        2.63171      0.0463494     0.00187886      0.0328107     0.00117288    1.55763e-05    2.23412e-05
       0.143668         4.1795       0.428155      0.0156336        2.38267      0.0646746     0.00311954      0.0472376     0.00217957    3.95881e-05    5.83479e-05
       0.225992        5.82274       0.471869      0.0246726        2.11038      0.0907364     0.00547425      0.0689792     0.00417092    0.000105906    0.000157734
       0.361927        8.11205       0.531583      0.0404166          1.836       0.128337      0.0102158       0.102449     0.00821751    0.000297215     0.00044057
       0.583291        11.3014       0.609819      0.0686082        1.58732       0.183133      0.0202064       0.154525      0.0166126    0.000869046     0.00126412
       0.928518        15.7448       0.703859       0.118843        1.38942       0.262206      0.0415197       0.234052      0.0340521     0.00260317     0.00366799
        1.43609        21.9351       0.800709        0.20301        1.25176       0.370564       0.085015       0.347262      0.0689387     0.00772464      0.0104315
        2.15189        30.5593       0.879919       0.326392          1.164       0.503582       0.163841       0.488166       0.132514      0.0216221      0.0278013
        3.14858        42.5742       0.929875       0.475022        1.10843       0.641841       0.282111       0.633675       0.232279      0.0542349      0.0663286
        4.53368         59.313        0.95658       0.618143        1.07251       0.759264       0.423272       0.755559       0.361696        0.11731       0.137022
        6.45653        82.6328        0.97127       0.731156        1.04924       0.841533       0.558864       0.840038       0.498881       0.215279       0.241873
        9.12738        115.121       0.980339       0.810814        1.03406       0.893366       0.671079       0.892877       0.621542        0.33811       0.368314
        12.8426        160.383       0.986332        0.86586        1.02388       0.926351       0.757824       0.926286       0.720076       0.466778       0.496645
        18.0152        223.441       0.990406       0.904446        1.01688       0.948375       0.823102       0.948469       0.795203       0.585027       0.611732
        25.2197         311.29       0.993221       0.931762        1.01199       0.963521        0.87148       0.963659       0.851117       0.684795        0.70708
        35.2556        433.679       0.995188       0.951193        1.00855       0.974095       0.906969       0.974229         0.8922       0.764564       0.782316
        49.2364        604.187       0.996573       0.965054         1.0061       0.981544       0.932827       0.981657       0.922153       0.826186       0.839888
        68.7134        841.734       0.997554       0.974961        1.00437       0.986822       0.951582       0.986913       0.943886       0.872724       0.883074
        95.8474        1172.68       0.998254       0.982053        1.00313       0.990577       0.965148       0.990648       0.959605       0.907338        0.91504
        133.651        1633.73       0.998747       0.987126        1.00224       0.993253       0.974925       0.993304       0.970938       0.932807       0.938478
        186.318        2276.06        0.99909       0.990748        1.00159       0.995163       0.981938       0.995194       0.979091       0.951406       0.955551
        259.688        3170.93       0.999352       0.993368        1.00114       0.996534       0.987036       0.996559       0.984984       0.964947       0.967961
        361.895        4417.64       0.999567       0.995291        1.00085        0.99752       0.990808       0.997556       0.989248       0.974771       0.976947
        504.289        6154.51       0.999709       0.996643        1.00063       0.998223       0.993442       0.998261        0.99229       0.981834        0.98341
         702.69        8574.26       0.999764       0.997527        1.00045       0.998731       0.995103       0.998743       0.994471        0.98697       0.988135
        979.121        11945.4       0.999784       0.998141        1.00029       0.999094        0.99626       0.999076       0.996034         0.9907       0.991559
        1364.24        16641.9       0.999829       0.998655        1.00017       0.999328       0.997336       0.999308        0.99706       0.993159       0.993765
        1900.73          23185         0.9999       0.999091        1.00011        0.99948       0.998311       0.999478       0.997744       0.994776       0.995173
         2648.1        32300.5       0.999956       0.999415        1.00008       0.999618       0.999002       0.999629       0.998364       0.996199        0.99644
        3689.31          45000       0.999982       0.999629        1.00007       0.999754       0.999382       0.999767       0.998969       0.997567       0.997717
