        dNpi/dy       Vc[fm^3]     K/Pi_toGCE    Xi/Pi_toGCE   Phi/Pi_toGCE     P/Pi_toGCE Omega/Pi_toGCE    La/Pi_toGCE    H2/Pi_toGCE   He3/Pi_toGCE  H3La/Pi_toGCE
       0.220827              3       0.240588      0.0159299        1.11272        1.06996     0.00159038       0.155738        1.11386        1.11386       0.151423
       0.309714         4.1795       0.290662      0.0273982        1.10537        1.06546     0.00318898       0.209672        1.10643        1.10643       0.208144
       0.435371        5.82274       0.357185      0.0476144        1.09559        1.05946     0.00666414       0.281486        1.09656        1.09656       0.283429
       0.613632        8.11205       0.442404      0.0825755        1.08306        1.05177      0.0142821        0.37378        1.08389        1.08389       0.379742
       0.867099        11.3014        0.54491       0.140323        1.06795        1.04248      0.0306322       0.485311        1.06863        1.06863        0.49537
        1.22707        15.7448        0.65616       0.228018        1.05152        1.03235      0.0636128       0.607176        1.05203        1.05203       0.620507
        1.73516        21.9351       0.760018       0.344956        1.03613        1.02281       0.123119        0.72209        1.03648        1.03648       0.736829
        2.44604        30.5593       0.840782       0.476802         1.0241        1.01532       0.214854       0.812783        1.02433        1.02433       0.826699
        3.43503        42.5742        0.89449       0.601848        1.01604        1.01026       0.332785       0.874302         1.0162         1.0162       0.885922
        4.80993         59.313        0.92823       0.705506        1.01095        1.00702       0.460116       0.913754        1.01105        1.01105       0.922758
        6.72336        82.6328       0.950124       0.785118        1.00762         1.0049       0.579478       0.939747        1.00769        1.00769       0.946478
        9.38798        115.121       0.964933       0.844232        1.00536        1.00346        0.68095       0.957493        1.00542        1.00542       0.962442
        13.0996        160.383       0.975178       0.887486         1.0038        1.00245       0.762126       0.969843        1.00384        1.00384        0.97345
        18.2701        223.441       0.982354       0.918901         1.0027        1.00174       0.824703       0.978527        1.00273        1.00273       0.981143
        25.4732         311.29       0.987419       0.941623        1.00193        1.00124       0.871835       0.984673        1.00195        1.00195       0.986564
        35.5081        433.679       0.991012       0.958016        1.00138        1.00089       0.906803       0.989042        1.00139        1.00139       0.990406
        49.4882        604.187        0.99357       0.969823        1.00099        1.00064       0.932486       0.992157          1.001          1.001       0.993139
        68.9648        841.734       0.995396        0.97832        1.00071        1.00046       0.951223       0.994382        1.00071        1.00071       0.995088
        96.0989        1172.68       0.996701       0.984429        1.00051        1.00033       0.964829       0.995973        1.00051        1.00051       0.996481
        133.901        1633.73       0.997633       0.988807        1.00036        1.00023       0.974644        0.99711        1.00037        1.00037       0.997475
        186.566        2276.06         0.9983       0.991954        1.00026        1.00017       0.981737       0.997925        1.00026        1.00026       0.998187
        259.937        3170.93       0.998793        0.99428        1.00019        1.00012       0.986999       0.998526        1.00019        1.00019       0.998713
        362.155        4417.64       0.999145       0.995944        1.00013        1.00008       0.990771       0.998955        1.00013        1.00013       0.999088
         504.56        6154.51       0.999366       0.996994         1.0001        1.00006       0.993154       0.999226         1.0001         1.0001       0.999324
        702.952        8574.26        0.99951       0.997675        1.00008        1.00005       0.994702       0.999402        1.00008        1.00008       0.999478
        979.349        11945.4       0.999638       0.998284        1.00006        1.00004       0.996088       0.999558        1.00006        1.00006       0.999614
        1364.42        16641.9       0.999768       0.998901        1.00004        1.00002       0.997495       0.999717        1.00004        1.00004       0.999753
         1900.9          23185       0.999875       0.999406        1.00002        1.00001       0.998645       0.999847        1.00002        1.00002       0.999866
         2648.3        32300.5       0.999934       0.999684        1.00001        1.00001        0.99928       0.999919        1.00001        1.00001       0.999929
        3689.53          45000       0.999953       0.999778        1.00001              1       0.999492       0.999943        1.00001        1.00001        0.99995
