        dNpi/dy       Vc[fm^3]            K/P           Xi/P          Phi/P           Pi/P        Omega/P           La/P           H2/P          He3/P         H3La/P
       0.245971              3        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.342678         4.1795        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.477408        5.82274        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.665109        8.11205        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.926608        11.3014        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1.29092        15.7448        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1.79847        21.9351        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        2.50556        30.5593        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        3.49067        42.5742        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        4.86308         59.313        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        6.77509        82.6328        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        9.43882        115.121        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        13.1499        160.383        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        18.3199        223.441        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        25.5227         311.29        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        35.5574        433.679        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        49.5374        604.187        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        69.0139        841.734        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        96.1479        1172.68        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
         133.95        1633.73        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        186.615        2276.06        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        259.986        3170.93        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        362.203        4417.64        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
         504.61        6154.51        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        703.006        8574.26        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        979.404        11945.4        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1364.47        16641.9        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1900.94          23185        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        2648.33        32300.5        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        3689.56          45000        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
