        dNpi/dy       Vc[fm^3]      K/P_toGCE     Xi/P_toGCE    Phi/P_toGCE     Pi/P_toGCE  Omega/P_toGCE     La/P_toGCE     H2/P_toGCE    He3/P_toGCE   H3La/P_toGCE
       0.218262              1       0.141303     0.00285626        1.04434       0.927744    0.000212003      0.0564984        1.04552        1.04552      0.0476127
       0.304782        1.39317       0.157881     0.00456516        1.04347       0.929105    0.000359596      0.0741456        1.04463        1.04463      0.0662546
        0.42598        1.94091       0.180874     0.00748851        1.04227       0.930995    0.000641196      0.0986414        1.04339        1.04339       0.092104
       0.596101        2.70402        0.21264      0.0125929        1.04061       0.933608     0.00120612       0.132517        1.04169        1.04169       0.127799
       0.835533        3.76715       0.256188      0.0216318        1.03833       0.937195     0.00239144       0.179024        1.03935        1.03935       0.176705
        1.17363        5.24826       0.315018      0.0377068        1.03526       0.942046     0.00496554       0.241978        1.03619        1.03619       0.242718
        1.65276        7.31171       0.392342      0.0659894        1.03122       0.948437      0.0106532       0.324956        1.03205        1.03205       0.329379
        2.33371        10.1864       0.489016       0.114077        1.02619       0.956451      0.0231095       0.429115        1.02688        1.02688       0.437545
        3.30166        14.1914        0.59992       0.190355        1.02042       0.965685      0.0491428       0.549293        1.02097        1.02097       0.561328
         4.6712         19.771       0.711147       0.298131        1.01466       0.975005       0.098573       0.670839        1.01505        1.01505       0.685019
        6.59252        27.5443       0.804506       0.427782        1.00986       0.982901       0.179614       0.774127        1.01012        1.01012       0.788269
        9.26865        38.3738       0.870158       0.558071         1.0065       0.988528       0.290546       0.848023        1.00668        1.00668       0.860303
        12.9885        53.4611       0.912058       0.670397        1.00438       0.992174       0.417085       0.896117         1.0045         1.0045       0.905845
        18.1636        74.4802       0.939046       0.758446        1.00303       0.994551       0.540756       0.927591        1.00311        1.00311       0.934942
        25.3695        103.763       0.957188       0.824455        1.00212       0.996162       0.648846       0.948963        1.00218        1.00218       0.954398
        35.4062         144.56        0.96971       0.872999         1.0015        0.99728       0.736814       0.963805        1.00154        1.00154       0.967781
        49.3875        201.396       0.978472       0.908364        1.00106       0.998064       0.805357       0.974234        1.00109        1.00109       0.977123
        68.8649        280.578       0.984654       0.933992        1.00076       0.998619       0.857341       0.981611        1.00078        1.00078       0.983702
        95.9995        390.892       0.989038       0.952504        1.00054       0.999013       0.896087       0.986854        1.00056        1.00056       0.988364
        133.802        544.578       0.992158        0.96585        1.00039       0.999293       0.924633       0.990591         1.0004         1.0004       0.991679
        186.467        758.688       0.994385       0.975458        1.00028       0.999494       0.945502        0.99326        1.00028        1.00028       0.994043
        259.838        1056.98       0.995977       0.982371         1.0002       0.999637        0.96068        0.99517         1.0002         1.0002       0.995733
        362.056        1472.55       0.997115       0.987333        1.00014        0.99974       0.971657       0.996535        1.00015        1.00015        0.99694
        504.462         2051.5       0.997927       0.990887         1.0001       0.999813       0.979564        0.99751        1.00011        1.00011       0.997802
        702.859        2858.09       0.998521       0.993491        1.00007       0.999867       0.985382       0.998223        1.00007        1.00007       0.998431
        979.259        3981.79       0.998955         0.9954        1.00005       0.999906       0.989656       0.998745        1.00005        1.00005       0.998892
        1364.33         5547.3        0.99924       0.996653        1.00004       0.999931       0.992465       0.999087        1.00004        1.00004       0.999194
        1900.78        7728.32       0.999417       0.997428        1.00003       0.999947       0.994208       0.999299        1.00003        1.00003       0.999381
        2648.16        10766.8       0.999558       0.998051        1.00002        0.99996       0.995609       0.999469        1.00002        1.00002       0.999531
         3689.4          15000       0.999702       0.998685        1.00001       0.999973       0.997037       0.999642        1.00002        1.00002       0.999684
