        V[fm^3]            pi0            pi+             K+            K0S            eta         KStar+            phi              p              n         Lambda         Sigma+         Sigma+         Sigma0           Ksi0           Ksi-          Omega
              4       0.735585       0.504632       0.500108       0.826474       0.820453          0.405       0.999588      0.0378391       0.044459      0.0454787      0.0431801      0.0326816      0.0478129      0.0443721      0.0337285      0.0272598
        5.44105       0.764565       0.561024       0.565101       0.847935       0.842973       0.485683       0.999644      0.0573995      0.0661845      0.0675439      0.0647177       0.050528      0.0706115       0.066024      0.0519146      0.0433395
        7.40126       0.799163       0.628404        0.64186       0.873346       0.869611       0.580665       0.999709      0.0879147      0.0992925       0.101062      0.0977537       0.078975       0.104988      0.0990139      0.0807662      0.0696762
        10.0677       0.836826       0.701721       0.723867       0.900624       0.898158        0.68161       0.999779       0.134314       0.148484       0.150701        0.14708       0.123127       0.155522       0.148037       0.125351       0.111563
        13.6947       0.873021        0.77188       0.800006       0.926192       0.924831       0.774477       0.999844       0.201301       0.218007       0.220636       0.216987       0.188053       0.226234       0.217356       0.190666       0.174446
        18.6283       0.903609       0.830363       0.860327       0.946842        0.94625        0.84684       0.999894       0.291273       0.309714       0.312632       0.309246       0.276594       0.318722       0.308867       0.279468       0.261602
        25.3394        0.92759       0.874824        0.90269       0.961877       0.961695       0.896205       0.999928       0.402363       0.421359       0.424379       0.421444         0.3872       0.430574       0.420378       0.390152       0.371783
        34.4683        0.94642       0.908172       0.931474       0.972646       0.972614       0.928366       0.999951       0.526381       0.544638        0.54755       0.545132       0.511782       0.553446       0.543616       0.514612       0.496987
        46.8859       0.961321       0.933492       0.951457       0.980519       0.980507        0.94973       0.999965       0.647791       0.664149       0.666763       0.664856       0.634696       0.672009       0.663181       0.637227       0.621455
        63.7772       0.972599       0.952313       0.965476        0.98621        0.98618       0.964276       0.999975       0.749466        0.76318       0.765375       0.763929       0.738478       0.769751       0.762338       0.740598       0.727386
        86.7537       0.980598       0.965775       0.975272       0.990197       0.990155       0.974348       0.999982       0.823633       0.834543       0.836292       0.835226       0.814887       0.839761       0.833857       0.816572       0.806068
        118.008       0.986109       0.975249       0.982143       0.992959       0.992919        0.98144       0.999987       0.874334       0.882732       0.884079       0.883305       0.867599       0.886742       0.882195       0.868895       0.860813
        160.522       0.989953       0.981985       0.987026       0.994901       0.994867       0.986505       0.999991         0.9093        0.91565       0.916669       0.916108       0.904206       0.918679       0.915239       0.905185       0.899076
        218.352       0.992692        0.98684       0.990539       0.996288       0.996262       0.990156       0.999993       0.934069       0.938824       0.939588       0.939181       0.930254       0.941091       0.938514       0.930987       0.926413
        297.016       0.994666       0.990366       0.993085        0.99729        0.99727       0.992803       0.999995       0.951892       0.955432          0.956       0.955704       0.949051       0.957119       0.955199       0.949597       0.946192
        404.019       0.996099       0.992939       0.994937       0.998018       0.998002       0.994731       0.999996       0.964815       0.967441       0.967862       0.967647       0.962708       0.968691       0.967267       0.963113       0.960588
        549.572       0.997142        0.99482       0.996289       0.998548       0.998536       0.996138       0.999997       0.974228        0.97617       0.976482       0.976324        0.97267       0.977095       0.976042       0.972969       0.971102
        747.563       0.997904       0.996197       0.997277       0.998935       0.998926       0.997166       0.999998       0.981102       0.982536       0.982767       0.982652       0.979951       0.983219       0.982441       0.980172       0.978793
        1016.88       0.998461       0.997203       0.997998       0.999217       0.999211       0.997916       0.999999       0.986129       0.987189       0.987359       0.987275       0.985279       0.987694       0.987119       0.985442       0.984423
        1383.23       0.998871       0.997949       0.998533       0.999426       0.999422       0.998474       0.999999       0.989821         0.9906       0.990725       0.990663       0.989195        0.99097       0.990548       0.989315       0.988566
        1881.55       0.999177       0.998508       0.998936       0.999583        0.99958       0.998894       0.999999        0.99254       0.993106       0.993197       0.993152       0.992086       0.993375       0.993068       0.992173       0.991629
         2559.4       0.999396       0.998906        0.99922       0.999694       0.999692        0.99919       0.999999       0.994523       0.994938       0.995005       0.994972       0.994189       0.995136        0.99491       0.994253       0.993854
        3481.46       0.999546       0.999169       0.999404       0.999768       0.999766       0.999378              1       0.995946       0.996266       0.996317       0.996292        0.99569       0.996418       0.996245       0.995739       0.995432
         4735.7       0.999653       0.999357       0.999534       0.999821       0.999819        0.99951              1       0.996983       0.997234       0.997275       0.997255        0.99678       0.997354       0.997217       0.996818       0.996576
         6441.8       0.999744       0.999523       0.999654       0.999867       0.999865       0.999635              1       0.997779       0.997967       0.997997       0.997982       0.997628       0.998056       0.997954       0.997657       0.997476
        8762.54       0.999824       0.999679        0.99977        0.99991        0.99991       0.999761              1       0.998414       0.998539       0.998559       0.998548       0.998318       0.998597       0.998531       0.998337       0.998219
        11919.4       0.999886       0.999803       0.999865       0.999945       0.999945       0.999864              1       0.998884       0.998955       0.998966       0.998959        0.99883       0.998988       0.998951       0.998841       0.998775
        16213.5       0.999924       0.999878       0.999922       0.999966       0.999966       0.999925              1       0.999179       0.999217       0.999223       0.999221       0.999147       0.999235       0.999214       0.999153       0.999116
        22054.6       0.999943       0.999911       0.999945       0.999975       0.999976       0.999949              1       0.999363       0.999386        0.99939       0.999391       0.999337       0.999399       0.999384       0.999341       0.999315
          30000       0.999954       0.999926       0.999952       0.999979        0.99998       0.999954              1       0.999513       0.999533       0.999537       0.999538       0.999488       0.999544       0.999531       0.999492       0.999468
