        dNpi/dy       Vc[fm^3]  H3La/He3|La/P
      0.0768496              1       0.986117
       0.111546        1.39317        1.07303
       0.164161        1.94091        1.13707
       0.245806        2.70402        1.17262
       0.375664        3.76715        1.17747
       0.586958        5.24826        1.15221
       0.935539        7.31171        1.10007
        1.50743        10.1864        1.02737
         2.4141        14.1914       0.943858
        3.77166         19.771       0.861345
        5.70461        27.5443       0.789978
        8.40103        38.3738       0.734247
        12.1498        53.4611        0.69276
        17.3552        74.4802       0.661988
        24.5829        103.763       0.639198
        34.6323         144.56       0.622553
        48.6212        201.396       0.610589
        68.1035        280.578       0.602081
        95.2414        390.892       0.596049
        133.046        544.578       0.591772
        185.713        758.688       0.588733
        259.084        1056.98        0.58657
        361.303        1472.55       0.585025
        503.717         2051.5       0.583926
        702.116        2858.09       0.583137
        978.491        3981.79       0.582559
        1363.52         5547.3       0.582146
        1899.98        7728.32       0.581878
        2647.44        10766.8         0.5817
        3688.81          15000        0.58155
