        dNpi/dy       Vc[fm^3]           La/P       H3La/He3
      0.0768496              1       0.386443       0.381078
       0.111546        1.39317       0.391014       0.419568
       0.164161        1.94091       0.397336       0.451799
       0.245806        2.70402       0.406034       0.476125
       0.375664        3.76715       0.417878       0.492038
       0.586958        5.24826       0.433716        0.49973
       0.935539        7.31171       0.454222       0.499675
        1.50743        10.1864       0.479336       0.492455
         2.4141        14.1914       0.507371       0.478886
        3.77166         19.771       0.534441       0.460338
        5.70461        27.5443       0.555661        0.43896
        8.40103        38.3738       0.568472       0.417399
        12.1498        53.4611       0.574454       0.397959
        17.3552        74.4802       0.576859       0.381874
        24.5829        103.763       0.577808       0.369334
        34.6323         144.56       0.578182       0.359949
        48.6212        201.396        0.57832       0.353116
        68.1035        280.578       0.578361        0.34822
        95.2414        390.892       0.578364       0.344733
        133.046        544.578       0.578353       0.342253
        185.713        758.688       0.578339       0.340487
        259.084        1056.98       0.578327       0.339229
        361.303        1472.55       0.578315       0.338329
        503.717         2051.5       0.578303       0.337686
        702.116        2858.09       0.578296       0.337226
        978.491        3981.79         0.5783       0.336894
        1363.52         5547.3       0.578305       0.336658
        1899.98        7728.32       0.578295       0.336497
        2647.44        10766.8       0.578276       0.336383
        3688.81          15000       0.578268       0.336292
