        dNpi/dy       Vc[fm^3]     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
      0.0817669            1.6       0.359634     0.00488324        3.00476      0.0248081    0.000807119      0.0168773
       0.121155        2.22907       0.376247     0.00715096        2.82523      0.0344751     0.00124029      0.0238851
       0.182906        3.10546       0.399522      0.0106785        2.60726      0.0479737      0.0019762      0.0340596
       0.282113        4.32643       0.432074      0.0163673         2.3551      0.0669679     0.00329866      0.0490981
       0.444731        6.02744       0.477282      0.0259258        2.08144      0.0940171     0.00582459       0.071813
       0.713198        8.39722       0.538855      0.0426359         1.8084       0.133094      0.0109394       0.106843
        1.14901        11.6987       0.619005      0.0725965        1.56401       0.190045      0.0217501       0.161328
        1.82467        16.2983       0.714144       0.125795        1.37232       0.271959      0.0447743       0.244142
        2.81241        22.7062        0.81012       0.213985        1.24062        0.38322       0.091344       0.360715
        4.20186        31.6336       0.886511       0.340939        1.15702       0.517747       0.174329       0.503269
        6.13581        44.0709       0.933539       0.490415        1.10398       0.654819       0.296037       0.647367
        8.82308        61.3981       0.958527       0.631125        1.06965         0.7688       0.437849       0.765535
        12.5536        85.5377        0.97243       0.740474         1.0474       0.847457       0.571493       0.846232
        17.7362        119.168       0.981095       0.817173        1.03285       0.896925       0.680997       0.896607
        24.9464        166.021       0.986844       0.870262        1.02306       0.928614        0.76534       0.928664
        34.9856        231.296       0.990759       0.907541        1.01631       0.949885       0.828699       0.950057
        48.9687        322.233       0.993467       0.933955        1.01159       0.964555         0.8756       0.964746
        68.4472        448.925       0.995361       0.952753        1.00826       0.974813       0.909978       0.974985
        95.5826        625.427       0.996695       0.966167         1.0059       0.982048       0.935012       0.982188
        133.386        871.324       0.997641       0.975757        1.00422       0.987178       0.953165       0.987288
         186.05         1213.9       0.998316       0.982623        1.00303        0.99083       0.966291       0.990915
        259.423        1691.17        0.99879       0.987533        1.00216       0.993433       0.975746       0.993494
        361.647        2356.08        0.99912        0.99104        1.00154       0.995292        0.98253        0.99533
        504.049        3282.41       0.999377       0.993583        1.00111       0.996627       0.987473       0.996659
        702.423        4572.94       0.999586       0.995448        1.00083       0.997588       0.991126       0.997629
        978.801        6370.87       0.999718       0.996748        1.00061       0.998274        0.99365       0.998313
        1363.88        8875.68       0.999767       0.997594        1.00043       0.998759       0.995236       0.998773
        1900.41        12365.3       0.999788        0.99819        1.00028       0.999101       0.996371       0.999089
        2647.89        17226.9       0.999836        0.99871        1.00016       0.999348       0.997453        0.99933
        3689.17          24000       0.999907       0.999157         1.0001       0.999532       0.998427       0.999525
