        dNpi/dy       Vc[fm^3]     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
      0.0768496              1       0.343883     0.00291111        3.19697      0.0155662    0.000459081      0.0104024
       0.111546        1.39317       0.354193     0.00418306        3.06855      0.0216265    0.000680351      0.0146233
       0.164161        1.94091       0.368626     0.00608585        2.90487      0.0300473     0.00103266      0.0206458
       0.245806        2.70402       0.388845     0.00900753        2.70283      0.0417816     0.00161875      0.0293372
       0.375664        3.76715       0.417156      0.0136452        2.46393      0.0582317     0.00264668      0.0420807
       0.586957        5.24826       0.456628      0.0213026        2.19708      0.0815297     0.00456027      0.0611505
       0.935537        7.31171       0.510947      0.0344804        1.92056       0.114988     0.00834556      0.0903244
        1.50742        10.1864       0.583316      0.0579277        1.66076       0.163645      0.0162279       0.135655
        2.41408        14.1914       0.673247      0.0999753        1.44497       0.234304      0.0330598       0.205593
        3.77159         19.771       0.771288       0.172319        1.28874       0.333259      0.0681468        0.30803
        5.70443        27.5443       0.858073       0.283744        1.18727        0.45979       0.134683       0.441868
        8.40065        38.3738       0.917278       0.427185        1.12333        0.59904       0.241242       0.588973
        12.1492        53.4611       0.949979       0.575379         1.0822       0.725289       0.378097       0.720605
        17.3543        74.4802       0.967482       0.699145        1.05554       0.818824        0.51815       0.816933
        24.5817        103.763       0.977922       0.788586        1.03821       0.879036       0.638502       0.878431
         34.631         144.56       0.984715       0.850392         1.0267       0.916965       0.732951       0.916904
        48.6199        201.396       0.989301       0.893533        1.01884       0.941976       0.804501       0.942115
        68.1021        280.578       0.992454       0.924012        1.01336       0.959069       0.857753        0.95926
        95.2399        390.892       0.994651        0.94567        1.00952       0.970965       0.896928       0.971147
        133.045        544.578       0.996194       0.961109        1.00679       0.979328       0.925524       0.979482
        185.711        758.688       0.997285       0.972139        1.00486       0.985247       0.946292       0.985369
        259.083        1056.98       0.998062       0.980032        1.00348       0.989454       0.961325       0.989549
        361.301        1472.55       0.998613       0.985682        1.00249       0.992452       0.972176       0.992523
        503.715         2051.5       0.998995       0.989716        1.00177       0.994591       0.979966       0.994637
        702.115        2858.09       0.999276       0.992615        1.00127       0.996122       0.985588       0.996154
        978.489        3981.79       0.999506       0.994742        1.00093       0.997225       0.989742       0.997262
        1363.52         5547.3       0.999674       0.996269         1.0007       0.998016       0.992728       0.998059
        1899.98        7728.32       0.999755       0.997285         1.0005       0.998577       0.994661       0.998604
        2647.43        10766.8       0.999778       0.997957        1.00034       0.998972       0.995918        0.99897
         3688.8          15000       0.999811       0.998498         1.0002       0.999254       0.997002       0.999236
