        dNpi/dy       Vc[fm^3]          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
      0.0933613              3      0.0712572    5.33777e-05      0.0611887     0.00256605    1.62127e-06     0.00105048
       0.143668         4.1795      0.0769044    8.15653e-05      0.0553986     0.00358046    2.69182e-06     0.00151233
       0.225991        5.82274      0.0847562     0.00012872      0.0490675       0.005023    4.72354e-06     0.00220831
       0.361925        8.11205      0.0954818    0.000210848      0.0426882     0.00710397    8.81448e-06     0.00327962
       0.583287        11.3014       0.109534    0.000357893      0.0369064      0.0101361    1.74335e-05     0.00494624
       0.928507        15.7448       0.126425    0.000619873      0.0323053      0.0145106    3.58184e-05     0.00749099
        1.43606        21.9351       0.143821     0.00105874      0.0291047      0.0205036    7.33318e-05      0.0111127
        2.15181        30.5593       0.158049     0.00170197      0.0270646      0.0278588    0.000141306      0.0156194
        3.14842        42.5742       0.167023     0.00247676      0.0257728      0.0355035    0.000243287      0.0202731
        4.53342         59.313       0.171821     0.00322301       0.024938      0.0419988    0.000365023      0.0241725
        6.45619        82.6328       0.174461     0.00381264      0.0243968      0.0465551       0.000482      0.0268781
        9.12697        115.121       0.176089      0.0042286      0.0240435      0.0494312    0.000578857       0.028573
        12.8421        160.383       0.177165     0.00451623      0.0238066      0.0512648    0.000653754      0.0296463
        18.0148        223.441       0.177897     0.00471792      0.0236437      0.0524905    0.000710127      0.0303596
        25.2192         311.29       0.178402     0.00486074      0.0235298      0.0533341    0.000751908      0.0308483
        35.2551        433.679       0.178755     0.00496235      0.0234496      0.0539234     0.00078256      0.0311885
        49.2359        604.187       0.179003     0.00503484      0.0233927      0.0543387    0.000804893      0.0314277
        68.7129        841.734       0.179179     0.00508665      0.0233522      0.0546331    0.000821094      0.0315969
        95.8469        1172.68       0.179305     0.00512374      0.0233234      0.0548425    0.000832811      0.0317172
         133.65        1633.73       0.179393     0.00515028      0.0233027      0.0549918    0.000841256      0.0318028
        186.318        2276.06       0.179455     0.00516922      0.0232876      0.0550984    0.000847314      0.0318637
        259.687        3170.93       0.179502     0.00518293      0.0232772      0.0551749    0.000851717      0.0319076
        361.894        4417.64        0.17954     0.00519299      0.0232704      0.0552299    0.000854975      0.0319398
        504.289        6154.51       0.179566     0.00520006      0.0232653      0.0552693    0.000857251      0.0319625
        702.689        8574.26       0.179576     0.00520468       0.023261      0.0552972    0.000858687      0.0319779
        979.119        11945.4       0.179579     0.00520787      0.0232573      0.0553168    0.000859686      0.0319884
        1364.24        16641.9       0.179587     0.00521061      0.0232546      0.0553309     0.00086062      0.0319963
        1900.73          23185         0.1796       0.005213      0.0232531      0.0553414     0.00086148      0.0320027
        2648.11        32300.5        0.17961      0.0052147      0.0232524      0.0553491    0.000862076      0.0320075
        3689.31          45000       0.179615     0.00521567      0.0232521      0.0553546    0.000862382      0.0320109
