        dNpi/dy       Vc[fm^3]          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
       0.662478              3      0.0432079    8.30708e-05      0.0258716       0.059242    1.37148e-06     0.00498535
       0.708276        3.20365      0.0447824    9.23744e-05      0.0258416      0.0591984    1.56815e-06     0.00528741
       0.757297        3.42113      0.0464541     0.00010279      0.0258099       0.059152    1.79649e-06     0.00560823
       0.809774        3.65337      0.0482278    0.000114452      0.0257761      0.0591029    2.06197e-06     0.00594876
       0.865957        3.90138      0.0501084    0.000127509      0.0257404      0.0590507    2.37098e-06     0.00630993
       0.926118        4.16623      0.0521006    0.000142127      0.0257025      0.0589955    2.73104e-06      0.0066927
       0.990547        4.44905       0.054209    0.000158487      0.0256624       0.058937    3.15097e-06     0.00709796
        1.05956        4.75107      0.0564379    0.000176792        0.02562      0.0588751    3.64111e-06     0.00752661
        1.13348         5.0736      0.0587914    0.000197262      0.0255753      0.0588098    4.21355e-06     0.00797945
        1.21269        5.41802      0.0612731    0.000220137       0.025528      0.0587408    4.88239e-06     0.00845721
        1.29756        5.78582      0.0638861     0.00024568      0.0254783      0.0586682    5.66408e-06     0.00896054
        1.38852        6.17858      0.0666326    0.000274173       0.025426      0.0585918    6.57772e-06     0.00948993
        1.48602        6.59801       0.069514    0.000305917      0.0253712      0.0585117    7.64538e-06      0.0100457
        1.59053        7.04592      0.0725305    0.000341234      0.0253137      0.0584277    8.89254e-06      0.0106279
        1.70258        7.52423      0.0756811    0.000380459      0.0252537        0.05834    1.03484e-05      0.0112365
        1.82271        8.03501      0.0789629    0.000423943      0.0251912      0.0582485    1.20464e-05       0.011871
        1.95153        8.58046      0.0823716    0.000472042      0.0251262      0.0581535    1.40242e-05      0.0125306
        2.08966        9.16294      0.0859007    0.000525113      0.0250589       0.058055    1.63246e-05      0.0132141
        2.23777        9.78496      0.0895413    0.000583505      0.0249895      0.0579533    1.89951e-05        0.01392
        2.39659        10.4492      0.0932823     0.00064755      0.0249181      0.0578488    2.20883e-05      0.0146461
        2.56688        11.1586      0.0971099    0.000717551      0.0248451      0.0577417    2.56618e-05        0.01539
        2.74945         11.916       0.101008    0.000793766      0.0247706      0.0576325    2.97781e-05      0.0161485
        2.94515         12.725       0.104957    0.000876392      0.0246952      0.0575218    3.45034e-05       0.016918
        3.15489        13.5888       0.108936    0.000965557      0.0246191      0.0574102    3.99074e-05      0.0176946
        3.37963        14.5113       0.112921     0.00106129      0.0245429      0.0572982    4.60614e-05      0.0184737
        3.62036        15.4964       0.116887     0.00116353       0.024467      0.0571866    5.30371e-05      0.0192505
        3.87814        16.5483       0.120809     0.00127207      0.0243919       0.057076    6.09045e-05      0.0200199
        4.15409        17.6717       0.124658      0.0013866      0.0243182      0.0569674    6.97291e-05      0.0207768
        4.44938        18.8713       0.128409     0.00150668      0.0242462      0.0568613    7.95699e-05      0.0215161
        4.76524        20.1524       0.132036     0.00163171      0.0241766      0.0567586    9.04759e-05      0.0222329
        5.10298        21.5204       0.135518     0.00176101      0.0241097      0.0566597    0.000102484      0.0229226
        5.46399        22.9813       0.138834     0.00189376      0.0240459      0.0565654    0.000115616      0.0235815
        5.84974        24.5414       0.141968     0.00202908      0.0239856       0.056476    0.000129875      0.0242064
        6.26179        26.2074        0.14491     0.00216602      0.0239289      0.0563918    0.000145248      0.0247948
        6.70184        27.9865       0.147653      0.0023036      0.0238759      0.0563132    0.000161699      0.0253452
        7.17168        29.8863       0.150194     0.00244087      0.0238268      0.0562401    0.000179175      0.0258572
        7.67326        31.9152       0.152535      0.0025769      0.0237815      0.0561726    0.000197601      0.0263308
        8.20866        34.0817       0.154683     0.00271084      0.0237399      0.0561104    0.000216884      0.0267671
        8.78014        36.3953       0.156646     0.00284192      0.0237018      0.0560534     0.00023692      0.0271677
         9.3901         38.866       0.158437     0.00296949       0.023667      0.0560013    0.000257587      0.0275346
        10.0411        41.5044       0.160068     0.00309301      0.0236352      0.0559536    0.000278759      0.0278703
