        dNpi/dy       Vc[fm^3]          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
       0.245971              3       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.262668        3.20365       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.280499        3.42113       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.299541        3.65337       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.319875        3.90138       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        0.34159        4.16623       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.364779        4.44905       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.389541        4.75107       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.415985         5.0736       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.444224        5.41802       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        0.47438        5.78582       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.506583        6.17858       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.540973        6.59801       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.577696        7.04592       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.616913        7.52423       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.658792        8.03501       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.703514        8.58046       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.751271        9.16294       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.802271        9.78496       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.856733        10.4492       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.914892        11.1586       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
       0.976999         11.916       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.04332         12.725       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.11415        13.5888       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.18978        14.5113       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.27055        15.4964       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         1.3568        16.5483       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.44891        17.6717       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.54726        18.8713       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         1.6523        20.1524       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.76447        21.5204       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        1.88425        22.9813       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.01216        24.5414       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.14875        26.2074       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.29462        27.9865       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.45039        29.8863       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.61673        31.9152       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.79437        34.0817       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        2.98406        36.3953       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        3.18663         38.866       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        3.40296        41.5044       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        3.63397        44.3219       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        3.88066        47.3307       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        4.14409        50.5438       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        4.42541        53.9749       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        4.72583         57.639       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        5.04664        61.5518       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        5.38923        65.7302       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        5.75508        70.1922       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        6.14576        74.9572       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        6.56296        80.0457       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        7.00849        85.4795       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        7.48425        91.2823       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        7.99232        97.4789       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        8.53487        104.096       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        9.11426        111.163       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        9.73298        118.709       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        10.3937        126.768       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        11.0993        135.373       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        11.8527        144.563       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        12.6574        154.376       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        13.5166        164.856       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        14.4342        176.047       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         15.414        187.998       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        16.4604        200.761       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        17.5778        214.389       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        18.7711        228.943       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        20.0453        244.485       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        21.4061        261.081       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        22.8593        278.805       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         24.411        297.731       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        26.0682        317.943       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        27.8378        339.526       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        29.7276        362.575       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        31.7456        387.188       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        33.9007        413.472       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         36.202         441.54       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        38.6595        471.514       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        41.2839        503.523       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        44.0865        537.704       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        47.0793        574.206       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        50.2752        613.186       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        53.6881        654.812       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        57.3327        699.263       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        61.2248        746.732       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         65.381        797.424       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        69.8193        851.557       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         74.559        909.365       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        79.6204        971.096       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        85.0254        1037.02       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        90.7973        1107.42       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        96.9611        1182.59       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        103.543        1262.87       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        110.572         1348.6       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        118.078        1440.15       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        126.094        1537.92       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        134.654        1642.32       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        143.795        1753.81       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
        153.556        1872.86       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
         163.98           2000       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184
