        dNpi/dy       Vc[fm^3]     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
       0.219035            1.6       0.179133     0.00601416        1.12174        1.07548    0.000488982      0.0896854
       0.306278        2.22907       0.206964     0.00994787        1.11766        1.07298    0.000889258        0.11958
       0.428864        3.10546       0.245099      0.0168341        1.11206        1.06955     0.00170502       0.160594
       0.601618        4.32643       0.296726       0.028998        1.10448        1.06491     0.00343527        0.21621
       0.845925        6.02744       0.365114      0.0504183        1.09443        1.05875     0.00720392       0.290058
        1.19262        8.39722        0.45228      0.0873395         1.0816        1.05088      0.0154602       0.384499
        1.68563        11.6987       0.556233       0.147916        1.06628        1.04145      0.0331042       0.497671
        2.38551        16.2983       0.667556       0.238876        1.04983         1.0313      0.0683706       0.619722
        3.37249        22.7062       0.769627       0.358249         1.0347        1.02193       0.131094       0.732802
        4.75228        31.6336       0.847524       0.490388        1.02309        1.01469        0.22605       0.820437
        6.67134        44.0709       0.898742        0.61368         1.0154        1.00985       0.345837       0.879234
        9.33947        61.3981       0.930933       0.714811        1.01054        1.00676       0.473058       0.916947
         13.053        85.5377       0.951927       0.792095        1.00735        1.00473       0.590881       0.941901
        18.2247        119.168       0.966172       0.849359        1.00518        1.00333       0.690269       0.958983
        25.4286        166.021       0.976042       0.891219        1.00367        1.00237       0.769403       0.970886
         35.464        231.296       0.982962       0.921605        1.00261        1.00168       0.830229       0.979264
        49.4445        322.233        0.98785       0.943576        1.00186         1.0012       0.875957       0.985197
        68.9213        448.925       0.991318       0.959423        1.00133        1.00086       0.909842       0.989415
        96.0556        625.427       0.993789       0.970836        1.00095        1.00062       0.934708       0.992423
        133.858        871.324       0.995552       0.979048        1.00068        1.00044        0.95284       0.994572
        186.523         1213.9       0.996813       0.984952        1.00049        1.00032       0.965999       0.996109
        259.894        1691.17       0.997712       0.989181        1.00035        1.00023       0.975485       0.997207
        362.111        2356.08       0.998358       0.992227        1.00025        1.00016       0.982354       0.997995
        504.519        3282.41       0.998835       0.994482        1.00018        1.00012       0.987457       0.998578
        702.916        4572.94       0.999173       0.996079        1.00013        1.00008       0.991076        0.99899
        979.311        6370.87       0.999384       0.997076        1.00009        1.00006       0.993339       0.999247
        1364.37        8875.68       0.999523       0.997738        1.00007        1.00005       0.994845       0.999418
        1900.84        12365.3       0.999652       0.998348        1.00005        1.00003       0.996235       0.999575
        2648.24        17226.9       0.999781       0.998961        1.00003        1.00002       0.997632       0.999733
        3689.49          24000       0.999883       0.999446        1.00002        1.00001       0.998736       0.999857
