        dNpi/dy       Vc[fm^3]     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
       0.218262              1       0.152297     0.00307691        1.12568        1.07788    0.000228425      0.0608863
       0.304782        1.39317       0.169911     0.00491068        1.12309        1.07631    0.000386851       0.079786
       0.425979        1.94091       0.194259     0.00803903        1.11952        1.07412     0.00068834       0.105929
       0.596099        2.70402       0.227731       0.013481        1.11461        1.07112     0.00129108       0.141908
       0.835529        3.76715       0.273315      0.0230691        1.10792        1.06702     0.00254997       0.190976
        1.17362        5.24826       0.334343      0.0400057        1.09895        1.06152     0.00526728       0.256805
        1.65274        7.31171       0.413602      0.0695425        1.08729        1.05437      0.0112243       0.342546
        2.33369        10.1864       0.511198       0.119216        1.07292        1.04554      0.0241449       0.448562
        3.30162        14.1914       0.621148       0.197038         1.0567        1.03554       0.050856       0.568714
        4.67115         19.771       0.729297        0.30567        1.04069        1.02564       0.101042       0.687945
        6.59246        27.5443       0.818439        0.43511        1.02743         1.0174       0.182653       0.787524
         9.2686        38.3738       0.880215       0.564442        1.01819        1.01161        0.29381       0.857817
        12.9884        53.4611       0.919226       0.675599        1.01231        1.00789       0.420262       0.903154
        18.1636        74.4802       0.944173       0.762535        1.00853        1.00548       0.543615       0.932652
        25.3694        103.763       0.960864       0.827582        1.00599        1.00385       0.651259       0.952604
        35.4061         144.56       0.972347       0.875344        1.00423        1.00273       0.738754       0.966424
        49.3875        201.396       0.980364         0.9101        1.00301        1.00194       0.806866       0.976116
        68.8649        280.578       0.986012       0.935265        1.00214        1.00138       0.858487       0.982964
        95.9996        390.892       0.990012       0.953432        1.00153        1.00099       0.896943       0.987826
        133.802        544.578       0.992858       0.966523         1.0011        1.00071       0.925265       0.991289
        186.467        758.688       0.994887       0.975945        1.00078        1.00051       0.945965       0.993761
        259.838        1056.98       0.996337       0.982723        1.00056        1.00036       0.961017        0.99553
        362.056        1472.55       0.997373       0.987586         1.0004        1.00026       0.971902       0.996793
        504.462         2051.5       0.998113        0.99107        1.00029        1.00019       0.979741       0.997696
        702.859        2858.09       0.998654       0.993622        1.00021        1.00013       0.985509       0.998356
         979.26        3981.79       0.999049       0.995492        1.00015        1.00009       0.989746       0.998839
        1364.33         5547.3       0.999309        0.99672        1.00011        1.00007       0.992531       0.999155
        1900.78        7728.32       0.999469        0.99748        1.00008        1.00005       0.994259       0.999351
        2648.16        10766.8       0.999598        0.99809        1.00006        1.00004       0.995647       0.999508
         3689.4          15000       0.999728       0.998711        1.00004        1.00003       0.997063       0.999668
