        dNpi/dy       Vc[fm^3]          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
       0.220826              3      0.0432079    8.30708e-05      0.0258716       0.059242    1.37148e-06     0.00498535
       0.309712         4.1795         0.0522    0.000142877      0.0257006      0.0589927    2.74993e-06     0.00671181
       0.435367        5.82274      0.0641463    0.000248306      0.0254734       0.058661    5.74649e-06     0.00901068
       0.613625        8.11205      0.0794505    0.000430637      0.0251819       0.058235    1.23154e-05      0.0119653
       0.867088        11.3014      0.0978601    0.000731824      0.0248308      0.0577207    2.64149e-05      0.0155359
        1.22706        15.7448       0.117842     0.00118924      0.0244487      0.0571597    5.48579e-05      0.0194377
        1.73514        21.9351       0.136499     0.00179927      0.0240908      0.0566319    0.000106184      0.0231175
        2.44602        30.5593        0.15101     0.00248717      0.0238111      0.0562167     0.00018532       0.026022
        3.43501        42.5742        0.16066     0.00313968      0.0236237      0.0559363     0.00028707      0.0279925
        4.80991         59.313       0.166723     0.00368064      0.0235052      0.0557573    0.000396944      0.0292561
        6.72333        82.6328       0.170657     0.00409612      0.0234278      0.0556397    0.000499954      0.0300886
        9.38796        115.121       0.173318     0.00440464      0.0233753      0.0555597    0.000587532       0.030657
        13.0996        160.383       0.175158     0.00463038       0.023339       0.055504    0.000657594      0.0310526
        18.2701        223.441       0.176448     0.00479434      0.0233134      0.0554649    0.000711606      0.0313307
        25.4731         311.29       0.177358     0.00491293      0.0232954      0.0554372    0.000752287      0.0315276
         35.508        433.679       0.178003     0.00499849      0.0232826      0.0554175     0.00078247      0.0316675
        49.4882        604.187       0.178463     0.00506011      0.0232735      0.0554035    0.000804639      0.0317673
        68.9647        841.734       0.178791     0.00510446       0.023267      0.0553935    0.000820812      0.0318385
        96.0988        1172.68       0.179025     0.00513634      0.0232623      0.0553864    0.000832556      0.0318895
        133.901        1633.73       0.179193     0.00515919       0.023259      0.0553813    0.000841028      0.0319259
        186.566        2276.06       0.179313     0.00517562      0.0232566      0.0553776     0.00084715       0.031952
        259.937        3170.93       0.179401     0.00518775      0.0232549      0.0553749    0.000851692      0.0319712
        362.155        4417.64       0.179464     0.00519644      0.0232536       0.055373    0.000854948       0.031985
         504.56        6154.51       0.179504     0.00520192      0.0232528      0.0553717    0.000857006      0.0319937
        702.952        8574.26        0.17953     0.00520548      0.0232523       0.055371    0.000858342      0.0319993
        979.349        11945.4       0.179553     0.00520865      0.0232519      0.0553702    0.000859538      0.0320043
        1364.42        16641.9       0.179577     0.00521187      0.0232514      0.0553695    0.000860752      0.0320094
         1900.9          23185       0.179596     0.00521451       0.023251      0.0553689    0.000861745      0.0320136
         2648.3        32300.5       0.179606     0.00521596      0.0232508      0.0553686    0.000862293      0.0320159
        3689.53          45000        0.17961     0.00521645      0.0232507      0.0553685    0.000862476      0.0320166
