        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
              3       0.173144            7.2            7.2       0.762394       0.145716      0.0048261      0.0169256      0.0787514    0.000714975      0.0369392
        3.20365       0.172973        7.68877        7.68877       0.763213       0.145831     0.00482023      0.0169381      0.0785452    0.000713934      0.0368664
        3.42113       0.172802        8.21072        8.21072       0.764084       0.145954     0.00481491      0.0169526      0.0783382    0.000713019      0.0367955
        3.65337       0.172631         8.7681         8.7681       0.765011       0.146085     0.00481017      0.0169692      0.0781305    0.000712239      0.0367266
        3.90138       0.172461        9.36332        9.36332       0.765997       0.146226     0.00480604      0.0169879      0.0779221      0.0007116      0.0366599
        4.16623        0.17229        9.99894        9.99894       0.767045       0.146377     0.00480256      0.0170089      0.0777128    0.000711112      0.0365954
        4.44905       0.172119        10.6777        10.6777       0.768159       0.146538     0.00479976      0.0170324      0.0775027    0.000710782      0.0365333
        4.75107       0.171948        11.4026        11.4026       0.769342        0.14671     0.00479769      0.0170585      0.0772918    0.000710619      0.0364737
         5.0736       0.171777        12.1766        12.1766         0.7706       0.146894     0.00479638      0.0170873        0.07708    0.000710634      0.0364168
        5.41802       0.171607        13.0032        13.0032       0.771935        0.14709     0.00479588       0.017119      0.0768672    0.000710835      0.0363627
        5.78582       0.171436         13.886         13.886       0.773352       0.147299     0.00479623      0.0171539      0.0766535    0.000711233      0.0363116
        6.17858       0.171265        14.8286        14.8286       0.774856       0.147522     0.00479747       0.017192      0.0764389    0.000711838      0.0362635
        6.59801       0.171094        15.8352        15.8352       0.776451       0.147759     0.00479966      0.0172336      0.0762231    0.000712662      0.0362187
        7.04592       0.170924        16.9102        16.9102       0.778142       0.148012     0.00480284      0.0172788      0.0760064    0.000713716      0.0361773
        7.52423       0.170753        18.0581        18.0581       0.779933        0.14828     0.00480706      0.0173278      0.0757885    0.000715013      0.0361395
        8.03501       0.170582         19.284         19.284        0.78183       0.148566     0.00481237      0.0173809      0.0755695    0.000716565      0.0361054
        8.58046       0.170411        20.5931        20.5931       0.783838       0.148869     0.00481883      0.0174383      0.0753494    0.000718384      0.0360751
        9.16294       0.170241        21.9911        21.9911       0.785961        0.14919     0.00482649      0.0175002       0.075128    0.000720484       0.036049
        9.78496        0.17007        23.4839        23.4839       0.788206       0.149531      0.0048354      0.0175667      0.0749054    0.000722879       0.036027
