        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
              3       0.173144            7.2          11.52       0.762394       0.765238       0.215174        1.29315       0.481881      0.0780904       0.417258
        3.20365       0.172973        7.68877         12.302       0.763213       0.782411       0.235746        1.26966       0.506386      0.0887252       0.443881
        3.42113       0.172802        8.21072        13.1371       0.764084       0.799159       0.257658        1.24797       0.531169        0.10058       0.471095
        3.65337       0.172631         8.7681         14.029       0.765011       0.815337       0.280835        1.22798       0.556069       0.113717       0.498701
        3.90138       0.172461        9.36332        14.9813       0.765997       0.830811       0.305167         1.2096       0.580913       0.128179       0.526481
        4.16623        0.17229        9.99894        15.9983       0.767045       0.845466       0.330515        1.19274       0.605522       0.143992         0.5542
        4.44905       0.172119        10.6777        17.0844       0.768159       0.859209       0.356708         1.1773       0.629718       0.161155       0.581623
        4.75107       0.171948        11.4026        18.2441       0.769342       0.871973       0.383549        1.16317       0.653329       0.179644       0.608518
         5.0736       0.171777        12.1766        19.4826         0.7706        0.88372       0.410823        1.15026       0.676195       0.199407       0.634665
        5.41802       0.171607        13.0032        20.8052       0.771935       0.894442       0.438308        1.13846       0.698173       0.220364       0.659869
        5.78582       0.171436         13.886        22.2175       0.773352       0.904154       0.465774        1.12769       0.719146       0.242412       0.683964
        6.17858       0.171265        14.8286        23.7258       0.774856         0.9129       0.493004        1.11786        0.73902       0.265424        0.70682
        6.59801       0.171094        15.8352        25.3364       0.776451       0.920736       0.519792        1.10889        0.75773       0.289254       0.728342
        7.04592       0.170924        16.9102        27.0563       0.778142       0.927737       0.545956        1.10071       0.775239       0.313746       0.748475
        7.52423       0.170753        18.0581         28.893       0.779933       0.933982       0.571341        1.09324       0.791538       0.338731       0.767201
        8.03501       0.170582         19.284        30.8544        0.78183       0.939552       0.595822        1.08642       0.806639       0.364042       0.784533
        8.58046       0.170411        20.5931         32.949       0.783838        0.94453       0.619305        1.08018       0.820578       0.389513       0.800512
        9.16294       0.170241        21.9911        35.1857       0.785961       0.948989       0.641727        1.07448       0.833407       0.414986       0.815198
        9.78496        0.17007        23.4839        37.5743       0.788206       0.952999       0.663053        1.06925        0.84519       0.440315        0.82867
        10.4492       0.169899        25.0781         40.125       0.790577       0.956619       0.683271        1.06445       0.855999       0.465368       0.841014
        11.1586       0.169728        26.7805        42.8488        0.79308       0.959901       0.702392        1.06004       0.865912       0.490028       0.852321
         11.916       0.169557        28.5985        45.7576        0.79572       0.962889        0.72044        1.05598       0.875006       0.514196       0.862683
         12.725       0.169387        30.5399        48.8639       0.798501       0.965619       0.737452        1.05224       0.883357       0.537789       0.872189
        13.5888       0.169216        32.6131         52.181        0.80143       0.968122       0.753472        1.04878       0.891038       0.560742       0.880922
        14.5113       0.169045         34.827        55.7232        0.80451       0.970424       0.768548        1.04558       0.898115       0.583001        0.88896
