        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
              3       0.173144            7.2            7.2       0.762394       0.629062      0.0980978        1.53876       0.305282      0.0271268       0.237841
        3.20365       0.172973        7.68877        7.68877       0.763213       0.645054       0.108421        1.50105       0.323721      0.0309909       0.255788
        3.42113       0.172802        8.21072        8.21072       0.764084         0.6616       0.119834        1.46502       0.343077      0.0354295       0.274942
        3.65337       0.172631         8.7681         8.7681       0.765011       0.678622       0.132419        1.43077       0.363337      0.0405191       0.295315
        3.90138       0.172461        9.36332        9.36332       0.765997       0.696027       0.146253        1.39836       0.384474      0.0463423       0.316898
        4.16623        0.17229        9.99894        9.99894       0.767045       0.713704       0.161403        1.36784       0.406442      0.0529867       0.339664
        4.44905       0.172119        10.6777        10.6777       0.768159       0.731526       0.177925        1.33924       0.429177      0.0605433       0.363558
        4.75107       0.171948        11.4026        11.4026       0.769342       0.749354       0.195856        1.31254       0.452595      0.0691043       0.388495
         5.0736       0.171777        12.1766        12.1766         0.7706       0.767039       0.215211        1.28773       0.476592      0.0787605       0.414363
        5.41802       0.171607        13.0032        13.0032       0.771935       0.784425       0.235978        1.26474       0.501042       0.089598       0.441017
        5.78582       0.171436         13.886         13.886       0.773352       0.801358       0.258117         1.2435       0.525803       0.101694       0.468286
        6.17858       0.171265        14.8286        14.8286       0.774856       0.817689       0.281551        1.22394       0.550715       0.115113        0.49597
        6.59801       0.171094        15.8352        15.8352       0.776451       0.833285       0.306171        1.20596       0.575607       0.129903       0.523849
        7.04592       0.170924        16.9102        16.9102       0.778142       0.848027       0.331836        1.18945       0.600301        0.14609       0.551692
        7.52423       0.170753        18.0581        18.0581       0.779933       0.861825       0.358369        1.17433       0.624618       0.163676        0.57926
        8.03501       0.170582         19.284         19.284        0.78183       0.874612       0.385573        1.16049       0.648384       0.182635       0.606318
        8.58046       0.170411        20.5931        20.5931       0.783838       0.886356       0.413226        1.14783       0.671437       0.202914       0.632647
        9.16294       0.170241        21.9911        21.9911       0.785961       0.897049       0.441098        1.13625        0.69363       0.224429       0.658047
        9.78496        0.17007        23.4839        23.4839       0.788206       0.906716       0.468956        1.12568        0.71484       0.247071       0.682349
        10.4492       0.169899        25.0781        25.0781       0.790577         0.9154       0.496574        1.11603        0.73497       0.270707        0.70542
        11.1586       0.169728        26.7805        26.7805        0.79308       0.923167        0.52374        1.10721       0.753947       0.295182       0.727162
         11.916       0.169557        28.5985        28.5985        0.79572       0.930093       0.550265        1.09916       0.771729       0.320329       0.747517
         12.725       0.169387        30.5399        30.5399       0.798501       0.936261        0.57599        1.09181       0.788301       0.345971       0.766461
        13.5888       0.169216        32.6131        32.6131        0.80143       0.941757       0.600784        1.08509       0.803671       0.371928       0.784004
        14.5113       0.169045         34.827         34.827        0.80451       0.946662       0.624549        1.07894        0.81787       0.398026       0.800185
        15.4964       0.168874        37.1912        37.1912       0.807747       0.951053       0.647221        1.07332       0.830946       0.424095       0.815062
        16.5483       0.168704         39.716         39.716       0.811145          0.955       0.668761        1.06816       0.842961        0.44998        0.82871
        17.6717       0.168533        42.4121        42.4121       0.814707        0.95856       0.689159        1.06343       0.853986       0.475543       0.841215
        18.8713       0.168362        45.2912        45.2912       0.818436       0.961787       0.708424        1.05908       0.864097        0.50066       0.852667
        20.1524       0.168191        48.3658        48.3658       0.822336       0.964722       0.726582        1.05507       0.873372       0.525227       0.863158
        21.5204       0.168021        51.6491        51.6491       0.826408       0.967402        0.74367        1.05137       0.881887        0.54916       0.872775
        22.9813        0.16785        55.1552        55.1552       0.830654       0.969855       0.759733        1.04796       0.889716        0.57239       0.881603
        24.5414       0.167679        58.8994        58.8994       0.835073       0.972107       0.774823         1.0448       0.896926       0.594862       0.889721
        26.2074       0.167508        62.8978        62.8978       0.839665       0.974179       0.788991        1.04187       0.903579        0.61654       0.897197
        27.9865       0.167338        67.1676        67.1676       0.844427       0.976087       0.802289        1.03916        0.90973       0.637394       0.904095
        29.8863       0.167167        71.7272        71.7272       0.849357       0.977847       0.814767        1.03664       0.915429        0.65741       0.910472
        31.9152       0.166996        76.5964        76.5964       0.854449       0.979473       0.826474        1.03429       0.920718       0.676577       0.916375
        34.0817       0.166825        81.7961        81.7961       0.859697       0.980975       0.837454         1.0321       0.925635       0.694897       0.921849
        36.3953       0.166654        87.3488        87.3488       0.865092       0.982363       0.847751        1.03007       0.930212       0.712372        0.92693
         38.866       0.166484        93.2785        93.2785       0.870625       0.983647       0.857406        1.02817        0.93448       0.729014       0.931653
        41.5044       0.166313        99.6106        99.6106       0.876283       0.984835       0.866454         1.0264       0.938463       0.744835       0.936045
        44.3219       0.166142        106.373        106.373       0.882052       0.985934       0.874933        1.02474       0.942183       0.759854       0.940135
        47.3307       0.165971        113.594        113.594       0.887916       0.986951       0.882875         1.0232       0.945661       0.774089       0.943944
        50.5438       0.165801        121.305        121.305       0.893857       0.987892       0.890312        1.02176       0.948915       0.787564       0.947494
        53.9749        0.16563         129.54         129.54       0.899854       0.988763       0.897272        1.02041        0.95196       0.800303       0.950804
         57.639       0.165459        138.334        138.334       0.905884       0.989568       0.903785        1.01914       0.954812       0.812329        0.95389
        61.5518       0.165288        147.724        147.724       0.911923       0.990313       0.909876        1.01796       0.957485       0.823671        0.95677
        65.7302       0.165118        157.752        157.752       0.917945       0.991001       0.915571        1.01686       0.959989       0.834355       0.959457
        70.1922       0.164947        168.461        168.461       0.923922       0.991637       0.920892        1.01582       0.962337       0.844408       0.961965
        74.9572       0.164776        179.897        179.897       0.929824       0.992225       0.925864        1.01485       0.964539        0.85386       0.964305
        80.0457       0.164605         192.11         192.11       0.935623       0.992768       0.930507        1.01395       0.966605       0.862737       0.966491
        85.4795       0.164434        205.151        205.151       0.941287       0.993269       0.934842         1.0131       0.968543       0.871068       0.968531
        91.2823       0.164264        219.077        219.077       0.946787       0.993732       0.938887         1.0123       0.970362        0.87888       0.970436
        97.4789       0.164093        233.949        233.949       0.952092       0.994159       0.942662        1.01156        0.97207       0.886202       0.972215
        104.096       0.163922        249.831        249.831       0.957175       0.994553       0.946185        1.01086       0.973673       0.893059       0.973876
        111.163       0.163751        266.791        266.791       0.962009       0.994917       0.949471         1.0102       0.975178       0.899479       0.975429
        118.709       0.163581        284.902        284.902        0.96657       0.995253       0.952536        1.00959       0.976592       0.905488       0.976879
        126.768        0.16341        304.242        304.242       0.970838       0.995562       0.955396        1.00902        0.97792       0.911109       0.978235
        135.373       0.163239        324.895        324.895       0.974796       0.995848       0.958064        1.00848       0.979168       0.916368       0.979503
        144.563       0.163068        346.951        346.951       0.978431       0.996112       0.960555        1.00797       0.980341       0.921287       0.980688
        154.376       0.162898        370.504        370.504       0.981736       0.996356        0.96288         1.0075       0.981444        0.92589       0.981798
        164.856       0.162727        395.655        395.655       0.984709       0.996582       0.965051        1.00705       0.982481       0.930197       0.982836
        176.047       0.162556        422.514        422.514       0.987351       0.996791       0.967081        1.00664       0.983457       0.934229       0.983809
        187.998       0.162385        451.196        451.196        0.98967       0.996984       0.968979        1.00624       0.984375       0.938005       0.984721
        200.761       0.162215        481.825        481.825       0.991679       0.997164       0.970755        1.00588        0.98524       0.941543       0.985577
        214.389       0.162044        514.534        514.534       0.993396       0.997331       0.972419        1.00553       0.986054       0.944861       0.986379
        228.943       0.161873        549.463        549.463       0.994839       0.997486       0.973978        1.00521       0.986821       0.947974       0.987133
        244.485       0.161702        586.763        586.763       0.996034       0.997631       0.975441         1.0049       0.987543       0.950897       0.987842
        261.081       0.161531        626.595        626.595       0.997007       0.997766       0.976814        1.00462       0.988225       0.953644       0.988509
        278.805       0.161361        669.131        669.131       0.997783       0.997893       0.978105        1.00435       0.988867       0.956228       0.989136
        297.731        0.16119        714.555        714.555       0.998392       0.998012        0.97932        1.00409       0.989474       0.958661       0.989728
        317.943       0.161019        763.062        763.062       0.998858       0.998123       0.980463        1.00386       0.990046       0.960952       0.990285
        339.526       0.160848        814.862        814.862       0.999208       0.998228        0.98154        1.00363       0.990586       0.963111       0.990811
        362.575       0.160678        870.179        870.179       0.999464       0.998326       0.982555        1.00342       0.991096       0.965148       0.991307
        387.188       0.160507        929.251        929.251       0.999647       0.998419       0.983513        1.00322       0.991578        0.96707       0.991776
        413.472       0.160336        992.333        992.333       0.999774       0.998506       0.984416        1.00304       0.992034       0.968884       0.992218
         441.54       0.160165         1059.7         1059.7       0.999859       0.998588       0.985269        1.00286       0.992464       0.970596       0.992636
        471.514       0.159995        1131.63        1131.63       0.999915       0.998665       0.986073         1.0027        0.99287       0.972212        0.99303
