        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
              3       0.173144            7.2          11.52       0.762394         0.7304       0.298231        1.04315        1.02753      0.0976533       0.681475
        3.20365       0.172973        7.68877         12.302       0.763213       0.747891       0.320196        1.04031        1.02574       0.109506       0.701505
        3.42113       0.172802        8.21072        13.1371       0.764084       0.764748       0.342833        1.03759        1.02403       0.122431       0.720845
        3.65337       0.172631         8.7681         14.029       0.765011       0.780891       0.366026        1.03498        1.02238        0.13645       0.739405
        3.90138       0.172461        9.36332        14.9813       0.765997       0.796253       0.389649         1.0325        1.02082       0.151569       0.757108
        4.16623        0.17229        9.99894        15.9983       0.767045       0.810784       0.413568        1.03017        1.01935       0.167779       0.773895
        4.44905       0.172119        10.6777        17.0844       0.768159       0.824449       0.437643        1.02797        1.01796       0.185058       0.789724
        4.75107       0.171948        11.4026        18.2441       0.769342       0.837231       0.461735        1.02593        1.01666       0.203365       0.804574
         5.0736       0.171777        12.1766        19.4826         0.7706       0.849129       0.485707        1.02402        1.01545       0.222644        0.81844
        5.41802       0.171607        13.0032        20.8052       0.771935       0.860159        0.50943        1.02226        1.01434       0.242825       0.831336
        5.78582       0.171436         13.886        22.2175       0.773352       0.870348       0.532785        1.02063         1.0133       0.263823        0.84329
        6.17858       0.171265        14.8286        23.7258       0.774856       0.879737       0.555664        1.01914        1.01235        0.28554       0.854342
        6.59801       0.171094        15.8352        25.3364       0.776451       0.888373       0.577976        1.01776        1.01147       0.307871       0.864544
        7.04592       0.170924        16.9102        27.0563       0.778142       0.896308       0.599643         1.0165        1.01066       0.330702       0.873951
        7.52423       0.170753        18.0581         28.893       0.779933       0.903599       0.620605        1.01534        1.00992       0.353915       0.882624
        8.03501       0.170582         19.284        30.8544        0.78183       0.910301       0.640816        1.01428        1.00924        0.37739       0.890622
        8.58046       0.170411        20.5931         32.949       0.783838       0.916468       0.660244         1.0133        1.00861       0.401008       0.898004
        9.16294       0.170241        21.9911        35.1857       0.785961       0.922151        0.67887         1.0124        1.00803       0.424653       0.904827
        9.78496        0.17007        23.4839        37.5743       0.788206       0.927397       0.696688        1.01157         1.0075       0.448217       0.911141
        10.4492       0.169899        25.0781         40.125       0.790577       0.932248       0.713698         1.0108        1.00701       0.471594       0.916994
        11.1586       0.169728        26.7805        42.8488        0.79308       0.936742        0.72991        1.01009        1.00655       0.494693       0.922428
         11.916       0.169557        28.5985        45.7576        0.79572       0.940912       0.745338        1.00944        1.00612       0.517428       0.927481
         12.725       0.169387        30.5399        48.8639       0.798501       0.944788       0.760003        1.00883        1.00573       0.539725       0.932184
        13.5888       0.169216        32.6131         52.181        0.80143       0.948395       0.773928        1.00826        1.00536        0.56152       0.936567
        14.5113       0.169045         34.827        55.7232        0.80451       0.951756       0.787136        1.00773        1.00502       0.582759       0.940657
        15.4964       0.168874        37.1912         59.506       0.807747        0.95489       0.799655        1.00724         1.0047       0.603398       0.944476
