        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
              3       0.173144            7.2            7.2       0.762394       0.579951       0.156356        1.06697        1.04244       0.036232       0.511603
        3.20365       0.172973        7.68877        7.68877       0.763213       0.599102       0.170867        1.06384        1.04048      0.0413378       0.533274
        3.42113       0.172802        8.21072        8.21072       0.764084       0.618424       0.186428         1.0607        1.03851      0.0471052       0.555151
        3.65337       0.172631         8.7681         8.7681       0.765011       0.637823       0.203048        1.05755        1.03655       0.053599       0.577131
        3.90138       0.172461        9.36332        9.36332       0.765997       0.657199       0.220724        1.05442        1.03459      0.0608848       0.599102
        4.16623        0.17229        9.99894        9.99894       0.767045       0.676445       0.239436        1.05133        1.03265       0.069028       0.620949
        4.44905       0.172119        10.6777        10.6777       0.768159       0.695451       0.259149        1.04828        1.03073      0.0780914       0.642548
        4.75107       0.171948        11.4026        11.4026       0.769342       0.714108        0.27981         1.0453        1.02886      0.0881341       0.663778
         5.0736       0.171777        12.1766        12.1766         0.7706       0.732306       0.301347        1.04239        1.02704      0.0992085       0.684519
        5.41802       0.171607        13.0032        13.0032       0.771935       0.749944       0.323671        1.03959        1.02527       0.111359       0.704656
        5.78582       0.171436         13.886         13.886       0.773352       0.766929       0.346677        1.03689        1.02357        0.12462       0.724083
        6.17858       0.171265        14.8286        14.8286       0.774856       0.783177       0.370245        1.03432        1.02195       0.139012       0.742708
        6.59801       0.171094        15.8352        15.8352       0.776451       0.798623       0.394245        1.03187        1.02041       0.154542       0.760454
        7.04592       0.170924        16.9102        16.9102       0.778142       0.813214       0.418537        1.02957        1.01896       0.171201       0.777262
        7.52423       0.170753        18.0581        18.0581       0.779933       0.826918       0.442975        1.02741        1.01759       0.188963       0.793091
        8.03501       0.170582         19.284         19.284        0.78183       0.839719       0.467416        1.02539        1.01631       0.207786       0.807921
        8.58046       0.170411        20.5931        20.5931       0.783838       0.851619       0.491718        1.02352        1.01513        0.22761       0.821751
        9.16294       0.170241        21.9911        21.9911       0.785961       0.862635       0.515748        1.02179        1.01403       0.248358       0.834597
        9.78496        0.17007        23.4839        23.4839       0.788206       0.872799       0.539383        1.02019        1.01301       0.269941        0.84649
        10.4492       0.169899        25.0781        25.0781       0.790577       0.882153       0.562515        1.01873        1.01207       0.292254       0.857473
        11.1586       0.169728        26.7805        26.7805        0.79308       0.890748       0.585049        1.01738        1.01121       0.315184       0.867601
         11.916       0.169557        28.5985        28.5985        0.79572       0.898639       0.606908        1.01614        1.01042       0.338611       0.876933
         12.725       0.169387        30.5399        30.5399       0.798501       0.905883       0.628031        1.01501         1.0097       0.362408       0.885529
        13.5888       0.169216        32.6131        32.6131        0.80143       0.912538       0.648373        1.01397        1.00903       0.386449       0.893452
        14.5113       0.169045         34.827         34.827        0.80451       0.918659       0.667902        1.01301        1.00842       0.410607       0.900761
        15.4964       0.168874        37.1912        37.1912       0.807747       0.924297       0.686603        1.01213        1.00785       0.434761       0.907513
        16.5483       0.168704         39.716         39.716       0.811145       0.929499       0.704467        1.01132        1.00733       0.458795        0.91376
        17.6717       0.168533        42.4121        42.4121       0.814707       0.934308       0.721499        1.01057        1.00684         0.4826       0.919548
        18.8713       0.168362        45.2912        45.2912       0.818436        0.93876       0.737708        1.00987         1.0064        0.50608       0.924918
        20.1524       0.168191        48.3658        48.3658       0.822336       0.942888       0.753111        1.00923        1.00598       0.529146       0.929908
        21.5204       0.168021        51.6491        51.6491       0.826408       0.946722       0.767728        1.00863        1.00559        0.55172       0.934549
        22.9813        0.16785        55.1552        55.1552       0.830654       0.950286       0.781584        1.00808        1.00523       0.573739       0.938871
        24.5414       0.167679        58.8994        58.8994       0.835073       0.953603       0.794704        1.00756         1.0049       0.595145       0.942898
        26.2074       0.167508        62.8978        62.8978       0.839665       0.956691       0.807115        1.00708        1.00459       0.615895       0.946653
        27.9865       0.167338        67.1676        67.1676       0.844427       0.959569       0.818844        1.00663         1.0043       0.635954       0.950156
        29.8863       0.167167        71.7272        71.7272       0.849357       0.962252       0.829921        1.00621        1.00403       0.655294       0.953426
        31.9152       0.166996        76.5964        76.5964       0.854449       0.964754       0.840373        1.00582        1.00377       0.673897       0.956478
        34.0817       0.166825        81.7961        81.7961       0.859697       0.967087       0.850228        1.00545        1.00353       0.691751       0.959328
        36.3953       0.166654        87.3488        87.3488       0.865092       0.969265       0.859514        1.00511        1.00331       0.708852       0.961989
         38.866       0.166484        93.2785        93.2785       0.870625       0.971296       0.868256        1.00479        1.00311       0.725198       0.964475
        41.5044       0.166313        99.6106        99.6106       0.876283       0.973192       0.876481        1.00449        1.00291       0.740795       0.966795
        44.3219       0.166142        106.373        106.373       0.882052        0.97496       0.884214        1.00421        1.00273       0.755651       0.968963
        47.3307       0.165971        113.594        113.594       0.887916        0.97661        0.89148        1.00395        1.00256       0.769778       0.970986
        50.5438       0.165801        121.305        121.305       0.893857       0.978149       0.898303        1.00371         1.0024       0.783191       0.972876
        53.9749        0.16563         129.54         129.54       0.899854       0.979584       0.904705        1.00348        1.00225       0.795908       0.974639
         57.639       0.165459        138.334        138.334       0.905884       0.980922       0.910708        1.00326        1.00211       0.807947       0.976285
        61.5518       0.165288        147.724        147.724       0.911923       0.982169       0.916335        1.00306        1.00198       0.819331       0.977821
        65.7302       0.165118        157.752        157.752       0.917945       0.983332       0.921604        1.00287        1.00186       0.830082       0.979253
        70.1922       0.164947        168.461        168.461       0.923922       0.984415       0.926537         1.0027        1.00175       0.840222       0.980589
        74.9572       0.164776        179.897        179.897       0.929824       0.985424       0.931153        1.00253        1.00164       0.849777       0.981835
        80.0457       0.164605         192.11         192.11       0.935623       0.986364       0.935468        1.00238        1.00154       0.858771       0.982996
        85.4795       0.164434        205.151        205.151       0.941287       0.987239       0.939502        1.00223        1.00145       0.867229       0.984079
        91.2823       0.164264        219.077        219.077       0.946787       0.988053       0.943271         1.0021        1.00136       0.875176       0.985088
        97.4789       0.164093        233.949        233.949       0.952092       0.988811       0.946792        1.00197        1.00127       0.882638       0.986028
        104.096       0.163922        249.831        249.831       0.957175       0.989517       0.950079        1.00185         1.0012        0.88964       0.986904
        111.163       0.163751        266.791        266.791       0.962009       0.990174       0.953147        1.00174        1.00112       0.896207        0.98772
        118.709       0.163581        284.902        284.902        0.96657       0.990785       0.956011        1.00163        1.00106       0.902362        0.98848
        126.768        0.16341        304.242        304.242       0.970838       0.991354       0.958685        1.00153        1.00099        0.90813       0.989189
        135.373       0.163239        324.895        324.895       0.974796       0.991884        0.96118        1.00144        1.00093       0.913533       0.989849
        144.563       0.163068        346.951        346.951       0.978431       0.992377        0.96351        1.00135        1.00088       0.918595       0.990465
        154.376       0.162898        370.504        370.504       0.981736       0.992837       0.965686        1.00127        1.00082       0.923337        0.99104
        164.856       0.162727        395.655        395.655       0.984709       0.993265       0.967718         1.0012        1.00077       0.927781       0.991576
        176.047       0.162556        422.514        422.514       0.987351       0.993665       0.969618        1.00113        1.00073       0.931945       0.992076
        187.998       0.162385        451.196        451.196        0.98967       0.994038       0.971394        1.00106        1.00068       0.935848       0.992544
        200.761       0.162215        481.825        481.825       0.991679       0.994386       0.973056          1.001        1.00064        0.93951       0.992981
        214.389       0.162044        514.534        514.534       0.993396       0.994712       0.974613        1.00094        1.00061       0.942946        0.99339
        228.943       0.161873        549.463        549.463       0.994839       0.995017       0.976071        1.00088        1.00057       0.946173       0.993773
        244.485       0.161702        586.763        586.763       0.996034       0.995303       0.977439        1.00083        1.00054       0.949206       0.994132
        261.081       0.161531        626.595        626.595       0.997007       0.995571       0.978723        1.00078         1.0005       0.952057       0.994469
        278.805       0.161361        669.131        669.131       0.997783       0.995822       0.979929        1.00073        1.00047       0.954741       0.994785
        297.731        0.16119        714.555        714.555       0.998392       0.996058       0.981063        1.00069        1.00045       0.957267       0.995082
        317.943       0.161019        763.062        763.062       0.998858        0.99628        0.98213        1.00065        1.00042       0.959647       0.995361
        339.526       0.160848        814.862        814.862       0.999208       0.996489       0.983134        1.00061         1.0004       0.961891       0.995623
        362.575       0.160678        870.179        870.179       0.999464       0.996685        0.98408        1.00058        1.00037       0.964007        0.99587
        387.188       0.160507        929.251        929.251       0.999647        0.99687       0.984971        1.00054        1.00035       0.966002       0.996103
        413.472       0.160336        992.333        992.333       0.999774       0.997044        0.98581        1.00051        1.00033       0.967884       0.996322
         441.54       0.160165         1059.7         1059.7       0.999859       0.997209       0.986601        1.00048        1.00031        0.96966       0.996528
