        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
              3       0.173144            7.2           21.6       0.762394       0.127573      0.0026256      0.0172652      0.0797713    0.000196226      0.0313533
        3.20365       0.172973        7.68877        23.0663       0.763213       0.128964     0.00272974      0.0172536        0.07949    0.000211413      0.0316781
        3.42113       0.172802        8.21072        24.6322       0.764084       0.130261     0.00283102      0.0172458      0.0792142    0.000226969      0.0319733
        3.65337       0.172631         8.7681        26.3043       0.765011       0.131471     0.00292919       0.017242      0.0789433    0.000242823      0.0322412
        3.90138       0.172461        9.36332          28.09       0.765997       0.132603     0.00302409       0.017242      0.0786768    0.000258906      0.0324843
        4.16623        0.17229        9.99894        29.9968       0.767045       0.133666      0.0031156      0.0172459      0.0784143    0.000275146      0.0327052
        4.44905       0.172119        10.6777        32.0332       0.768159       0.134667     0.00320368      0.0172536      0.0781552     0.00029148      0.0329061
        4.75107       0.171948        11.4026        34.2077       0.769342       0.135613     0.00328837      0.0172651      0.0778992    0.000307845      0.0330893
         5.0736       0.171777        12.1766        36.5299         0.7706       0.136513     0.00336971      0.0172806      0.0776458    0.000324185      0.0332567
        5.41802       0.171607        13.0032        39.0097       0.771935       0.137372     0.00344781         0.0173      0.0773947    0.000340451      0.0334103
        5.78582       0.171436         13.886        41.6579       0.773352       0.138195     0.00352282      0.0173234      0.0771455    0.000356602      0.0335517
        6.17858       0.171265        14.8286        44.4858       0.774856       0.138989     0.00359488      0.0173509      0.0768979    0.000372603      0.0336824
        6.59801       0.171094        15.8352        47.5057       0.776451       0.139758     0.00366418      0.0173826      0.0766517    0.000388426      0.0338038
        7.04592       0.170924        16.9102        50.7306       0.778142       0.140505     0.00373091      0.0174187      0.0764065    0.000404053      0.0339171
        7.52423       0.170753        18.0581        54.1744       0.779933       0.141236     0.00379525      0.0174593      0.0761623     0.00041947      0.0340233
        8.03501       0.170582         19.284         57.852        0.78183       0.141952     0.00385742      0.0175045      0.0759188    0.000434672      0.0341236
        8.58046       0.170411        20.5931        61.7793       0.783838       0.142658     0.00391762      0.0175545      0.0756758    0.000449658      0.0342188
        9.16294       0.170241        21.9911        65.9732       0.785961       0.143357     0.00397604      0.0176094      0.0754332    0.000464435      0.0343097
        9.78496        0.17007        23.4839        70.4517       0.788206       0.144051     0.00403289      0.0176696      0.0751907    0.000479012      0.0343971
        10.4492       0.169899        25.0781        75.2343       0.790577       0.144742     0.00408836       0.017735      0.0749483    0.000493404      0.0344818
        11.1586       0.169728        26.7805        80.3416        0.79308       0.145434     0.00414266      0.0178061      0.0747058    0.000507628      0.0345643
         11.916       0.169557        28.5985        85.7955        0.79572       0.146128     0.00419596      0.0178828      0.0744632    0.000521707      0.0346454
         12.725       0.169387        30.5399        91.6197       0.798501       0.146827     0.00424845      0.0179655      0.0742202    0.000535662      0.0347256
        13.5888       0.169216        32.6131        97.8393        0.80143       0.147532      0.0043003      0.0180544      0.0739767     0.00054952      0.0348053
        14.5113       0.169045         34.827        104.481        0.80451       0.148246     0.00435169      0.0181496      0.0737328    0.000563307      0.0348852
        15.4964       0.168874        37.1912        111.574       0.807747        0.14897     0.00440277      0.0182513      0.0734883     0.00057705      0.0349657
        16.5483       0.168704         39.716        119.148       0.811145       0.149706      0.0044537      0.0183598       0.073243    0.000590778       0.035047
        17.6717       0.168533        42.4121        127.236       0.814707       0.150455     0.00450462      0.0184751      0.0729971    0.000604518      0.0351297
        18.8713       0.168362        45.2912        135.874       0.818436       0.151219     0.00455566      0.0185975      0.0727503    0.000618298       0.035214
        20.1524       0.168191        48.3658        145.097       0.822336       0.151998     0.00460694      0.0187271      0.0725027    0.000632145      0.0353003
        21.5204       0.168021        51.6491        154.947       0.826408       0.152794     0.00465857       0.018864      0.0722542    0.000646085      0.0353886
        22.9813        0.16785        55.1552        165.466       0.830654       0.153608     0.00471065      0.0190083      0.0720047     0.00066014      0.0354792
        24.5414       0.167679        58.8994        176.698       0.835073        0.15444     0.00476326      0.0191601      0.0717544    0.000674333      0.0355723
        26.2074       0.167508        62.8978        188.693       0.839665        0.15529     0.00481646      0.0193193      0.0715031    0.000688683      0.0356679
        27.9865       0.167338        67.1676        201.503       0.844427       0.156158      0.0048703      0.0194859      0.0712509    0.000703205      0.0357659
        29.8863       0.167167        71.7272        215.182       0.849357       0.157046     0.00492482      0.0196598      0.0709979     0.00071791      0.0358665
        31.9152       0.166996        76.5964        229.789       0.854449       0.157951     0.00498002      0.0198409      0.0707439    0.000732805      0.0359693
        34.0817       0.166825        81.7961        245.388       0.859697       0.158873     0.00503588      0.0200289      0.0704893    0.000747895      0.0360744
        36.3953       0.166654        87.3488        262.046       0.865092       0.159812     0.00509238      0.0202236      0.0702339    0.000763175      0.0361813
         38.866       0.166484        93.2785        279.835       0.870625       0.160766     0.00514945      0.0204245      0.0699779    0.000778636      0.0362899
        41.5044       0.166313        99.6106        298.832       0.876283       0.161733     0.00520701      0.0206313      0.0697214    0.000794262      0.0363996
        44.3219       0.166142        106.373        319.118       0.882052       0.162712     0.00526494      0.0208433      0.0694645    0.000810031      0.0365101
        47.3307       0.165971        113.594        340.781       0.887916       0.163699      0.0053231      0.0210599      0.0692074    0.000825913      0.0366208
        50.5438       0.165801        121.305        363.915       0.893857       0.164694     0.00538133      0.0212804      0.0689502    0.000841869       0.036731
        53.9749        0.16563         129.54        388.619       0.899854       0.165691     0.00543942      0.0215038      0.0686932    0.000857853      0.0368402
         57.639       0.165459        138.334        415.001       0.905884       0.166688     0.00549716      0.0217293      0.0684365     0.00087381      0.0369475
        61.5518       0.165288        147.724        443.173       0.911923       0.167682     0.00555429      0.0219558      0.0681803    0.000889678      0.0370521
        65.7302       0.165118        157.752        473.257       0.917945       0.168668     0.00561054      0.0221821      0.0679248    0.000905385      0.0371533
        70.1922       0.164947        168.461        505.384       0.923922       0.169642      0.0056656      0.0224069      0.0676704    0.000920855      0.0372501
        74.9572       0.164776        179.897        539.692       0.929824         0.1706     0.00571918      0.0226291      0.0674171    0.000936003      0.0373415
        80.0457       0.164605         192.11        576.329       0.935623       0.171537     0.00577094      0.0228472      0.0671653    0.000950741      0.0374267
        85.4795       0.164434        205.151        615.453       0.941287       0.172448     0.00582055      0.0230598      0.0669152    0.000964974      0.0375046
        91.2823       0.164264        219.077        657.232       0.946787        0.17333     0.00586767      0.0232656      0.0666669    0.000978609      0.0375745
        97.4789       0.164093        233.949        701.848       0.952092       0.174177     0.00591198      0.0234631      0.0664209     0.00099155      0.0376354
        104.096       0.163922        249.831        749.493       0.957175       0.174985     0.00595316       0.023651      0.0661772     0.00100371      0.0376864
        111.163       0.163751        266.791        800.372       0.962009       0.175751     0.00599092      0.0238281       0.065936     0.00101499      0.0377269
        118.709       0.163581        284.902        854.705        0.96657        0.17647     0.00602499      0.0239931      0.0656975     0.00102532      0.0377561
        126.768        0.16341        304.242        912.726       0.970838        0.17714     0.00605517      0.0241452      0.0654618     0.00103462      0.0377737
        135.373       0.163239        324.895        974.686       0.974796       0.177759     0.00608126      0.0242833       0.065229     0.00104285       0.037779
        144.563       0.163068        346.951        1040.85       0.978431       0.178323     0.00610314       0.024407      0.0649992     0.00104995      0.0377721
        154.376       0.162898        370.504        1111.51       0.981736       0.178833     0.00612077      0.0245158      0.0647724     0.00105591      0.0377526
        164.856       0.162727        395.655        1186.97       0.984709       0.179289     0.00613412      0.0246094      0.0645486     0.00106071      0.0377208
        176.047       0.162556        422.514        1267.54       0.987351        0.17969     0.00614327      0.0246881      0.0643277     0.00106437      0.0376769
        187.998       0.162385        451.196        1353.59        0.98967       0.180038     0.00614833       0.024752      0.0641095     0.00106692      0.0376213
        200.761       0.162215        481.825        1445.48       0.991679       0.180335     0.00614949      0.0248018       0.063894      0.0010684      0.0375546
        214.389       0.162044        514.534         1543.6       0.993396       0.180585     0.00614699      0.0248381      0.0636809     0.00106887      0.0374775
        228.943       0.161873        549.463        1648.39       0.994839       0.180789     0.00614108      0.0248618      0.0634701     0.00106841      0.0373908
        244.485       0.161702        586.763        1760.29       0.996034       0.180953     0.00613209      0.0248742      0.0632613     0.00106711      0.0372954
        261.081       0.161531        626.595        1879.79       0.997007        0.18108     0.00612034      0.0248763      0.0630543     0.00106504      0.0371923
        278.805       0.161361        669.131        2007.39       0.997783       0.181175     0.00610616      0.0248693      0.0628489      0.0010623      0.0370823
        297.731        0.16119        714.555        2143.66       0.998392       0.181242     0.00608988      0.0248545      0.0626447     0.00105899      0.0369665
        317.943       0.161019        763.062        2289.19       0.998858       0.181285     0.00607184      0.0248331      0.0624417     0.00105519      0.0368458
        339.526       0.160848        814.862        2444.59       0.999208       0.181308     0.00605232      0.0248062      0.0622395     0.00105098      0.0367211
        362.575       0.160678        870.179        2610.54       0.999464       0.181315      0.0060316       0.024775      0.0620381     0.00104644       0.036593
        387.188       0.160507        929.251        2787.75       0.999647       0.181309     0.00600992      0.0247402      0.0618371     0.00104163      0.0364624
        413.472       0.160336        992.333           2977       0.999774       0.181293     0.00598747      0.0247027      0.0616365      0.0010366      0.0363297
         441.54       0.160165         1059.7        3179.09       0.999859       0.181268     0.00596443      0.0246631      0.0614362     0.00103141      0.0361955
