        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
              3       0.173144            7.2          11.52       0.762394        0.11201     0.00104313       0.021986      0.0381199    5.60844e-05      0.0154827
        3.20365       0.172973        7.68877         12.302       0.763213       0.114603     0.00114136      0.0216006      0.0399496    6.36233e-05      0.0164365
        3.42113       0.172802        8.21072        13.1371       0.764084       0.117144     0.00124596      0.0212477      0.0417906    7.20255e-05       0.017409
        3.65337       0.172631         8.7681         14.029       0.765011       0.119613     0.00135658      0.0209259      0.0436299    8.13365e-05      0.0183931
        3.90138       0.172461        9.36332        14.9813       0.765997       0.121991     0.00147274      0.0206339      0.0454539    9.15911e-05      0.0193808
        4.16623        0.17229        9.99894        15.9983       0.767045       0.124261     0.00159379      0.0203699      0.0472486    0.000102812      0.0203638
        4.44905       0.172119        10.6777        17.0844       0.768159        0.12641     0.00171896      0.0201325      0.0490002    0.000115005      0.0213337
        4.75107       0.171948        11.4026        18.2441       0.769342        0.12843     0.00184739        0.01992      0.0506956    0.000128161      0.0222822
         5.0736       0.171777        12.1766        19.4826         0.7706       0.130315     0.00197809      0.0197308      0.0523227    0.000142253      0.0232019
        5.41802       0.171607        13.0032        20.8052       0.771935       0.132064     0.00211007      0.0195635      0.0538709    0.000157239       0.024086
        5.78582       0.171436         13.886        22.2175       0.773352        0.13368     0.00224233      0.0194167      0.0553317    0.000173057      0.0249289
        6.17858       0.171265        14.8286        23.7258       0.774856        0.13517      0.0023739      0.0192892      0.0566983    0.000189636      0.0257264
        6.59801       0.171094        15.8352        25.3364       0.776451       0.136542     0.00250389      0.0191796      0.0579665     0.00020689      0.0264755
        7.04592       0.170924        16.9102        27.0563       0.778142       0.137808     0.00263153       0.019087      0.0591342    0.000224727      0.0271748
        7.52423       0.170753        18.0581         28.893       0.779933        0.13898     0.00275616      0.0190103      0.0602012    0.000243052      0.0278241
        8.03501       0.170582         19.284        30.8544        0.78183       0.140071     0.00287729      0.0189486      0.0611693    0.000261767      0.0284244
        8.58046       0.170411        20.5931         32.949       0.783838       0.141093     0.00299456      0.0189011      0.0620419    0.000280779      0.0289775
        9.16294       0.170241        21.9911        35.1857       0.785961       0.142058     0.00310775       0.018867      0.0628236    0.000300001      0.0294863
        9.78496        0.17007        23.4839        37.5743       0.788206       0.142977     0.00321679      0.0188456      0.0635198    0.000319353      0.0299538
        10.4492       0.169899        25.0781         40.125       0.790577       0.143859     0.00332172      0.0188365      0.0641366    0.000338768      0.0303836
        11.1586       0.169728        26.7805        42.8488        0.79308       0.144713     0.00342266       0.018839      0.0646804    0.000358189      0.0307793
         11.916       0.169557        28.5985        45.7576        0.79572       0.145546     0.00351982      0.0188527      0.0651574     0.00037757      0.0311447
         12.725       0.169387        30.5399        48.8639       0.798501       0.146364     0.00361344      0.0188774      0.0655739    0.000396878      0.0314831
        13.5888       0.169216        32.6131         52.181        0.80143       0.147172     0.00370383      0.0189126      0.0659355    0.000416089      0.0317978
        14.5113       0.169045         34.827        55.7232        0.80451       0.147975     0.00379127      0.0189582      0.0662476    0.000435191       0.032092
        15.4964       0.168874        37.1912         59.506       0.807747       0.148776     0.00387608       0.019014       0.066515    0.000454177      0.0323682
        16.5483       0.168704         39.716        63.5455       0.811145        0.14958     0.00395856      0.0190798       0.066742    0.000473052      0.0326289
        17.6717       0.168533        42.4121        67.8593       0.814707       0.150387     0.00403899      0.0191554      0.0669324    0.000491821      0.0328762
        18.8713       0.168362        45.2912        72.4659       0.818436       0.151202     0.00411766      0.0192408      0.0670895    0.000510498       0.033112
        20.1524       0.168191        48.3658        77.3852       0.822336       0.152026     0.00419481      0.0193358      0.0672163    0.000529098      0.0333379
        21.5204       0.168021        51.6491        82.6385       0.826408        0.15286     0.00427068      0.0194404      0.0673153    0.000547638      0.0335552
        22.9813        0.16785        55.1552        88.2484       0.830654       0.153707     0.00434546      0.0195544      0.0673888    0.000566135      0.0337651
        24.5414       0.167679        58.8994        94.2391       0.835073       0.154567     0.00441936      0.0196778      0.0674388     0.00058461      0.0339687
        26.2074       0.167508        62.8978        100.636       0.839665       0.155441     0.00449252      0.0198103      0.0674671    0.000603078      0.0341668
        27.9865       0.167338        67.1676        107.468       0.844427        0.15633     0.00456509      0.0199518      0.0674752    0.000621557      0.0343601
        29.8863       0.167167        71.7272        114.764       0.849357       0.157234     0.00463718       0.020102      0.0674648    0.000640058       0.034549
        31.9152       0.166996        76.5964        122.554       0.854449       0.158153     0.00470886      0.0202608       0.067437    0.000658593      0.0347341
        34.0817       0.166825        81.7961        130.874       0.859697       0.159086      0.0047802      0.0204277      0.0673932    0.000677166      0.0349157
        36.3953       0.166654        87.3488        139.758       0.865092       0.160032     0.00485123      0.0206024      0.0673345     0.00069578      0.0350939
         38.866       0.166484        93.2785        149.246       0.870625       0.160992     0.00492195      0.0207844       0.067262    0.000714429      0.0352688
        41.5044       0.166313        99.6106        159.377       0.876283       0.161962     0.00499233      0.0209732      0.0671766    0.000733103      0.0354404
        44.3219       0.166142        106.373        170.196       0.882052       0.162942      0.0050623      0.0211682      0.0670795    0.000751784      0.0356085
        47.3307       0.165971        113.594         181.75       0.887916        0.16393     0.00513178      0.0213685      0.0669715    0.000770447       0.035773
        50.5438       0.165801        121.305        194.088       0.893857       0.164921     0.00520064      0.0215734      0.0668534     0.00078906      0.0359334
        53.9749        0.16563         129.54        207.264       0.899854       0.165915     0.00526873      0.0217821      0.0667262     0.00080758      0.0360894
         57.639       0.165459        138.334        221.334       0.905884       0.166907     0.00533587      0.0219934      0.0665906     0.00082596      0.0362404
        61.5518       0.165288        147.724        236.359       0.911923       0.167894     0.00540184      0.0222063      0.0664475    0.000844141      0.0363858
        65.7302       0.165118        157.752        252.404       0.917945       0.168873     0.00546641      0.0224196      0.0662975    0.000862058      0.0365251
        70.1922       0.164947        168.461        269.538       0.923922       0.169838     0.00552931       0.022632      0.0661415    0.000879639      0.0366575
        74.9572       0.164776        179.897        287.836       0.929824       0.170786     0.00559025      0.0228422      0.0659802    0.000896803      0.0367822
        80.0457       0.164605         192.11        307.375       0.935623       0.171713     0.00564896      0.0230488      0.0658143    0.000913468      0.0368986
        85.4795       0.164434        205.151        328.241       0.941287       0.172614     0.00570511      0.0232505      0.0656444    0.000929543      0.0370057
        91.2823       0.164264        219.077        350.524       0.946787       0.173485      0.0057584      0.0234457      0.0654711    0.000944939      0.0371029
        97.4789       0.164093        233.949        374.319       0.952092       0.174321     0.00580853      0.0236331      0.0652951    0.000959564      0.0371894
        104.096       0.163922        249.831         399.73       0.957175       0.175118     0.00585521      0.0238113      0.0651169    0.000973331      0.0372645
        111.163       0.163751        266.791        426.865       0.962009       0.175872     0.00589817      0.0239791      0.0649371    0.000986156      0.0373276
        118.709       0.163581        284.902        455.843        0.96657       0.176581     0.00593717      0.0241352       0.064756    0.000997963      0.0373782
        126.768        0.16341        304.242        486.787       0.970838        0.17724     0.00597201      0.0242788      0.0645742     0.00100869      0.0374158
        135.373       0.163239        324.895        519.833       0.974796       0.177848     0.00600253       0.024409      0.0643919     0.00101827      0.0374402
        144.563       0.163068        346.951        555.121       0.978431       0.178403     0.00602862       0.024525      0.0642095     0.00102668      0.0374511
        154.376       0.162898        370.504        592.806       0.981736       0.178904     0.00605024      0.0246265      0.0640273     0.00103388      0.0374487
        164.856       0.162727        395.655        633.048       0.984709       0.179351     0.00606739      0.0247133      0.0638454     0.00103988       0.037433
        176.047       0.162556        422.514        676.022       0.987351       0.179745     0.00608015      0.0247855      0.0636639     0.00104468      0.0374043
        187.998       0.162385        451.196        721.914        0.98967       0.180086     0.00608864      0.0248434       0.063483     0.00104832      0.0373633
        200.761       0.162215        481.825        770.921       0.991679       0.180378     0.00609306      0.0248874      0.0633025     0.00105084      0.0373103
        214.389       0.162044        514.534        823.254       0.993396       0.180621     0.00609364      0.0249184      0.0631226      0.0010523      0.0372463
        228.943       0.161873        549.463        879.141       0.994839       0.180821     0.00609065      0.0249372      0.0629431     0.00105277       0.037172
        244.485       0.161702        586.763        938.821       0.996034       0.180981     0.00608442      0.0249448      0.0627639     0.00105234      0.0370884
        261.081       0.161531        626.595        1002.55       0.997007       0.181104     0.00607526      0.0249425      0.0625848      0.0010511      0.0369964
        278.805       0.161361        669.131        1070.61       0.997783       0.181196     0.00606353      0.0249315      0.0624058     0.00104914       0.036897
        297.731        0.16119        714.555        1143.29       0.998392       0.181259     0.00604956      0.0249128      0.0622267     0.00104656      0.0367912
        317.943       0.161019        763.062         1220.9       0.998858       0.181299     0.00603368      0.0248879      0.0620472     0.00104345        0.03668
        339.526       0.160848        814.862        1303.78       0.999208        0.18132     0.00601621      0.0248576      0.0618674     0.00103989      0.0365642
        362.575       0.160678        870.179        1392.29       0.999464       0.181324     0.00599743      0.0248232       0.061687     0.00103596      0.0364447
        387.188       0.160507        929.251         1486.8       0.999647       0.181316     0.00597758      0.0247854      0.0615059     0.00103173      0.0363221
        413.472       0.160336        992.333        1587.73       0.999774       0.181298     0.00595688      0.0247452      0.0613241     0.00102726       0.036197
         441.54       0.160165         1059.7        1695.51       0.999859       0.181272     0.00593552       0.024703      0.0611415     0.00102259      0.0360701
        471.514       0.159995        1131.63        1810.61       0.999915        0.18124     0.00591363      0.0246594      0.0609581     0.00101778      0.0359416
        503.523       0.159824        1208.45        1933.53       0.999951       0.181204     0.00589133      0.0246149      0.0607738     0.00101286      0.0358119
        537.704       0.159653        1290.49        2064.78       0.999972       0.181165     0.00586871      0.0245697      0.0605887     0.00100784      0.0356813
        574.206       0.159482        1378.09        2204.95       0.999985       0.181123     0.00584584       0.024524      0.0604028     0.00100275        0.03555
        613.186       0.159311        1471.65        2354.63       0.999992        0.18108     0.00582277      0.0244781       0.060216    0.000997607       0.035418
        654.812       0.159141        1571.55        2514.48       0.999996       0.181035     0.00579952      0.0244318      0.0600285    0.000992415      0.0352856
        699.263        0.15897        1678.23        2685.17       0.999998       0.180988     0.00577613      0.0243854      0.0598402    0.000987184      0.0351527
        746.732       0.158799        1792.16        2867.45       0.999999       0.180941     0.00575262      0.0243389      0.0596511    0.000981919      0.0350194
        797.424       0.158628        1913.82        3062.11              1       0.180893     0.00572899      0.0242922      0.0594615    0.000976623      0.0348857
        851.557       0.158458        2043.74        3269.98              1       0.180843     0.00570525      0.0242454      0.0592711    0.000971299      0.0347518
        909.365       0.158287        2182.47        3491.96              1       0.180792      0.0056814      0.0241984      0.0590801    0.000965949      0.0346175
        971.096       0.158116        2330.63        3729.01              1       0.180741     0.00565746      0.0241513      0.0588886    0.000960574      0.0344829
        1037.02       0.157945        2488.85        3982.15              1       0.180688     0.00563343       0.024104      0.0586965    0.000955174       0.034348
        1107.42       0.157775         2657.8        4252.48              1       0.180634      0.0056093      0.0240566      0.0585038    0.000949751      0.0342129
        1182.59       0.157604        2838.22        4541.16              1       0.180578     0.00558508      0.0240089      0.0583107    0.000944305      0.0340774
        1262.87       0.157433         3030.9        4849.43              1       0.180522     0.00556077      0.0239611      0.0581171    0.000938837      0.0339418
         1348.6       0.157262        3236.65        5178.63              1       0.180464     0.00553638      0.0239131       0.057923    0.000933349      0.0338058
        1440.15       0.157091        3456.36        5530.18              1       0.180404     0.00551191      0.0238649      0.0577285     0.00092784      0.0336697
        1537.92       0.156921           3691         5905.6              1       0.180344     0.00548736      0.0238164      0.0575335    0.000922315      0.0335333
        1642.32        0.15675        3941.56         6306.5              1       0.180282     0.00546275      0.0237678      0.0573382    0.000916774      0.0333967
        1753.81       0.156579        4209.13        6734.61              1       0.180218     0.00543807      0.0237189      0.0571425     0.00091122        0.03326
        1872.86       0.156408        4494.87        7191.79              1       0.180154     0.00541333      0.0236698      0.0569464    0.000905656       0.033123
           2000       0.156238           4800           7680              1       0.180088     0.00538855      0.0236205        0.05675    0.000900085      0.0329859
