        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
              3       0.173144            7.2            7.2       0.762394      0.0921571    0.000475974      0.0261843      0.0241706    1.94992e-05     0.00883285
        3.20365       0.172973        7.68877        7.68877       0.763213        0.09456    0.000525344      0.0255578      0.0255595     2.2241e-05     0.00947924
        3.42113       0.172802        8.21072        8.21072       0.764084      0.0970531     0.00057992      0.0249621      0.0270125    2.53902e-05       0.010168
        3.65337       0.172631         8.7681         8.7681       0.765011      0.0996261    0.000640104      0.0243988      0.0285279    2.90018e-05      0.0108995
        3.90138       0.172461        9.36332        9.36332       0.765997       0.102266    0.000706275      0.0238693       0.030103    3.31356e-05      0.0116733
        4.16623        0.17229        9.99894        9.99894       0.767045       0.104958    0.000778775      0.0233743      0.0317335    3.78557e-05      0.0124883
        4.44905       0.172119        10.6777        10.6777       0.768159       0.107685    0.000857891      0.0229144       0.033414    4.32292e-05      0.0133425
        4.75107       0.171948        11.4026        11.4026       0.769342       0.110426    0.000943831      0.0224895      0.0351373    4.93251e-05      0.0142328
         5.0736       0.171777        12.1766        12.1766         0.7706       0.113162     0.00103671      0.0220992      0.0368949    5.62125e-05      0.0151552
        5.41802       0.171607        13.0032        13.0032       0.771935       0.115869     0.00113651      0.0217427      0.0386767     6.3959e-05      0.0161045
        5.78582       0.171436         13.886         13.886       0.773352       0.118527     0.00124311      0.0214191      0.0404713    7.26273e-05      0.0170745
        6.17858       0.171265        14.8286        14.8286       0.774856       0.121115     0.00135619       0.021127      0.0422662    8.22734e-05      0.0180583
        6.59801       0.171094        15.8352        15.8352       0.776451       0.123613     0.00147533      0.0208651      0.0440481    9.29433e-05      0.0190482
        7.04592       0.170924        16.9102        16.9102       0.778142       0.126004     0.00159993      0.0206319      0.0458034    0.000104671       0.020036
        7.52423       0.170753        18.0581        18.0581       0.779933       0.128276     0.00172924      0.0204258      0.0475184    0.000117474      0.0210136
        8.03501       0.170582         19.284         19.284        0.78183        0.13042     0.00186242      0.0202453      0.0491802    0.000131356      0.0219727
        8.58046       0.170411        20.5931        20.5931       0.783838       0.132431     0.00199852      0.0200891      0.0507766    0.000146301       0.022906
        9.16294       0.170241        21.9911        21.9911       0.785961       0.134309     0.00213656      0.0199557      0.0522971    0.000162275      0.0238066
        9.78496        0.17007        23.4839        23.4839       0.788206       0.136057     0.00227554      0.0198438      0.0537329    0.000179228      0.0246691
        10.4492       0.169899        25.0781        25.0781       0.790577       0.137682     0.00241447      0.0197523      0.0550771    0.000197095       0.025489
        11.1586       0.169728        26.7805        26.7805        0.79308       0.139195     0.00255248      0.0196801      0.0563251    0.000215796      0.0262633
         11.916       0.169557        28.5985        28.5985        0.79572       0.140607     0.00268875      0.0196262      0.0574744    0.000235246      0.0269904
         12.725       0.169387        30.5399        30.5399       0.798501        0.14193     0.00282263      0.0195896      0.0585245     0.00025535      0.0276699
        13.5888       0.169216        32.6131        32.6131        0.80143       0.143179     0.00295358      0.0195695      0.0594768    0.000276013      0.0283025
        14.5113       0.169045         34.827         34.827        0.80451       0.144365     0.00308122      0.0195651      0.0603343    0.000297141      0.0288899
        15.4964       0.168874        37.1912        37.1912       0.807747       0.145501     0.00320531      0.0195756      0.0611014    0.000318647      0.0294347
        16.5483       0.168704         39.716         39.716       0.811145       0.146598     0.00332576      0.0196005      0.0617831     0.00034045      0.0299397
        17.6717       0.168533        42.4121        42.4121       0.814707       0.147663     0.00344256      0.0196392      0.0623856    0.000362476      0.0304083
        18.8713       0.168362        45.2912        45.2912       0.818436       0.148707     0.00355582       0.019691      0.0629148    0.000384666      0.0308438
        20.1524       0.168191        48.3658        48.3658       0.822336       0.149734      0.0036657      0.0197556       0.063377    0.000406969      0.0312498
        21.5204       0.168021        51.6491        51.6491       0.826408       0.150752     0.00377242      0.0198324      0.0637785    0.000429345      0.0316296
        22.9813        0.16785        55.1552        55.1552       0.830654       0.151763     0.00387623      0.0199211      0.0641249    0.000451763      0.0319861
        24.5414       0.167679        58.8994        58.8994       0.835073       0.152773     0.00397737      0.0200213      0.0644216      0.0004742      0.0323223
        26.2074       0.167508        62.8978        62.8978       0.839665       0.153783     0.00407611      0.0201325      0.0646735    0.000496641      0.0326405
        27.9865       0.167338        67.1676        67.1676       0.844427       0.154796     0.00417268      0.0202544      0.0648849    0.000519073      0.0329429
        29.8863       0.167167        71.7272        71.7272       0.849357       0.155813     0.00426729      0.0203866      0.0650598    0.000541488      0.0332314
        31.9152       0.166996        76.5964        76.5964       0.854449       0.156836     0.00436012      0.0205286      0.0652016    0.000563879      0.0335076
        34.0817       0.166825        81.7961        81.7961       0.859697       0.157864     0.00445132        0.02068      0.0653132    0.000586238      0.0337726
        36.3953       0.166654        87.3488        87.3488       0.865092       0.158899     0.00454102      0.0208403      0.0653975    0.000608555      0.0340276
         38.866       0.166484        93.2785        93.2785       0.870625       0.159939      0.0046293      0.0210089      0.0654567    0.000630819      0.0342732
        41.5044       0.166313        99.6106        99.6106       0.876283       0.160985     0.00471619      0.0211852       0.065493    0.000653011      0.0345101
        44.3219       0.166142        106.373        106.373       0.882052       0.162033     0.00480172      0.0213684      0.0655083    0.000675113      0.0347387
        47.3307       0.165971        113.594        113.594       0.887916       0.163084     0.00488585      0.0215577      0.0655044    0.000697094      0.0349591
        50.5438       0.165801        121.305        121.305       0.893857       0.164135     0.00496851      0.0217524      0.0654829    0.000718923      0.0351715
        53.9749        0.16563         129.54         129.54       0.899854       0.165183     0.00504961      0.0219513      0.0654453    0.000740557      0.0353757
         57.639       0.165459        138.334        138.334       0.905884       0.166225     0.00512902      0.0221536       0.065393    0.000761948      0.0355716
        61.5518       0.165288        147.724        147.724       0.911923       0.167259     0.00520657      0.0223579      0.0653272    0.000783039      0.0357589
        65.7302       0.165118        157.752        157.752       0.917945       0.168281     0.00528206      0.0225631      0.0652493    0.000803767      0.0359371
        70.1922       0.164947        168.461        168.461       0.923922       0.169286     0.00535527      0.0227678      0.0651603    0.000824061      0.0361058
        74.9572       0.164776        179.897        179.897       0.929824       0.170272     0.00542596      0.0229708      0.0650614    0.000843844      0.0362644
        80.0457       0.164605         192.11         192.11       0.935623       0.171233     0.00549387      0.0231706      0.0649536    0.000863034      0.0364124
        85.4795       0.164434        205.151        205.151       0.941287       0.172166     0.00555872      0.0233657      0.0648378    0.000881544      0.0365491
        91.2823       0.164264        219.077        219.077       0.946787       0.173066     0.00562023      0.0235548       0.064715    0.000899285       0.036674
        97.4789       0.164093        233.949        233.949       0.952092       0.173929     0.00567813      0.0237363      0.0645861    0.000916171      0.0367864
        104.096       0.163922        249.831        249.831       0.957175       0.174751     0.00573216       0.023909      0.0644518    0.000932113      0.0368857
        111.163       0.163751        266.791        266.791       0.962009       0.175529     0.00578207      0.0240715       0.064313    0.000947032      0.0369715
        118.709       0.163581        284.902        284.902        0.96657       0.176259     0.00582764      0.0242226      0.0641702    0.000960851      0.0370433
        126.768        0.16341        304.242        304.242       0.970838       0.176939     0.00586869      0.0243614      0.0640241    0.000973508      0.0371008
        135.373       0.163239        324.895        324.895       0.974796       0.177566     0.00590509       0.024487      0.0638752    0.000984949      0.0371439
        144.563       0.163068        346.951        346.951       0.978431       0.178138     0.00593674      0.0245987      0.0637241    0.000995136      0.0371724
        154.376       0.162898        370.504        370.504       0.981736       0.178656     0.00596361      0.0246961       0.063571     0.00100405      0.0371863
        164.856       0.162727        395.655        395.655       0.984709       0.179118     0.00598573       0.024779      0.0634164     0.00101168      0.0371861
