        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
              3       0.173144            7.2          11.52       0.762394       0.106818     0.00144452      0.0177201      0.0812132    7.00733e-05      0.0252646
        3.20365       0.172973        7.68877         12.302       0.763213       0.109459     0.00154899      0.0176846       0.080858    7.84623e-05      0.0259553
        3.42113       0.172802        8.21072        13.1371       0.764084       0.112018     0.00165663      0.0176529      0.0805081    8.76091e-05       0.026619
        3.65337       0.172631         8.7681         14.029       0.765011       0.114483     0.00176692      0.0176253       0.080164    9.75314e-05      0.0272526
        3.90138       0.172461        9.36332        14.9813       0.765997       0.116845      0.0018793      0.0176022      0.0798262    0.000108238      0.0278537
        4.16623        0.17229        9.99894        15.9983       0.767045       0.119097     0.00199317      0.0175836      0.0794948    0.000119729      0.0284206
        4.44905       0.172119        10.6777        17.0844       0.768159       0.121235     0.00210792        0.01757      0.0791701    0.000131995       0.028952
        4.75107       0.171948        11.4026        18.2441       0.769342       0.123256     0.00222294      0.0175614      0.0788521    0.000145016      0.0294476
         5.0736       0.171777        12.1766        19.4826         0.7706       0.125161     0.00233766       0.017558      0.0785406    0.000158763      0.0299076
        5.41802       0.171607        13.0032        20.8052       0.771935       0.126953     0.00245151      0.0175599      0.0782355    0.000173198      0.0303329
        5.78582       0.171436         13.886        22.2175       0.773352       0.128636     0.00256402      0.0175672      0.0779364    0.000188275       0.030725
        6.17858       0.171265        14.8286        23.7258       0.774856       0.130217     0.00267475      0.0175799      0.0776429    0.000203942      0.0310857
        6.59801       0.171094        15.8352        25.3364       0.776451       0.131703     0.00278334      0.0175981      0.0773545     0.00022014      0.0314171
        7.04592       0.170924        16.9102        27.0563       0.778142       0.133103     0.00288951      0.0176219      0.0770708    0.000236808      0.0317218
        7.52423       0.170753        18.0581         28.893       0.779933       0.134425     0.00299306      0.0176513      0.0767912    0.000253883      0.0320021
        8.03501       0.170582         19.284        30.8544        0.78183       0.135678     0.00309386      0.0176863      0.0765153    0.000271302      0.0322606
        8.58046       0.170411        20.5931         32.949       0.783838       0.136872     0.00319183       0.017727      0.0762425    0.000289003      0.0324997
        9.16294       0.170241        21.9911        35.1857       0.785961       0.138013     0.00328698      0.0177735      0.0759723    0.000306929      0.0327218
        9.78496        0.17007        23.4839        37.5743       0.788206       0.139111     0.00337936      0.0178258      0.0757044    0.000325025      0.0329289
        10.4492       0.169899        25.0781         40.125       0.790577       0.140171     0.00346906      0.0178842      0.0754384    0.000343244      0.0331231
        11.1586       0.169728        26.7805        42.8488        0.79308         0.1412     0.00355621      0.0179486      0.0751739    0.000361544       0.033306
         11.916       0.169557        28.5985        45.7576        0.79572       0.142204     0.00364095      0.0180192      0.0749106    0.000379891      0.0334793
         12.725       0.169387        30.5399        48.8639       0.798501       0.143188     0.00372346      0.0180963      0.0746482    0.000398255      0.0336444
        13.5888       0.169216        32.6131         52.181        0.80143       0.144156     0.00380393      0.0181798      0.0743865    0.000416617      0.0338024
        14.5113       0.169045         34.827        55.7232        0.80451       0.145112     0.00388254        0.01827      0.0741252    0.000434963      0.0339546
        15.4964       0.168874        37.1912         59.506       0.807747       0.146061     0.00395949      0.0183671      0.0738642    0.000453283      0.0341018
        16.5483       0.168704         39.716        63.5455       0.811145       0.147005     0.00403496      0.0184711      0.0736033    0.000471576      0.0342451
        17.6717       0.168533        42.4121        67.8593       0.814707       0.147946     0.00410916      0.0185823      0.0733423    0.000489843      0.0343851
        18.8713       0.168362        45.2912        72.4659       0.818436       0.148888     0.00418224      0.0187008      0.0730812    0.000508091      0.0345225
        20.1524       0.168191        48.3658        77.3852       0.822336       0.149833      0.0042544      0.0188266      0.0728197    0.000526327      0.0346579
        21.5204       0.168021        51.6491        82.6385       0.826408       0.150783     0.00432578      0.0189599      0.0725578    0.000544562      0.0347919
        22.9813        0.16785        55.1552        88.2484       0.830654       0.151739     0.00439653      0.0191007      0.0722955     0.00056281      0.0349249
        24.5414       0.167679        58.8994        94.2391       0.835073       0.152703     0.00446678      0.0192491      0.0720326    0.000581083      0.0350572
        26.2074       0.167508        62.8978        100.636       0.839665       0.153676     0.00453665      0.0194051      0.0717692    0.000599392      0.0351892
        27.9865       0.167338        67.1676        107.468       0.844427       0.154658     0.00460624      0.0195686      0.0715052     0.00061775       0.035321
        29.8863       0.167167        71.7272        114.764       0.849357       0.155651     0.00467562      0.0197394      0.0712405    0.000636164      0.0354528
        31.9152       0.166996        76.5964        122.554       0.854449       0.156653     0.00474483      0.0199175      0.0709753    0.000654641      0.0355847
        34.0817       0.166825        81.7961        130.874       0.859697       0.157666     0.00481393      0.0201027      0.0707096    0.000673183      0.0357165
        36.3953       0.166654        87.3488        139.758       0.865092       0.158689      0.0048829      0.0202945      0.0704434    0.000691789      0.0358483
         38.866       0.166484        93.2785        149.246       0.870625        0.15972     0.00495173      0.0204926      0.0701767     0.00071045      0.0359798
        41.5044       0.166313        99.6106        159.377       0.876283       0.160758     0.00502038      0.0206965      0.0699098    0.000729153      0.0361108
        44.3219       0.166142        106.373        170.196       0.882052       0.161802     0.00508876      0.0209058      0.0696427    0.000747878      0.0362408
        47.3307       0.165971        113.594         181.75       0.887916        0.16285     0.00515677      0.0211196      0.0693756    0.000766598      0.0363696
        50.5438       0.165801        121.305        194.088       0.893857         0.1639     0.00522428      0.0213373      0.0691086    0.000785279      0.0364964
        53.9749        0.16563         129.54        207.264       0.899854       0.164948     0.00529111       0.021558      0.0688419    0.000803879      0.0366209
         57.639       0.165459        138.334        221.334       0.905884       0.165992     0.00535708      0.0217808      0.0685758    0.000822345      0.0367423
        61.5518       0.165288        147.724        236.359       0.911923       0.167028     0.00542197      0.0220046      0.0683104     0.00084062      0.0368599
        65.7302       0.165118        157.752        252.404       0.917945       0.168053     0.00548552      0.0222281       0.068046    0.000858637       0.036973
        70.1922       0.164947        168.461        269.538       0.923922       0.169062     0.00554747      0.0224503      0.0677827    0.000876322      0.0370807
        74.9572       0.164776        179.897        287.836       0.929824       0.170053     0.00560753      0.0226699       0.067521    0.000893595      0.0371821
        80.0457       0.164605         192.11        307.375       0.935623       0.171019     0.00566541      0.0228853       0.067261    0.000910372      0.0372765
