        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi
              3       0.173144            7.2           21.6       0.762394       0.128026     0.00263492      0.0173265      0.0800545    0.000196922      0.0314646
        3.20365       0.172973        7.68877        23.0663       0.763213        0.12942     0.00273938      0.0173145      0.0797708     0.00021216        0.03179
        3.42113       0.172802        8.21072        24.6322       0.764084       0.130719     0.00284097      0.0173064      0.0794926    0.000227767      0.0320856
        3.65337       0.172631         8.7681        26.3043       0.765011       0.131931     0.00293944      0.0173023      0.0792193    0.000243672      0.0323539
        3.90138       0.172461        9.36332          28.09       0.765997       0.133064      0.0030346       0.017302      0.0789504    0.000259806      0.0325973
        4.16623        0.17229        9.99894        29.9968       0.767045       0.134128     0.00312637      0.0173055      0.0786855    0.000276098      0.0328183
        4.44905       0.172119        10.6777        32.0332       0.768159        0.13513      0.0032147      0.0173129       0.078424    0.000292482      0.0330193
        4.75107       0.171948        11.4026        34.2077       0.769342       0.136077     0.00329961      0.0173241      0.0781655    0.000308897      0.0332024
         5.0736       0.171777        12.1766        36.5299         0.7706       0.136977     0.00338115      0.0173393      0.0779096    0.000325286      0.0333697
        5.41802       0.171607        13.0032        39.0097       0.771935       0.137835     0.00345945      0.0173583      0.0776559    0.000341601      0.0335231
        5.78582       0.171436         13.886        41.6579       0.773352       0.138659     0.00353463      0.0173814      0.0774041    0.000357798      0.0336642
        6.17858       0.171265        14.8286        44.4858       0.774856       0.139452     0.00360685      0.0174086      0.0771538    0.000373843      0.0337945
        6.59801       0.171094        15.8352        47.5057       0.776451        0.14022     0.00367629        0.01744      0.0769049     0.00038971      0.0339155
        7.04592       0.170924        16.9102        50.7306       0.778142       0.140966     0.00374314      0.0174758      0.0766569    0.000405377      0.0340282
        7.52423       0.170753        18.0581        54.1744       0.779933       0.141695     0.00380759       0.017516      0.0764098    0.000420833      0.0341339
        8.03501       0.170582         19.284         57.852        0.78183        0.14241     0.00386985      0.0175608      0.0761634    0.000436072      0.0342335
        8.58046       0.170411        20.5931        61.7793       0.783838       0.143114     0.00393012      0.0176105      0.0759173    0.000451093      0.0343279
        9.16294       0.170241        21.9911        65.9732       0.785961        0.14381      0.0039886      0.0176651      0.0756715    0.000465902      0.0344181
