        dNpi/dy       Vc[fm^3]           K/Pi          Xi/Pi         Phi/Pi           P/Pi       Omega/Pi          La/Pi          H2/Pi         He3/Pi        H3La/Pi
      0.0768496              1      0.0617676    1.51892e-05      0.0743313    0.000861901    3.96149e-07    0.000333076    3.78511e-08    6.19651e-13    2.36135e-13
       0.111546        1.39317      0.0636195    2.18259e-05      0.0713456     0.00119747    5.87087e-07    0.000468229    6.37655e-08    1.29175e-12    5.41977e-13
       0.164161        1.94091      0.0662119    3.17543e-05      0.0675398     0.00166377    8.91107e-07    0.000661074    1.10693e-07    2.87285e-12    1.29795e-12
       0.245806        2.70402      0.0698437    4.69993e-05      0.0628423     0.00231356    1.39687e-06    0.000939386    1.97943e-07    6.78889e-12    3.23236e-12
       0.375664        3.76715      0.0749287    7.11987e-05      0.0572878     0.00322456    2.28392e-06     0.00134747    3.64486e-07    1.69682e-11    8.34897e-12
       0.586958        5.24826      0.0820187    0.000111158      0.0510834      0.0045149    3.93531e-06     0.00195818    6.91099e-07     4.4685e-11    2.23304e-11
       0.935539        7.31171      0.0917755    0.000179928      0.0446541     0.00636814     7.2021e-06     0.00289255    1.34941e-06    1.23595e-10    6.17572e-11
        1.50743        10.1864       0.104774    0.000302302      0.0386134     0.00906373    1.40053e-05     0.00434457    2.70807e-06    3.57194e-10    1.75902e-10
         2.4141        14.1914       0.120928    0.000521783      0.0335961      0.0129789    2.85344e-05     0.00658514    5.53838e-06     1.0648e-09    5.09918e-10
        3.77166         19.771       0.138538    0.000899468      0.0299634      0.0184634    5.88255e-05     0.00986758    1.12987e-05    3.18396e-09     1.4657e-09
        5.70461        27.5443       0.154126     0.00148129      0.0276039      0.0254781    0.000116276      0.0141572    2.21764e-05    9.12911e-09    4.00732e-09
        8.40103        38.3738       0.164759     0.00223039      0.0261168      0.0331989    0.000208296      0.0188726    4.01612e-05    2.38175e-08    9.94139e-09
        12.1498        53.4611       0.170632     0.00300421      0.0251604      0.0401971     0.00032647      0.0230914    6.49983e-05    5.41215e-08    2.15381e-08
        17.3552        74.4802       0.173774     0.00365016      0.0245405      0.0453771    0.000447369      0.0261762    9.30109e-05    1.04589e-07    3.99399e-08
        24.5829        103.763        0.17565     0.00411657      0.0241378      0.0487058    0.000551211      0.0281426    0.000119272    1.72084e-07    6.35567e-08
        34.6323         144.56        0.17687     0.00443863      0.0238704      0.0507987    0.000632671      0.0293709    0.000140933    2.46513e-07    8.87319e-08
        48.6212        201.396       0.177694     0.00466334      0.0236878      0.0521768    0.000694368      0.0301749    0.000157651    3.17395e-07    1.12077e-07
        68.1035        280.578       0.178261     0.00482204      0.0235608      0.0531178    0.000740282      0.0307213    0.000170166    3.78571e-07    1.31826e-07
        95.2414        390.892       0.178656      0.0049348      0.0234714      0.0537723    0.000774056      0.0310999    0.000179392    4.28187e-07     1.4761e-07
        133.046        544.578       0.178934     0.00501518      0.0234082      0.0542322     0.00079871      0.0313653    0.000186133    4.66872e-07    1.59788e-07
        185.713        758.688        0.17913     0.00507259      0.0233633      0.0545576    0.000816614      0.0315528     0.00019103    4.96267e-07    1.68972e-07
        259.084        1056.98        0.17927     0.00511368      0.0233313      0.0547888    0.000829574      0.0316858    0.000194575    5.18221e-07    1.75795e-07
        361.303        1472.55       0.179369     0.00514308      0.0233084      0.0549535    0.000838928      0.0317805    0.000197133    5.34425e-07    1.80812e-07
        503.717         2051.5       0.179437     0.00516408      0.0232917       0.055071    0.000845643      0.0318477    0.000198974    5.46281e-07    1.84471e-07
        702.116        2858.09       0.179488     0.00517917        0.02328      0.0551552    0.000850489       0.031896    0.000200302    5.54917e-07    1.87133e-07
        978.491        3981.79       0.179529     0.00519024      0.0232722      0.0552158    0.000854071      0.0319313    0.000201264    5.61195e-07    1.89063e-07
        1363.52         5547.3        0.17956     0.00519818      0.0232668      0.0552591    0.000856645      0.0319566    0.000201954    5.65717e-07    1.90453e-07
        1899.98        7728.32       0.179574     0.00520347      0.0232623      0.0552901     0.00085831       0.031974    0.000202446    5.68985e-07    1.91462e-07
        2647.44        10766.8       0.179578     0.00520699      0.0232583      0.0553126    0.000859392      0.0319859    0.000202801     5.7138e-07    1.92202e-07
        3688.81          15000       0.179584     0.00520979      0.0232553      0.0553277    0.000860326      0.0319942    0.000203042    5.73018e-07    1.92701e-07
