        dNpi/dy       Vc[fm^3]     K/Pi_toGCE    Xi/Pi_toGCE   Phi/Pi_toGCE     P/Pi_toGCE Omega/Pi_toGCE    La/Pi_toGCE    H2/Pi_toGCE   He3/Pi_toGCE  H3La/Pi_toGCE
      0.0768496              1       0.343883     0.00291113        3.19697      0.0155667    0.000459082      0.0104026    0.000185821    1.07328e-06    1.21705e-06
       0.111546        1.39317       0.354193     0.00418312        3.06855      0.0216274    0.000680354      0.0146237    0.000313042    2.23741e-06    2.79338e-06
       0.164161        1.94091       0.368626     0.00608598        2.90487      0.0300491     0.00103267      0.0206467     0.00054342      4.976e-06    6.68971e-06
       0.245806        2.70402       0.388845     0.00900782        2.70283       0.041785     0.00161878      0.0293389    0.000971755    1.17589e-05    1.66598e-05
       0.375664        3.76715       0.417156      0.0136459        2.46393      0.0582385     0.00264675      0.0420843     0.00178936    2.93901e-05     4.3031e-05
       0.586958        5.24826       0.456628      0.0213043        2.19708      0.0815431     0.00456049      0.0611579     0.00339279    7.73979e-05    0.000115092
       0.935539        7.31171       0.510948      0.0344847        1.92056       0.115014     0.00834625      0.0903402     0.00662461    0.000214075      0.0003183
        1.50743        10.1864       0.583317      0.0579388        1.66075       0.163699      0.0162302       0.135689      0.0132946    0.000618687    0.000906608
         2.4141        14.1914        0.67325       0.100004        1.44496       0.234411      0.0330675       0.205667      0.0271894     0.00184431     0.00262814
        3.77166         19.771       0.771293       0.172391        1.28872       0.333465      0.0681707       0.308184      0.0554683     0.00551486     0.00755428
        5.70461        27.5443       0.858078       0.283903        1.18724       0.460157       0.134748       0.442157        0.10887      0.0158123      0.0206539
        8.40103        38.3738       0.917276       0.427473        1.12328       0.599601       0.241386        0.58943       0.197162      0.0412537      0.0512384
        12.1498        53.4611       0.949969       0.575783        1.08214       0.725996       0.378335       0.721191       0.319094      0.0937425       0.111008
        17.3552        74.4802       0.967466       0.699584        1.05548        0.81955       0.518439       0.817533       0.456616       0.181156       0.205852
        24.5829        103.763       0.977906       0.788977        1.03816        0.87967       0.638778       0.878949       0.585536       0.298063       0.327574
        34.6323         144.56       0.984702       0.850703        1.02666       0.917469        0.73318       0.917311        0.69188       0.426979       0.457329
        48.6212        201.396        0.98929       0.893769        1.01881       0.942359       0.804678       0.942421       0.773951       0.549753       0.577653
        68.1035        280.578       0.992446       0.924186        1.01334       0.959355       0.857886       0.959486       0.835393       0.655714       0.679438
        95.2414        390.892       0.994645       0.945798         1.0095       0.971175       0.897026       0.971312       0.880686       0.741653       0.760791
        133.046        544.578       0.996189       0.961202        1.00678       0.979482       0.925596       0.979602       0.913776       0.808658       0.823557
        185.713        758.688       0.997282       0.972206        1.00485       0.985358       0.946344       0.985456       0.937816       0.859572       0.870893
        259.084        1056.98        0.99806        0.98008        1.00347       0.989534       0.961363       0.989611       0.955219       0.897599       0.906059
        361.303        1472.55       0.998612       0.985716        1.00249        0.99251       0.972203       0.992568        0.96778       0.925665       0.931913
        503.717         2051.5       0.998994        0.98974        1.00177       0.994632       0.979985       0.994668       0.976819         0.9462       0.950775
        702.116        2858.09       0.999275       0.992633        1.00126       0.996152       0.985601       0.996176       0.983337       0.961158       0.964491
        978.491        3981.79       0.999506       0.994754        1.00093       0.997246       0.989752       0.997278        0.98806       0.972032       0.974442
        1363.52         5547.3       0.999674       0.996276         1.0007       0.998028       0.992734       0.998068       0.991447       0.979866       0.981606
        1899.98        7728.32       0.999754        0.99729         1.0005       0.998589       0.994664       0.998611       0.993861       0.985525       0.986804
        2647.44        10766.8       0.999777       0.997965        1.00033       0.998995       0.995918       0.998985       0.995605       0.989673       0.990621
        3688.81          15000        0.99981       0.998501         1.0002       0.999267          0.997       0.999244       0.996789       0.992511       0.993192
