        dNpi/dy       Vc[fm^3]           K/Pi          Xi/Pi         Phi/Pi           P/Pi       Omega/Pi          La/Pi          H2/Pi         He3/Pi        H3La/Pi
       0.245971            1.6       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.342678        2.22907       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.477408        3.10546       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.665109        4.32643       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.926608        6.02744       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1.29092        8.39722       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1.79847        11.6987       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        2.50556        16.2983       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        3.49067        22.7062       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        4.86308        31.6336       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        6.77509        44.0709       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        9.43882        61.3981       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        13.1499        85.5377       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        18.3199        119.168       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        25.5227        166.021       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        35.5574        231.296       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        49.5374        322.233       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        69.0139        448.925       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        96.1479        625.427       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
         133.95        871.324       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        186.615         1213.9       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        259.986        1691.17       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        362.203        2356.08       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
         504.61        3282.41       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        703.006        4572.94       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        979.404        6370.87       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1364.47        8875.68       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1900.94        12365.3       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        2648.33        17226.9       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        3689.56          24000       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
