        dNpi/dy       Vc[fm^3]           K/Pi          Xi/Pi         Phi/Pi           P/Pi       Omega/Pi          La/Pi          H2/Pi         He3/Pi        H3La/Pi
       0.245971              1       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.342678        1.39317       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.477408        1.94091       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.665109        2.70402       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
       0.926608        3.76715       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1.29092        5.24826       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1.79847        7.31171       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        2.50556        10.1864       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        3.49067        14.1914       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        4.86308         19.771       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        6.77509        27.5443       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        9.43882        38.3738       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        13.1499        53.4611       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        18.3199        74.4802       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        25.5227        103.763       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        35.5574         144.56       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        49.5374        201.396       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        69.0139        280.578       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        96.1479        390.892       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
         133.95        544.578       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        186.615        758.688       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        259.986        1056.98       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        362.203        1472.55       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
         504.61         2051.5       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        703.006        2858.09       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        979.404        3981.79       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1364.47         5547.3       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        1900.94        7728.32       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        2648.33        10766.8       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
        3689.56          15000       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184    0.000203696    5.77341e-07    1.94022e-07
