        dNpi/dy       Vc[fm^3]     K/Pi_toGCE    Xi/Pi_toGCE   Phi/Pi_toGCE     P/Pi_toGCE Omega/Pi_toGCE    La/Pi_toGCE    H2/Pi_toGCE   He3/Pi_toGCE  H3La/Pi_toGCE
       0.219036            1.6       0.179152     0.00601759        1.12174        1.07548     0.00048923       0.089705        1.12297        1.12297       0.081773
       0.306279        2.22907       0.206989     0.00995342        1.11766        1.07298    0.000889778       0.119608        1.11884        1.11884        0.11334
       0.428866        3.10546       0.245134      0.0168433        1.11206        1.06955     0.00170613       0.160631        1.11319        1.11319       0.156575
       0.601622        4.32643       0.296772      0.0290133        1.10447        1.06491     0.00343764        0.21626        1.10553        1.10553       0.215063
       0.845932        6.02744       0.365175       0.050444        1.09442        1.05874     0.00720906       0.290124        1.09537        1.09537       0.292465
        1.19264        8.39722       0.452356      0.0873816        1.08159        1.05087      0.0154712       0.384582        1.08241        1.08241       0.390979
        1.68565        11.6987        0.55632       0.147982        1.06627        1.04144      0.0331268       0.497766        1.06693        1.06693       0.508224
        2.38554        16.2983       0.667644       0.238968        1.04982         1.0313       0.068413       0.619819        1.05031        1.05031       0.633399
        3.37253        22.7062       0.769701        0.35836        1.03469        1.02192       0.131164       0.732886        1.03503        1.03503       0.747639
        4.75232        31.6336       0.847577       0.490501        1.02308        1.01468       0.226147       0.820498        1.02331        1.02331       0.834223
        6.67137        44.0709       0.898776       0.613779         1.0154        1.00985       0.345948       0.879274        1.01555        1.01555       0.890619
        9.33951        61.3981       0.930955       0.714889        1.01053        1.00676       0.473168       0.916973        1.01063        1.01063       0.925719
        13.0531        85.5377       0.951942       0.792154        1.00734        1.00472       0.590978       0.941919        1.00741        1.00741       0.948442
        18.2247        119.168       0.966182       0.849403        1.00517        1.00333       0.690349       0.958995        1.00522        1.00522       0.963786
        25.4286        166.021       0.976049        0.89125        1.00367        1.00237       0.769466       0.970895         1.0037         1.0037       0.974385
         35.464        231.296       0.982967       0.921628        1.00261        1.00168       0.830277        0.97927        1.00263        1.00263         0.9818
        49.4445        322.233       0.987853       0.943593        1.00186         1.0012       0.875992       0.985201        1.00188        1.00188       0.987029
        68.9214        448.925       0.991321       0.959435        1.00133        1.00086       0.909868       0.989418        1.00134        1.00134       0.990736
        96.0556        625.427       0.993791       0.970845        1.00095        1.00062       0.934727       0.992425        1.00096        1.00096       0.993374
        133.858        871.324       0.995553       0.979054        1.00068        1.00044       0.952854       0.994574        1.00069        1.00069       0.995256
        186.523         1213.9       0.996814       0.984957        1.00049        1.00032       0.966009       0.996111        1.00049        1.00049       0.996601
        259.894        1691.17       0.997713       0.989184        1.00035        1.00023       0.975492       0.997208        1.00035        1.00035       0.997561
        362.111        2356.08       0.998359       0.992229        1.00025        1.00016       0.982359       0.997996        1.00025        1.00025        0.99825
        504.519        3282.41       0.998836       0.994484        1.00018        1.00012       0.987461       0.998578        1.00018        1.00018       0.998759
        702.916        4572.94       0.999173        0.99608        1.00013        1.00008       0.991079        0.99899        1.00013        1.00013       0.999118
        979.311        6370.87       0.999384       0.997077        1.00009        1.00006       0.993341       0.999247         1.0001         1.0001       0.999343
        1364.37        8875.68       0.999523       0.997738        1.00007        1.00005       0.994846       0.999418        1.00007        1.00007       0.999492
        1900.84        12365.3       0.999652       0.998349        1.00005        1.00003       0.996236       0.999575        1.00005        1.00005       0.999629
        2648.24        17226.9       0.999781       0.998962        1.00003        1.00002       0.997633       0.999733        1.00003        1.00003       0.999767
        3689.49          24000       0.999883       0.999446        1.00002        1.00001       0.998737       0.999857        1.00002        1.00002       0.999876
