        dNpi/dy       Vc[fm^3]     K/Pi_toGCE    Xi/Pi_toGCE   Phi/Pi_toGCE     P/Pi_toGCE Omega/Pi_toGCE    La/Pi_toGCE    H2/Pi_toGCE   He3/Pi_toGCE  H3La/Pi_toGCE
       0.218263              1       0.152308     0.00307871        1.12568        1.07788    0.000228514      0.0608987        1.12695        1.12695       0.051321
       0.304782        1.39317       0.169927      0.0049135        1.12309         1.0763    0.000387035      0.0798032        1.12434        1.12434      0.0713101
        0.42598        1.94091       0.194281     0.00804355        1.11952        1.07412    0.000688721       0.105953        1.12073        1.12073      0.0989306
       0.596102        2.70402       0.227762      0.0134884        1.11461        1.07111     0.00129189       0.141941        1.11576        1.11576       0.136888
       0.835534        3.76715       0.273356      0.0230814        1.10791        1.06701      0.0025517       0.191021          1.109          1.109       0.188547
        1.17363        5.24826       0.334398      0.0400264        1.09894        1.06152     0.00527101       0.256864        1.09994        1.09994        0.25765
        1.65276        7.31171       0.413672      0.0695769        1.08728        1.05437      0.0112324       0.342622        1.08816        1.08816       0.347286
        2.33371        10.1864       0.511282       0.119271        1.07291        1.04553      0.0241618       0.448653        1.07364        1.07364       0.457467
        3.30166        14.1914       0.621238       0.197119        1.05668        1.03553      0.0508891       0.568812        1.05725        1.05725       0.581274
         4.6712         19.771       0.729379       0.305774        1.04068        1.02564         0.1011       0.688037        1.04108        1.04108        0.70258
        6.59252        27.5443       0.818502       0.435224        1.02742         1.0174       0.182739       0.787594        1.02769        1.02769       0.801982
        9.26865        38.3738       0.880257       0.564548        1.01818        1.01161       0.293918       0.857865        1.01836        1.01836       0.870288
        12.9885        53.4611       0.919253       0.675686        1.01231        1.00789       0.420375       0.903186        1.01242        1.01242        0.91299
        18.1636        74.4802       0.944191       0.762601        1.00852        1.00548       0.543718       0.932673        1.00861        1.00861       0.940064
        25.3695        103.763       0.960876       0.827632        1.00598        1.00385       0.651346       0.952619        1.00604        1.00604       0.958075
        35.4062         144.56       0.972356       0.875381        1.00423        1.00273       0.738824       0.966435        1.00427        1.00427       0.970421
        49.3875        201.396        0.98037       0.910126        1.00301        1.00194       0.806919       0.976124        1.00304        1.00304       0.979018
         68.865        280.578       0.986016       0.935284        1.00214        1.00138       0.858527       0.982969        1.00216        1.00216       0.985063
        95.9996        390.892       0.990015       0.953446        1.00153        1.00099       0.896972        0.98783        1.00155        1.00155       0.989341
        133.802        544.578        0.99286       0.966533        1.00109        1.00071       0.925287       0.991292        1.00111        1.00111        0.99238
        186.467        758.688       0.994889       0.975952        1.00078        1.00051       0.945981       0.993763        1.00079        1.00079       0.994547
        259.838        1056.98       0.996339       0.982728        1.00056        1.00036       0.961029       0.995531        1.00057        1.00057       0.996094
        362.056        1472.55       0.997374        0.98759         1.0004        1.00026        0.97191       0.996794        1.00041        1.00041       0.997199
        504.462         2051.5       0.998114       0.991072        1.00029        1.00019       0.979747       0.997697        1.00029        1.00029       0.997988
        702.859        2858.09       0.998654       0.993624        1.00021        1.00013       0.985514       0.998356        1.00021        1.00021       0.998565
         979.26        3981.79       0.999049       0.995494        1.00015        1.00009       0.989749       0.998839        1.00015        1.00015       0.998986
        1364.33         5547.3       0.999309       0.996721        1.00011        1.00007       0.992533       0.999156        1.00011        1.00011       0.999263
        1900.78        7728.32       0.999469       0.997481        1.00008        1.00005        0.99426       0.999352        1.00008        1.00008       0.999434
        2648.16        10766.8       0.999598       0.998091        1.00006        1.00004       0.995648       0.999509        1.00006        1.00006       0.999571
         3689.4          15000       0.999729       0.998712        1.00004        1.00003       0.997064       0.999668        1.00004        1.00004       0.999711
