        dNpi/dy       Vc[fm^3]            K/P           Xi/P          Phi/P           Pi/P        Omega/P           La/P           H2/P          He3/P         H3La/P
      0.0817669            1.6        47.0258      0.0185486         50.859         727.99    0.000507029       0.393408    5.82276e-05    1.30284e-09    5.65311e-10
       0.121156        2.22907         35.402      0.0195457        34.4106        523.846    0.000560657       0.400637    7.36454e-05    2.13968e-09    9.90602e-10
       0.182906        3.10546        27.0138      0.0209746        22.8198        376.439     0.00064195       0.410547    9.58033e-05    3.72154e-09    1.80045e-09
       0.282113        4.32643        20.9278      0.0230298        14.7658        269.659    0.000767599       0.423957    0.000127921    6.81281e-09    3.38068e-09
       0.444732        6.02744        16.4655      0.0259834        9.29496        192.066    0.000965403       0.441687    0.000174892    1.30486e-08    6.53234e-09
         0.7132        8.39722        13.1307       0.030184        5.70416        135.664     0.00128077       0.464196    0.000244101    2.59878e-08    1.29288e-08
        1.14902        11.6987        10.5624      0.0359919        3.45454         94.999      0.0017833       0.490859     0.00034632    5.33994e-08    2.60322e-08
        1.82469        16.2983        8.51428      0.0435806        2.11784        66.3758     0.00256523       0.519078    0.000496095    1.11861e-07    5.27586e-08
        2.81248        22.7062        6.85317      0.0526078        1.35848        47.0966     0.00371377       0.544251    0.000710201    2.34673e-07    1.05981e-07
        4.20202        31.6336        5.54985      0.0620385       0.937576        34.8535     0.00524588       0.562025     0.00100236    4.81688e-07    2.07044e-07
        6.13612        44.0709        4.62038      0.0705563       0.707243        27.5548      0.0070434       0.571608     0.00137323    9.41961e-07    3.85193e-07
        8.82358        61.3981        4.04074      0.0773384       0.583664        23.4699     0.00887298       0.575734     0.00179792     1.7065e-06    6.66909e-07
        12.5543        85.5377        3.71934      0.0823182       0.518547        21.2943      0.0105066       0.577362     0.00222354    2.79337e-06    1.05093e-06
         17.737        119.168        3.54615      0.0858378       0.483229        20.1234      0.0118299       0.578008     0.00259463    4.08471e-06    1.49119e-06
        24.9472        166.021        3.44577      0.0882984       0.462395        19.4398       0.012842       0.578257     0.00288646    5.38493e-06    1.92146e-06
        34.9865        231.296        3.38241      0.0900222        0.44912         19.007      0.0135944       0.578344     0.00310447    6.54409e-06    2.29612e-06
        48.9696        322.233        3.34041      0.0912363       0.440281        18.7197      0.0141459       0.578365     0.00326412    7.50081e-06    2.59992e-06
        68.4481        448.925         3.3118      0.0920955       0.434248         18.524      0.0145471        0.57836     0.00338004      8.254e-06    2.83603e-06
        95.5836        625.427        3.29199      0.0927059       0.430063        18.3885      0.0148375       0.578347     0.00346385    8.82954e-06    3.01478e-06
        133.387        871.324        3.27812      0.0931408       0.427131        18.2937      0.0150473       0.578333     0.00352428    9.26087e-06    3.14786e-06
        186.051         1213.9        3.26834      0.0934515       0.425063        18.2268      0.0151985       0.578322      0.0035678    9.57994e-06    3.24584e-06
        259.424        1691.17        3.26139      0.0936731       0.423593        18.1794      0.0153071        0.57831     0.00359908    9.81381e-06     3.3174e-06
        361.648        2356.08        3.25642      0.0938307       0.422544        18.1457      0.0153849       0.578299     0.00362153    9.98414e-06     3.3694e-06
         504.05        3282.41        3.25293      0.0939458       0.421803        18.1215      0.0154416       0.578297     0.00363775    1.01079e-05    3.40712e-06
        702.424        4572.94        3.25051      0.0940319       0.421282        18.1043      0.0154839       0.578303     0.00364948    1.01975e-05    3.43438e-06
        978.801        6370.87        3.24872      0.0940902       0.420906        18.0919      0.0155127       0.578303     0.00365781    1.02619e-05    3.45397e-06
        1363.89        8875.68        3.24728      0.0941238       0.420622         18.083      0.0155298       0.578287     0.00366378    1.03088e-05    3.46834e-06
        1900.42        12365.3        3.24621      0.0941473       0.420409        18.0767      0.0155421        0.57827     0.00366804    1.03426e-05    3.47867e-06
        2647.89        17226.9        3.24565      0.0941742        0.42027        18.0727      0.0155554       0.578271     0.00367082    1.03648e-05    3.48524e-06
        3689.16          24000         3.2454      0.0942003       0.420184          18.07      0.0155679       0.578281     0.00367273    1.03796e-05    3.48952e-06
