        dNpi/dy       Vc[fm^3]      K/P_toGCE     Xi/P_toGCE    Phi/P_toGCE     Pi/P_toGCE  Omega/P_toGCE     La/P_toGCE     H2/P_toGCE    He3/P_toGCE   H3La/P_toGCE
      0.0817669            1.6         14.496       0.196835        121.114        40.3075      0.0325331       0.680305      0.0158273    0.000124945    0.000161323
       0.121156        2.22907        10.9129       0.207415        81.9444        29.0045      0.0359741       0.692806      0.0200181      0.0002052    0.000282689
       0.182906        3.10546        8.32714       0.222578        54.3425        20.8428      0.0411903       0.709943       0.026041    0.000356903    0.000513795
       0.282113        4.32643        6.45109       0.244388        35.1629        14.9305      0.0492524       0.733132      0.0347711    0.000653363    0.000964748
       0.444732        6.02744        5.07558        0.27573        22.1348        10.6343      0.0619444       0.763792      0.0475388     0.00125138     0.00186414
         0.7132        8.39722        4.04761       0.320306        13.5837        7.51149      0.0821795       0.802715      0.0663508     0.00249228      0.0036895
        1.14902        11.6987        3.25593       0.381939        8.22654        5.25993       0.114424       0.848822      0.0941359     0.00512111     0.00742885
        1.82469        16.2983        2.62457       0.462469        5.04336        3.67511       0.164596       0.897621       0.134847      0.0107277      0.0150558
        2.81248        22.7062        2.11253       0.558264        3.23503        2.60766       0.238291       0.941151       0.193045      0.0225056      0.0302438
        4.20202        31.6336        1.71077        0.65834        2.23272        1.92978       0.336598       0.971888       0.272458      0.0461949      0.0590844
        6.13612        44.0709        1.42426        0.74873        1.68421        1.52566       0.451934       0.988459       0.373267       0.090336       0.109923
        8.82358        61.3981        1.24558       0.820701        1.38992        1.29949       0.569328       0.995594       0.488707       0.163656       0.190316
        12.5543        85.5377        1.14651       0.873545        1.23485        1.17903        0.67415        0.99841       0.604398        0.26789       0.299905
         17.737        119.168        1.09312       0.910894        1.15075         1.1142       0.759055       0.999526       0.705266       0.391732       0.425541
        24.9472        166.021        1.06218       0.937006        1.10113        1.07635       0.823997       0.999958        0.78459       0.516425        0.54833
        34.9865        231.296        1.04265       0.955299        1.06952        1.05238       0.872274        1.00011        0.84385       0.627591       0.655246
        48.9696        322.233         1.0297       0.968182        1.04847        1.03648       0.907661        1.00014       0.887246       0.719343       0.741942
        68.4481        448.925        1.02088         0.9773        1.03411        1.02564       0.933401        1.00014       0.918755       0.791576        0.80932
        95.5836        625.427        1.01477       0.983777        1.02414        1.01814       0.952038        1.00011       0.941534       0.846771       0.860331
        133.387        871.324         1.0105       0.988392        1.01716        1.01289       0.965496        1.00009       0.957962       0.888137       0.898308
        186.051         1213.9        1.00748       0.991689        1.01223        1.00918       0.975198        1.00007       0.969792       0.918736       0.926268
        259.424        1691.17        1.00534       0.994041        1.00873        1.00656        0.98217        1.00005       0.978294       0.941165       0.946691
        361.648        2356.08        1.00381       0.995713        1.00623        1.00469       0.987158        1.00003       0.984397       0.957499       0.961529
         504.05        3282.41        1.00273       0.996935        1.00447        1.00336       0.990801        1.00003       0.988806       0.969371       0.972294
        702.424        4572.94        1.00199       0.997848        1.00323         1.0024       0.993514        1.00004       0.991992       0.977964       0.980071
        978.801        6370.87        1.00144       0.998468        1.00233        1.00172       0.995363        1.00004       0.994258       0.984134       0.985663
        1363.89        8875.68        1.00099       0.998823        1.00166        1.00123       0.996458        1.00001        0.99588       0.988631       0.989762
        1900.42        12365.3        1.00066       0.999073        1.00115        1.00088       0.997246        0.99998       0.997038       0.991881       0.992713
        2647.89        17226.9        1.00049       0.999358        1.00082        1.00065       0.998098       0.999981       0.997793       0.994004       0.994587
        3689.16          24000        1.00041       0.999635        1.00061        1.00051       0.998904              1       0.998313       0.995429       0.995807
