        dNpi/dy       Vc[fm^3]            K/P           Xi/P          Phi/P           Pi/P        Omega/P           La/P           H2/P          He3/P         H3La/P
      0.0768496              1        71.6644      0.0176228        86.2411        1160.23    0.000459622       0.386443    4.39159e-05    7.18936e-10     2.7397e-10
       0.111546        1.39317        53.1281      0.0182266        59.5801        835.091    0.000490271       0.391014      5.325e-05    1.07873e-09      4.526e-10
       0.164161        1.94091        39.7964      0.0190858        40.5946        601.046    0.000535597       0.397336    6.65314e-05    1.72672e-09    7.80129e-10
       0.245806        2.70402        30.1888      0.0203147        27.1625        432.233    0.000603772       0.406034    8.55575e-05    2.93438e-09    1.39713e-09
       0.375664        3.76715        23.2369      0.0220801        17.7661         310.12    0.000708288       0.417878    0.000113034    5.26216e-09    2.58918e-09
       0.586958        5.24826        18.1662      0.0246202        11.3144        221.489    0.000871628       0.433716    0.000153071    9.89724e-09    4.94594e-09
       0.935539        7.31171        14.4116      0.0282543         7.0121        157.032     0.00113096       0.454222      0.0002119    1.94083e-08    9.69783e-09
        1.50743        10.1864        11.5597      0.0333529        4.26022         110.33      0.0015452       0.479336    0.000298781    3.94092e-08    1.94073e-08
         2.4141        14.1914        9.31724      0.0402023        2.58851        77.0479     0.00219852       0.507371     0.00042672    8.20406e-08    3.92881e-08
        3.77166         19.771        7.50341      0.0487163        1.62286        54.1613     0.00318606       0.534441    0.000611951    1.72447e-07    7.93841e-08
        5.70461        27.5443        6.04937        0.05814        1.08344        39.2494     0.00456378       0.555661    0.000870412    3.58312e-07    1.57285e-07
        8.40103        38.3738         4.9628      0.0671826       0.786677        30.1215     0.00627418       0.568472     0.00120971    7.17417e-07    2.99449e-07
        12.1498        53.4611        4.24487      0.0747369       0.625926        24.8774     0.00812173       0.574454     0.00161699     1.3464e-06    5.35812e-07
        17.3552        74.4802        3.82957      0.0804406       0.540812        22.0376     0.00985891       0.576859     0.00204973    2.30489e-06    8.80178e-07
        24.5829        103.763        3.60634      0.0845191       0.495583        20.5314      0.0113171       0.577808     0.00244882    3.53314e-06    1.30491e-06
        34.6323         144.56        3.48179       0.087377       0.469903        19.6856      0.0124545       0.578182     0.00277435    4.85274e-06    1.74674e-06
        48.6212        201.396        3.40562      0.0893757       0.453992        19.1656       0.013308        0.57832     0.00302148    6.08307e-06    2.14803e-06
        68.1035        280.578        3.35596      0.0907802       0.443557        18.8261      0.0139366       0.578361     0.00320357    7.12701e-06    2.48177e-06
        95.2414        390.892        3.32246      0.0917723       0.436497        18.5969      0.0143951       0.578364     0.00333615    7.96298e-06     2.7451e-06
        133.046        544.578         3.2994       0.092476       0.431629        18.4392      0.0147276       0.578353     0.00343215    8.60876e-06    2.94637e-06
        185.713        758.688        3.28332      0.0929769       0.428232        18.3293      0.0149679       0.578339     0.00350143     9.0962e-06    3.09714e-06
        259.084        1056.98        3.27201      0.0933344       0.425841        18.2519      0.0151413       0.578327     0.00355136    9.45853e-06     3.2086e-06
        361.303        1472.55        3.26401      0.0935897       0.424147        18.1972      0.0152661       0.578315     0.00358727    9.72503e-06    3.29026e-06
        503.717         2051.5        3.25829      0.0937712       0.422939        18.1584      0.0153555       0.578303     0.00361305    9.91957e-06     3.3497e-06
        702.116        2858.09        3.25423      0.0939018       0.422081        18.1307      0.0154199       0.578296     0.00363161     1.0061e-05    3.39284e-06
        978.491        3981.79        3.25141      0.0939992       0.421478        18.1108      0.0154679         0.5783     0.00364505    1.01637e-05    3.42408e-06
        1363.52         5547.3        3.24942      0.0940693        0.42105        18.0966      0.0155023       0.578305     0.00365468    1.02376e-05    3.44655e-06
        1899.98        7728.32        3.24785      0.0941121       0.420732        18.0864      0.0155237       0.578295     0.00366152    1.02909e-05    3.46286e-06
        2647.44        10766.8         3.2466      0.0941375       0.420489        18.0791       0.015537       0.578276     0.00366645      1.033e-05    3.47484e-06
        3688.81          15000        3.24583      0.0941624       0.420319        18.0741      0.0155496       0.578268     0.00366981    1.03568e-05    3.48291e-06
