        dNpi/dy       Vc[fm^3]      K/P_toGCE     Xi/P_toGCE    Phi/P_toGCE     Pi/P_toGCE  Omega/P_toGCE     La/P_toGCE     H2/P_toGCE    He3/P_toGCE   H3La/P_toGCE
      0.0933614              3        8.55923        0.22073        56.7798        21.5753      0.0405369       0.707901      0.0253052    0.000336063    0.000482018
       0.143668         4.1795        6.62014       0.241727         36.841         15.462      0.0482345       0.730389      0.0337005    0.000612112    0.000902177
       0.225992        5.82274        5.20044       0.271916        23.2583        11.0209      0.0603313       0.760215      0.0459675     0.00116719     0.00173838
       0.361927        8.11205        4.14208       0.314925        14.3061        7.79197      0.0796011       0.798283      0.0640307     0.00231589     0.00343291
       0.583291        11.3014        3.32992       0.374635        8.66759         5.4605       0.110337       0.843782       0.090713     0.00474542     0.00690274
       0.928518        15.7448        2.68438       0.453242        5.29897         3.8138       0.158348       0.892628       0.129868     0.00992797       0.013989
        1.43609        21.9351        2.16079       0.547842        3.37798        2.69859       0.229421       0.937117       0.186037      0.0208456      0.0281504
        2.15189        30.5593        1.74732       0.648142        2.31144        1.98578       0.325351       0.969388       0.263143      0.0429366      0.0552072
        3.14858        42.5742        1.44876       0.740092        1.72695        1.55802       0.439533       0.987277       0.361894      0.0844989       0.103341
        4.53368         59.313        1.25988       0.814134        1.41257        1.31706       0.557477        0.99512       0.476377       0.154504       0.180467
        6.45653        82.6328        1.15417       0.868838        1.24682        1.18831       0.664102       0.998223       0.592824       0.255817       0.287419
        9.12738        115.121        1.09735       0.907595        1.15748        1.11936        0.75118       0.999452       0.695731       0.378468       0.412276
        12.8426        160.383        1.06475         0.9347        1.10528         1.0795       0.818074        0.99993       0.777325       0.503889        0.53613
        18.0152        223.441        1.04432       0.953679        1.07223        1.05443       0.867907         1.0001        0.83849       0.616873       0.645031
        25.2197         311.29        1.03082       0.967038        1.05031        1.03786       0.904474        1.00014       0.883341       0.710722        0.73385
        35.2556        433.679        1.02165       0.976489        1.03537        1.02659       0.931089        1.00014       0.915927       0.784897        0.80312
        49.2364        604.187        1.01531         0.9832        1.02502         1.0188       0.950366        1.00012       0.939492       0.841721        0.85568
        68.7134        841.734        1.01088       0.987981        1.01778        1.01335        0.96429        1.00009        0.95649       0.884378       0.894866
        95.8474        1172.68        1.00775       0.991395        1.01267        1.00951       0.974329        1.00007       0.968733       0.915969       0.923745
        133.651        1633.73        1.00553       0.993831        1.00904        1.00679       0.981548        1.00005       0.977534       0.939144       0.944853
        186.318        2276.06        1.00395       0.995564        1.00646        1.00486       0.986711        1.00003        0.98385        0.95603       0.960195
        259.688        3170.93        1.00283       0.996823        1.00463        1.00348       0.990469        1.00003       0.988409       0.968303       0.971328
        361.895        4417.64        1.00205       0.997766        1.00334        1.00249       0.993271        1.00004       0.991708       0.977195       0.979376
        504.289        6154.51        1.00149       0.998417        1.00242        1.00178        0.99521        1.00004       0.994057       0.983581       0.985161
         702.69        8574.26        1.00103       0.998795        1.00172        1.00127       0.996367        1.00001       0.995734       0.988224       0.989391
        979.121        11945.4        1.00069       0.999047        1.00119        1.00091       0.997163       0.999982       0.996937       0.991598       0.992458
        1364.24        16641.9         1.0005       0.999327        1.00085        1.00067       0.998006       0.999979        0.99773       0.993827       0.994433
        1900.73          23185        1.00042        0.99961        1.00063        1.00052        0.99883       0.999998       0.998263       0.995294       0.995691
         2648.1        32300.5        1.00034       0.999797        1.00047        1.00038       0.999384        1.00001       0.998745        0.99658       0.996821
        3689.31          45000        1.00023       0.999875        1.00031        1.00025       0.999628        1.00001       0.999214       0.997812       0.997963
