        dNpi/dy       Vc[fm^3]            K/P           Xi/P          Phi/P           Pi/P        Omega/P           La/P           H2/P          He3/P         H3La/P
       0.245971            1.6        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.342678        2.22907        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.477408        3.10546        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.665109        4.32643        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.926608        6.02744        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1.29092        8.39722        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1.79847        11.6987        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        2.50556        16.2983        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        3.49067        22.7062        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        4.86308        31.6336        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        6.77509        44.0709        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        9.43882        61.3981        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        13.1499        85.5377        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        18.3199        119.168        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        25.5227        166.021        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        35.5574        231.296        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        49.5374        322.233        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        69.0139        448.925        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        96.1479        625.427        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
         133.95        871.324        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        186.615         1213.9        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        259.986        1691.17        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        362.203        2356.08        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
         504.61        3282.41        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        703.006        4572.94        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        979.404        6370.87        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1364.47        8875.68        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1900.94        12365.3        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        2648.33        17226.9        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        3689.56          24000        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
