        dNpi/dy       Vc[fm^3]            K/P           Xi/P          Phi/P           Pi/P        Omega/P           La/P           H2/P          He3/P         H3La/P
       0.245971              1        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.342678        1.39317        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.477408        1.94091        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.665109        2.70402        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
       0.926608        3.76715        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1.29092        5.24826        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1.79847        7.31171        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        2.50556        10.1864        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        3.49067        14.1914        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        4.86308         19.771        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        6.77509        27.5443        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        9.43882        38.3738        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        13.1499        53.4611        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        18.3199        74.4802        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        25.5227        103.763        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        35.5574         144.56        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        49.5374        201.396        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        69.0139        280.578        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        96.1479        390.892        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
         133.95        544.578        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        186.615        758.688        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        259.986        1056.98        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        362.203        1472.55        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
         504.61         2051.5        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        703.006        2858.09        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        979.404        3981.79        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1364.47         5547.3        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        1900.94        7728.32        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        2648.33        10766.8        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
        3689.56          15000        3.24406      0.0942347       0.419926        18.0609       0.015585       0.578282     0.00367894    1.04273e-05    3.50421e-06
