        dNpi/dy       Vc[fm^3]      K/P_toGCE     Xi/P_toGCE    Phi/P_toGCE     Pi/P_toGCE  Omega/P_toGCE     La/P_toGCE     H2/P_toGCE    He3/P_toGCE   H3La/P_toGCE
       0.219036            1.6       0.166579     0.00559527        1.04302        0.92982    0.000454896      0.0834096        1.04416        1.04416      0.0760342
       0.306278        2.22907       0.192911     0.00927644        1.04164       0.931985     0.00082926       0.111472        1.04275        1.04275       0.105632
       0.428865        3.10546       0.229193       0.015748        1.03974       0.934971     0.00159518       0.150185         1.0408         1.0408       0.146393
       0.601622        4.32643       0.278684      0.0272449        1.03715       0.939049     0.00322812       0.203079        1.03814        1.03814       0.201955
       0.845932        6.02744       0.344914      0.0476452         1.0337       0.944515     0.00680907       0.274027        1.03459        1.03459       0.276238
        1.19264        8.39722       0.430459      0.0831518        1.02923       0.951594      0.0147223       0.365966        1.03001        1.03001       0.372054
        1.68565        11.6987       0.534181       0.142093        1.02384       0.960206      0.0318085       0.477958        1.02447        1.02447          0.488
        2.38553        16.2983       0.647383       0.231716        1.01796       0.969653      0.0663369       0.601009        1.01844        1.01844       0.614177
        3.37253        22.7062       0.753191       0.350673        1.01249        0.97855       0.128351       0.717165        1.01283        1.01283       0.731602
        4.75232        31.6336       0.835314       0.483404        1.00828       0.985531       0.222875       0.808626         1.0085         1.0085       0.822153
        6.67137        44.0709       0.890012       0.607794         1.0055       0.990249       0.342575         0.8707        1.00564        1.00564       0.881934
         9.3395        61.3981       0.924703       0.710089        1.00375       0.993285       0.469991       0.910815        1.00385        1.00385       0.919502
        13.0531        85.5377       0.947466       0.788429        1.00261       0.995298       0.588199        0.93749        1.00268        1.00268       0.943982
        18.2247        119.168       0.962972       0.846581        1.00183       0.996678       0.688055       0.955809        1.00188        1.00188       0.960584
        25.4286        166.021       0.973746       0.889148         1.0013       0.997641        0.76765       0.968605        1.00133        1.00133       0.972086
         35.464        231.296       0.981315       0.920079        1.00092       0.998319       0.828881       0.977624        1.00095        1.00095       0.980149
        49.4445        322.233       0.986667        0.94246        1.00066         0.9988       0.874941       0.984018        1.00068        1.00068       0.985844
        68.9213        448.925        0.99047       0.958612        1.00047       0.999141       0.909086       0.988569        1.00048        1.00048       0.989885
        96.0555        625.427        0.99318       0.970248        1.00034       0.999385       0.934153       0.991815        1.00035        1.00035       0.992764
        133.858        871.324       0.995115       0.978623        1.00024        0.99956       0.952434       0.994136        1.00025        1.00025       0.994818
        186.523         1213.9       0.996499       0.984646        1.00017       0.999684       0.965704       0.995796        1.00018        1.00018       0.996287
        259.893        1691.17       0.997487        0.98896        1.00012       0.999773       0.975271       0.996982        1.00013        1.00013       0.997335
        362.111        2356.08       0.998196       0.992068        1.00009       0.999837         0.9822       0.997834        1.00009        1.00009       0.998087
        504.519        3282.41       0.998721       0.994369        1.00006       0.999885       0.987347       0.998463        1.00006        1.00006       0.998643
        702.915        4572.94       0.999091       0.995998        1.00004       0.999918       0.990998       0.998908        1.00005        1.00005       0.999037
         979.31        6370.87       0.999323       0.997016        1.00003       0.999939        0.99328       0.999186        1.00003        1.00003       0.999282
        1364.37        8875.68       0.999476       0.997691        1.00003       0.999953       0.994799       0.999371        1.00003        1.00003       0.999445
        1900.84        12365.3       0.999618       0.998314        1.00002       0.999965       0.996202       0.999541        1.00002        1.00002       0.999594
        2648.23        17226.9        0.99976        0.99894        1.00001       0.999978       0.997612       0.999711        1.00001        1.00001       0.999745
        3689.49          24000       0.999872       0.999434        1.00001       0.999988       0.998725       0.999846        1.00001        1.00001       0.999864
