        dNpi/dy       Vc[fm^3]      K/P_toGCE     Xi/P_toGCE    Phi/P_toGCE     Pi/P_toGCE  Omega/P_toGCE     La/P_toGCE     H2/P_toGCE    He3/P_toGCE   H3La/P_toGCE
       0.220827              3       0.224856      0.0148883        1.03997       0.934614      0.0014864       0.145555        1.04103        1.04103       0.141522
       0.309714         4.1795       0.272805       0.025715        1.03746       0.938564     0.00299307        0.19679        1.03846        1.03846       0.195357
        0.43537        5.82274       0.337137       0.044942         1.0341       0.943873      0.0062901       0.265687        1.03501        1.03501       0.267521
       0.613632        8.11205       0.420629       0.078511        1.02975       0.950779      0.0135791       0.355382        1.03054        1.03054       0.361051
       0.867099        11.3014       0.522705       0.134605        1.02443       0.959251       0.029384       0.465535        1.02508        1.02508       0.475185
        1.22707        15.7448         0.6356       0.220873        1.01857       0.968667      0.0616196       0.588152        1.01907        1.01907       0.601065
        1.73516        21.9351       0.743065       0.337261        1.01302       0.977694       0.120373       0.705983        1.01336        1.01336       0.720394
        2.44604        30.5593       0.828098       0.469609        1.00865       0.984914       0.211613       0.800521        1.00888        1.00888       0.814227
        3.43503        42.5742        0.88541       0.595739        1.00573       0.989849       0.329407       0.865427        1.00588        1.00588       0.876929
        4.80992         59.313       0.921755       0.700586         1.0039       0.993025       0.456906       0.907381          1.004          1.004       0.916322
        6.72335        82.6328        0.94549       0.781289        1.00271       0.995122       0.576651       0.935163        1.00278        1.00278       0.941862
        9.38797        115.121        0.96161       0.841325         1.0019       0.996556       0.678605       0.954195        1.00195        1.00195       0.959128
        13.0996        160.383       0.972794       0.885316        1.00135       0.997555       0.760263       0.967472        1.00138        1.00138       0.971071
        18.2701        223.441       0.980643       0.917301        1.00096       0.998259       0.823267       0.976823        1.00098        1.00098       0.979434
        25.4731         311.29       0.986191       0.940453        1.00068       0.998757       0.870751       0.983449         1.0007         1.0007       0.985338
         35.508        433.679       0.990131       0.957165        1.00049       0.999111       0.905997       0.988163         1.0005         1.0005       0.989526
        49.4882        604.187       0.992938       0.969206        1.00035       0.999364       0.931893       0.991525        1.00036        1.00036       0.992507
        68.9647        841.734       0.994942       0.977874        1.00025       0.999544        0.95079       0.993928        1.00026        1.00026       0.994635
        96.0988        1172.68       0.996376       0.984107        1.00018       0.999673       0.964513       0.995648        1.00018        1.00018       0.996156
        133.901        1633.73       0.997399       0.988575        1.00013       0.999765       0.974415       0.996876        1.00013        1.00013       0.997241
        186.566        2276.06       0.998132       0.991787        1.00009       0.999832       0.981572       0.997757        1.00009        1.00009       0.998019
        259.937        3170.93       0.998673       0.994161        1.00007        0.99988        0.98688       0.998406        1.00007        1.00007       0.998593
        362.155        4417.64        0.99906        0.99586        1.00005       0.999915       0.990687       0.998871        1.00005        1.00005       0.999003
         504.56        6154.51       0.999304       0.996932        1.00003       0.999937       0.993092       0.999163        1.00004        1.00004       0.999262
        702.952        8574.26       0.999462       0.997627        1.00003       0.999951       0.994654       0.999353        1.00003        1.00003       0.999429
        979.349        11945.4       0.999603       0.998248        1.00002       0.999964       0.996053       0.999522        1.00002        1.00002       0.999579
        1364.42        16641.9       0.999745       0.998878        1.00001       0.999977       0.997472       0.999694        1.00001        1.00001        0.99973
         1900.9          23185       0.999862       0.999393        1.00001       0.999988       0.998633       0.999835        1.00001        1.00001       0.999854
         2648.3        32300.5       0.999927       0.999678              1       0.999993       0.999274       0.999912              1              1       0.999923
        3689.53          45000       0.999949       0.999773              1       0.999995       0.999488       0.999938              1              1       0.999945
