        dNpi/dy       Vc[fm^3]  H3La/He3|La/P
      0.0817669            1.6        1.10295
       0.121156        2.22907        1.15558
       0.182906        3.10546        1.17841
       0.282113        4.32643        1.17046
       0.444732        6.02744        1.13342
         0.7132        8.39722        1.07173
        1.14902        11.6987       0.993159
        1.82469        16.2983       0.908617
        2.81248        22.7062       0.829783
        4.20202        31.6336        0.76479
        6.13612        44.0709       0.715398
        8.82358        61.3981       0.678796
        12.5543        85.5377       0.651624
         17.737        119.168       0.631592
        24.9472        166.021       0.617066
        34.9865        231.296        0.60668
        48.9696        322.233       0.599308
        68.4481        448.925       0.594083
        95.5836        625.427       0.590377
        133.387        871.324       0.587741
        186.051         1213.9        0.58586
        259.424        1691.17        0.58452
        361.648        2356.08       0.583565
         504.05        3282.41       0.582875
        702.424        4572.94       0.582368
        978.801        6370.87       0.582018
        1363.89        8875.68       0.581798
        1900.42        12365.3       0.581637
        2647.89        17226.9       0.581489
        3689.16          24000       0.581359
