        dNpi/dy       Vc[fm^3]  H3La/He3|La/P
      0.0933614              3        1.17747
       0.143668         4.1795        1.17269
       0.225992        5.82274        1.13853
       0.361927        8.11205        1.07911
       0.583291        11.3014        1.00183
       0.928518        15.7448       0.917348
        1.43609        21.9351       0.837442
        2.15189        30.5593       0.770811
        3.14858        42.5742       0.719882
        4.53368         59.313        0.68212
        6.45653        82.6328        0.65409
        9.12738        115.121       0.633396
        12.8426        160.383       0.618365
        18.0152        223.441       0.607604
        25.2197         311.29       0.599963
        35.2556        433.679       0.594549
        49.2364        604.187       0.590707
        68.7134        841.734       0.587974
        95.8474        1172.68       0.586029
        133.651        1633.73       0.584639
        186.318        2276.06        0.58365
        259.688        3170.93       0.582938
        361.895        4417.64       0.582413
        504.289        6154.51       0.582049
         702.69        8574.26       0.581816
        979.121        11945.4       0.581651
        1364.24        16641.9       0.581503
        1900.73          23185       0.581371
         2648.1        32300.5       0.581271
        3689.31          45000       0.581218
