        dNpi/dy       Vc[fm^3]           La/P       H3La/He3
      0.0817669            1.6       0.393408       0.433908
       0.121156        2.22907       0.400637       0.462967
       0.182906        3.10546       0.410547       0.483791
       0.282113        4.32643       0.423957       0.496224
       0.444732        6.02744       0.441687       0.500618
         0.7132        8.39722       0.464196       0.497494
        1.14902        11.6987       0.490859       0.487501
        1.82469        16.2983       0.519078       0.471643
        2.81248        22.7062       0.544251        0.45161
        4.20202        31.6336       0.562025       0.429831
        6.13612        44.0709       0.571608       0.408927
        8.82358        61.3981       0.575734       0.390806
        12.5543        85.5377       0.577362       0.376223
         17.737        119.168       0.578008       0.365065
        24.9472        166.021       0.578257       0.356823
        34.9865        231.296       0.578344        0.35087
        48.9696        322.233       0.578365       0.346619
        68.4481        448.925        0.57836       0.343594
        95.5836        625.427       0.578347       0.341443
        133.387        871.324       0.578333        0.33991
        186.051         1213.9       0.578322       0.338816
        259.424        1691.17        0.57831       0.338034
        361.648        2356.08       0.578299       0.337475
         504.05        3282.41       0.578297       0.337075
        702.424        4572.94       0.578303       0.336785
        978.801        6370.87       0.578303       0.336583
        1363.89        8875.68       0.578287       0.336446
        1900.42        12365.3        0.57827       0.336343
        2647.89        17226.9       0.578271       0.336258
        3689.16          24000       0.578281       0.336189
