        dNpi/dy       Vc[fm^3]     La/P_toGCE H3La/He3_toGCE
      0.0817669            1.6       0.680305        1.29116
       0.121156        2.22907       0.692806        1.37763
       0.182906        3.10546       0.709943        1.43959
       0.282113        4.32643       0.733132        1.47659
       0.444732        6.02744       0.763792        1.48966
         0.7132        8.39722       0.802715        1.48037
        1.14902        11.6987       0.848822        1.45063
        1.82469        16.2983       0.897621        1.40344
        2.81248        22.7062       0.941151        1.34383
        4.20202        31.6336       0.971888        1.27903
        6.13612        44.0709       0.988459        1.21682
        8.82358        61.3981       0.995594         1.1629
        12.5543        85.5377        0.99841        1.11951
         17.737        119.168       0.999526        1.08631
        24.9472        166.021       0.999958        1.06178
        34.9865        231.296        1.00011        1.04407
        48.9696        322.233        1.00014        1.03142
        68.4481        448.925        1.00014        1.02242
        95.5836        625.427        1.00011        1.01601
        133.387        871.324        1.00009        1.01145
        186.051         1213.9        1.00007         1.0082
        259.424        1691.17        1.00005        1.00587
        361.648        2356.08        1.00003        1.00421
         504.05        3282.41        1.00003        1.00302
        702.424        4572.94        1.00004        1.00215
        978.801        6370.87        1.00004        1.00155
        1363.89        8875.68        1.00001        1.00114
        1900.42        12365.3        0.99998        1.00084
        2647.89        17226.9       0.999981        1.00059
        3689.16          24000              1        1.00038
