        dNpi/dy       Vc[fm^3]     La/P_toGCE H3La/He3_toGCE
      0.0768496              1       0.668261        1.13395
       0.111546        1.39317       0.676165        1.24849
       0.164161        1.94091       0.687098         1.3444
       0.245806        2.70402       0.702138        1.41678
       0.375664        3.76715        0.72262        1.46413
       0.586958        5.24826       0.750007        1.48702
       0.935539        7.31171       0.785469        1.48686
        1.50743        10.1864       0.828897        1.46538
         2.4141        14.1914       0.877377          1.425
        3.77166         19.771       0.924187        1.36981
        5.70461        27.5443       0.960883        1.30619
        8.40103        38.3738       0.983037        1.24203
        12.1498        53.4611       0.993381        1.18419
        17.3552        74.4802       0.997539        1.13632
        24.5829        103.763       0.999181        1.09901
        34.6323         144.56       0.999827        1.07108
        48.6212        201.396        1.00007        1.05075
        68.1035        280.578        1.00014        1.03618
        95.2414        390.892        1.00014         1.0258
        133.046        544.578        1.00012        1.01843
        185.713        758.688         1.0001        1.01317
        259.084        1056.98        1.00008        1.00943
        361.303        1472.55        1.00006        1.00675
        503.717         2051.5        1.00004        1.00484
        702.116        2858.09        1.00002        1.00347
        978.491        3981.79        1.00003        1.00248
        1363.52         5547.3        1.00004        1.00178
        1899.98        7728.32        1.00002         1.0013
        2647.44        10766.8        0.99999        1.00096
        3688.81          15000       0.999977        1.00069
