        dNpi/dy       Vc[fm^3]           La/P       H3La/He3
       0.245971            1.6       0.578282       0.336061
       0.342678        2.22907       0.578282       0.336061
       0.477408        3.10546       0.578282       0.336061
       0.665109        4.32643       0.578282       0.336061
       0.926608        6.02744       0.578282       0.336061
        1.29092        8.39722       0.578282       0.336061
        1.79847        11.6987       0.578282       0.336061
        2.50556        16.2983       0.578282       0.336061
        3.49067        22.7062       0.578282       0.336061
        4.86308        31.6336       0.578282       0.336061
        6.77509        44.0709       0.578282       0.336061
        9.43882        61.3981       0.578282       0.336061
        13.1499        85.5377       0.578282       0.336061
        18.3199        119.168       0.578282       0.336061
        25.5227        166.021       0.578282       0.336061
        35.5574        231.296       0.578282       0.336061
        49.5374        322.233       0.578282       0.336061
        69.0139        448.925       0.578282       0.336061
        96.1479        625.427       0.578282       0.336061
         133.95        871.324       0.578282       0.336061
        186.615         1213.9       0.578282       0.336061
        259.986        1691.17       0.578282       0.336061
        362.203        2356.08       0.578282       0.336061
         504.61        3282.41       0.578282       0.336061
        703.006        4572.94       0.578282       0.336061
        979.404        6370.87       0.578282       0.336061
        1364.47        8875.68       0.578282       0.336061
        1900.94        12365.3       0.578282       0.336061
        2648.33        17226.9       0.578282       0.336061
        3689.56          24000       0.578282       0.336061
