        dNpi/dy       Vc[fm^3]           La/P       H3La/He3
       0.245971              3       0.578282       0.336061
       0.342678         4.1795       0.578282       0.336061
       0.477408        5.82274       0.578282       0.336061
       0.665109        8.11205       0.578282       0.336061
       0.926608        11.3014       0.578282       0.336061
        1.29092        15.7448       0.578282       0.336061
        1.79847        21.9351       0.578282       0.336061
        2.50556        30.5593       0.578282       0.336061
        3.49067        42.5742       0.578282       0.336061
        4.86308         59.313       0.578282       0.336061
        6.77509        82.6328       0.578282       0.336061
        9.43882        115.121       0.578282       0.336061
        13.1499        160.383       0.578282       0.336061
        18.3199        223.441       0.578282       0.336061
        25.5227         311.29       0.578282       0.336061
        35.5574        433.679       0.578282       0.336061
        49.5374        604.187       0.578282       0.336061
        69.0139        841.734       0.578282       0.336061
        96.1479        1172.68       0.578282       0.336061
         133.95        1633.73       0.578282       0.336061
        186.615        2276.06       0.578282       0.336061
        259.986        3170.93       0.578282       0.336061
        362.203        4417.64       0.578282       0.336061
         504.61        6154.51       0.578282       0.336061
        703.006        8574.26       0.578282       0.336061
        979.404        11945.4       0.578282       0.336061
        1364.47        16641.9       0.578282       0.336061
        1900.94          23185       0.578282       0.336061
        2648.33        32300.5       0.578282       0.336061
        3689.56          45000       0.578282       0.336061
