        dNpi/dy       Vc[fm^3]     La/P_toGCE H3La/He3_toGCE
       0.219036            1.6      0.0834096      0.0728184
       0.306278        2.22907       0.111472       0.101301
       0.428865        3.10546       0.150185       0.140654
       0.601622        4.32643       0.203079       0.194535
       0.845932        6.02744       0.274027       0.267002
        1.19264        8.39722       0.365966       0.361213
        1.68565        11.6987       0.477958       0.476343
        2.38553        16.2983       0.601009       0.603056
        3.37253        22.7062       0.717165       0.722336
        4.75232        31.6336       0.808626       0.815223
        6.67137        44.0709         0.8707       0.876986
         9.3395        61.3981       0.910815       0.915978
        13.0531        85.5377        0.93749       0.941461
        18.2247        119.168       0.955809       0.958778
        25.4286        166.021       0.968605       0.970791
         35.464        231.296       0.977624        0.97922
        49.4445        322.233       0.984018       0.985177
        68.9213        448.925       0.988569       0.989407
        96.0555        625.427       0.991815        0.99242
        133.858        871.324       0.994136       0.994572
        186.523         1213.9       0.995796        0.99611
        259.893        1691.17       0.996982       0.997208
        362.111        2356.08       0.997834       0.997996
        504.519        3282.41       0.998463       0.998579
        702.915        4572.94       0.998908       0.998991
         979.31        6370.87       0.999186       0.999248
        1364.37        8875.68       0.999371       0.999418
        1900.84        12365.3       0.999541       0.999575
        2648.23        17226.9       0.999711       0.999733
        3689.49          24000       0.999846       0.999857
