        dNpi/dy       Vc[fm^3]     La/P_toGCE H3La/He3_toGCE
       0.218262              1      0.0564984      0.0455398
       0.304782        1.39317      0.0741456      0.0634241
        0.42598        1.94091      0.0986414      0.0882735
       0.596101        2.70402       0.132517       0.122685
       0.835533        3.76715       0.179024       0.170015
        1.17363        5.24826       0.241978        0.23424
        1.65276        7.31171       0.324956        0.31915
        2.33371        10.1864       0.429115       0.426091
        3.30166        14.1914       0.549293       0.549801
         4.6712         19.771       0.670839       0.674859
        6.59252        27.5443       0.774127       0.780371
        9.26865        38.3738       0.848023       0.854598
        12.9885        53.4611       0.896117       0.901786
        18.1636        74.4802       0.927591       0.932044
        25.3695        103.763       0.948963       0.952323
        35.4062         144.56       0.963805       0.966293
        49.3875        201.396       0.974234       0.976055
        68.8649        280.578       0.981611       0.982937
        95.9995        390.892       0.986854       0.987814
        133.802        544.578       0.990591       0.991285
        186.467        758.688        0.99326        0.99376
        259.838        1056.98        0.99517        0.99553
        362.056        1472.55       0.996535       0.996794
        504.462         2051.5        0.99751       0.997697
        702.859        2858.09       0.998223       0.998357
        979.259        3981.79       0.998745       0.998839
        1364.33         5547.3       0.999087       0.999156
        1900.78        7728.32       0.999299       0.999352
        2648.16        10766.8       0.999469       0.999509
         3689.4          15000       0.999642       0.999669
