        dNpi/dy       Vc[fm^3]
      0.0817669            1.6
       0.121156        2.22907
       0.182906        3.10546
       0.282113        4.32643
       0.444732        6.02744
         0.7132        8.39722
        1.14902        11.6987
        1.82469        16.2983
        2.81248        22.7062
        4.20202        31.6336
        6.13612        44.0709
        8.82358        61.3981
        12.5543        85.5377
         17.737        119.168
        24.9472        166.021
        34.9865        231.296
        48.9696        322.233
        68.4481        448.925
        95.5836        625.427
        133.387        871.324
        186.051         1213.9
        259.424        1691.17
        361.648        2356.08
         504.05        3282.41
        702.424        4572.94
        978.801        6370.87
        1363.89        8875.68
        1900.42        12365.3
        2647.89        17226.9
        3689.16          24000
