        dNpi/dy       Vc[fm^3]
      0.0768496              1
       0.111546        1.39317
       0.164161        1.94091
       0.245806        2.70402
       0.375664        3.76715
       0.586958        5.24826
       0.935539        7.31171
        1.50743        10.1864
         2.4141        14.1914
        3.77166         19.771
        5.70461        27.5443
        8.40103        38.3738
        12.1498        53.4611
        17.3552        74.4802
        24.5829        103.763
        34.6323         144.56
        48.6212        201.396
        68.1035        280.578
        95.2414        390.892
        133.046        544.578
        185.713        758.688
        259.084        1056.98
        361.303        1472.55
        503.717         2051.5
        702.116        2858.09
        978.491        3981.79
        1363.52         5547.3
        1899.98        7728.32
        2647.44        10766.8
        3688.81          15000
