        dNpi/dy       Vc[fm^3]
       0.245971              3
       0.342678         4.1795
       0.477408        5.82274
       0.665109        8.11205
       0.926608        11.3014
        1.29092        15.7448
        1.79847        21.9351
        2.50556        30.5593
        3.49067        42.5742
        4.86308         59.313
        6.77509        82.6328
        9.43882        115.121
        13.1499        160.383
        18.3199        223.441
        25.5227         311.29
        35.5574        433.679
        49.5374        604.187
        69.0139        841.734
        96.1479        1172.68
         133.95        1633.73
        186.615        2276.06
        259.986        3170.93
        362.203        4417.64
         504.61        6154.51
        703.006        8574.26
        979.404        11945.4
        1364.47        16641.9
        1900.94          23185
        2648.33        32300.5
        3689.56          45000
