        dNpi/dy       Vc[fm^3]
       0.219036            1.6
       0.306278        2.22907
       0.428865        3.10546
       0.601622        4.32643
       0.845932        6.02744
        1.19264        8.39722
        1.68565        11.6987
        2.38553        16.2983
        3.37253        22.7062
        4.75232        31.6336
        6.67137        44.0709
         9.3395        61.3981
        13.0531        85.5377
        18.2247        119.168
        25.4286        166.021
         35.464        231.296
        49.4445        322.233
        68.9213        448.925
        96.0555        625.427
        133.858        871.324
        186.523         1213.9
        259.893        1691.17
        362.111        2356.08
        504.519        3282.41
        702.915        4572.94
         979.31        6370.87
        1364.37        8875.68
        1900.84        12365.3
        2648.23        17226.9
        3689.49          24000
